Time, GSR
'0:0:0.0,2.2417
'0:0:0.1,2.2429
'0:0:0.2,2.2462
'0:0:0.3,2.2506
'0:0:0.4,2.2573
'0:0:0.5,2.2649
'0:0:0.6,2.2723
'0:0:0.7,2.2787
'0:0:0.8,2.2829
'0:0:0.9,2.2866
'0:0:1.0,2.2908
'0:0:1.1,2.2933
'0:0:1.2,2.2942
'0:0:1.3,2.2937
'0:0:1.4,2.2937
'0:0:1.5,2.2952
'0:0:1.6,2.3042
'0:0:1.7,2.3136
'0:0:1.8,2.3173
'0:0:1.9,2.3219
'0:0:2.0,2.3188
'0:0:2.1,2.3136
'0:0:2.2,2.308
'0:0:2.3,2.3034
'0:0:2.4,2.3001
'0:0:2.5,2.2964
'0:0:2.6,2.2906
'0:0:2.7,2.2844
'0:0:2.8,2.2789
'0:0:2.9,2.2742
'0:0:3.0,2.2702
'0:0:3.1,2.2656
'0:0:3.2,2.2624
'0:0:3.3,2.2593
'0:0:3.4,2.2566
'0:0:3.5,2.2535
'0:0:3.6,2.2499
'0:0:3.7,2.2463
'0:0:3.8,2.2433
'0:0:3.9,2.2399
'0:0:4.0,2.2365
'0:0:4.1,2.2333
'0:0:4.2,2.2295
'0:0:4.3,2.2261
'0:0:4.4,2.2227
'0:0:4.5,2.2206
'0:0:4.6,2.218
'0:0:4.7,2.2153
'0:0:4.8,2.2133
'0:0:4.9,2.2121
'0:0:5.0,2.2107
'0:0:5.1,2.2093
'0:0:5.2,2.2079
'0:0:5.3,2.2079
'0:0:5.4,2.2079
'0:0:5.5,2.2091
'0:0:5.6,2.2096
'0:0:5.7,2.2098
'0:0:5.8,2.2096
'0:0:5.9,2.2089
'0:0:6.0,2.2079
'0:0:6.1,2.2063
'0:0:6.2,2.2043
'0:0:6.3,2.202
'0:0:6.4,2.1996
'0:0:6.5,2.1966
'0:0:6.6,2.1947
'0:0:6.7,2.1931
'0:0:6.8,2.1924
'0:0:6.9,2.1929
'0:0:7.0,2.1954
'0:0:7.1,2.1994
'0:0:7.2,2.2056
'0:0:7.3,2.2141
'0:0:7.4,2.2226
'0:0:7.5,2.2315
'0:0:7.6,2.2418
'0:0:7.7,2.2568
'0:0:7.8,2.2713
'0:0:7.9,2.2842
'0:0:8.0,2.2981
'0:0:8.1,2.3106
'0:0:8.2,2.3204
'0:0:8.3,2.3294
'0:0:8.4,2.3372
'0:0:8.5,2.3473
'0:0:8.6,2.3637
'0:0:8.7,2.3705
'0:0:8.8,2.3739
'0:0:8.9,2.3754
'0:0:9.0,2.3764
'0:0:9.1,2.3731
'0:0:9.2,2.369
'0:0:9.3,2.3633
'0:0:9.4,2.3559
'0:0:9.5,2.3482
'0:0:9.6,2.3404
'0:0:9.7,2.332
'0:0:9.8,2.3232
'0:0:9.9,2.3156
'0:0:10.0,2.3108
'0:0:10.1,2.3086
'0:0:10.2,2.3047
'0:0:10.3,2.302
'0:0:10.4,2.3009
'0:0:10.5,2.3016
'0:0:10.6,2.3027
'0:0:10.7,2.3038
'0:0:10.8,2.3055
'0:0:10.9,2.3064
'0:0:11.0,2.3071
'0:0:11.1,2.3086
'0:0:11.2,2.3084
'0:0:11.3,2.3075
'0:0:11.4,2.3056
'0:0:11.5,2.3027
'0:0:11.6,2.2998
'0:0:11.7,2.2957
'0:0:11.8,2.2909
'0:0:11.9,2.2862
'0:0:12.0,2.2807
'0:0:12.1,2.2756
'0:0:12.2,2.27
'0:0:12.3,2.2647
'0:0:12.4,2.26
'0:0:12.5,2.2552
'0:0:12.6,2.2506
'0:0:12.7,2.2476
'0:0:12.8,2.2453
'0:0:12.9,2.244
'0:0:13.0,2.2444
'0:0:13.1,2.2458
'0:0:13.2,2.2467
'0:0:13.3,2.2474
'0:0:13.4,2.2472
'0:0:13.5,2.2465
'0:0:13.6,2.2458
'0:0:13.7,2.2442
'0:0:13.8,2.242
'0:0:13.9,2.2388
'0:0:14.0,2.2354
'0:0:14.1,2.2317
'0:0:14.2,2.2284
'0:0:14.3,2.2249
'0:0:14.4,2.2217
'0:0:14.5,2.2196
'0:0:14.6,2.2181
'0:0:14.7,2.2171
'0:0:14.8,2.2167
'0:0:14.9,2.2162
'0:0:15.0,2.2157
'0:0:15.1,2.2148
'0:0:15.2,2.2133
'0:0:15.3,2.2119
'0:0:15.4,2.2103
'0:0:15.5,2.2089
'0:0:15.6,2.2072
'0:0:15.7,2.205
'0:0:15.8,2.2022
'0:0:15.9,2.1994
'0:0:16.0,2.1968
'0:0:16.1,2.1943
'0:0:16.2,2.1917
'0:0:16.3,2.1894
'0:0:16.4,2.1875
'0:0:16.5,2.1862
'0:0:16.6,2.1854
'0:0:16.7,2.1849
'0:0:16.8,2.1849
'0:0:16.9,2.1849
'0:0:17.0,2.1852
'0:0:17.1,2.1864
'0:0:17.2,2.1869
'0:0:17.3,2.188
'0:0:17.4,2.1894
'0:0:17.5,2.191
'0:0:17.6,2.1927
'0:0:17.7,2.1934
'0:0:17.8,2.194
'0:0:17.9,2.1943
'0:0:18.0,2.1941
'0:0:18.1,2.1924
'0:0:18.2,2.1903
'0:0:18.3,2.1878
'0:0:18.4,2.1849
'0:0:18.5,2.1831
'0:0:18.6,2.1875
'0:0:18.7,2.1856
'0:0:18.8,2.1828
'0:0:18.9,2.1796
'0:0:19.0,2.1773
'0:0:19.1,2.1758
'0:0:19.2,2.1747
'0:0:19.3,2.1742
'0:0:19.4,2.1744
'0:0:19.5,2.1749
'0:0:19.6,2.1753
'0:0:19.7,2.1763
'0:0:19.8,2.1775
'0:0:19.9,2.1784
'0:0:20.0,2.1789
'0:0:20.1,2.18
'0:0:20.2,2.1817
'0:0:20.3,2.1828
'0:0:20.4,2.1831
'0:0:20.5,2.1828
'0:0:20.6,2.1822
'0:0:20.7,2.1815
'0:0:20.8,2.1807
'0:0:20.9,2.1796
'0:0:21.0,2.1784
'0:0:21.1,2.1775
'0:0:21.2,2.1761
'0:0:21.3,2.1751
'0:0:21.4,2.1739
'0:0:21.5,2.1721
'0:0:21.6,2.1697
'0:0:21.7,2.1673
'0:0:21.8,2.1647
'0:0:21.9,2.1621
'0:0:22.0,2.159
'0:0:22.1,2.156
'0:0:22.2,2.1533
'0:0:22.3,2.1507
'0:0:22.4,2.1481
'0:0:22.5,2.1464
'0:0:22.6,2.1447
'0:0:22.7,2.1433
'0:0:22.8,2.1426
'0:0:22.9,2.1417
'0:0:23.0,2.1412
'0:0:23.1,2.1409
