Time, GSR
'0:0:0.0,2.5346
'0:0:0.1,2.5348
'0:0:0.2,2.5357
'0:0:0.3,2.5357
'0:0:0.4,2.5361
'0:0:0.5,2.5363
'0:0:0.6,2.5361
'0:0:0.7,2.5363
'0:0:0.8,2.5363
'0:0:0.9,2.5355
'0:0:1.0,2.5344
'0:0:1.1,2.5332
'0:0:1.2,2.5316
'0:0:1.3,2.5290
'0:0:1.4,2.5271
'0:0:1.5,2.5249
'0:0:1.6,2.5231
'0:0:1.7,2.5211
'0:0:1.8,2.5193
'0:0:1.9,2.5185
'0:0:2.0,2.5174
'0:0:2.1,2.5162
'0:0:2.2,2.5154
'0:0:2.3,2.5138
'0:0:2.4,2.5126
'0:0:2.5,2.5112
'0:0:2.6,2.5102
'0:0:2.7,2.5086
'0:0:2.8,2.5072
'0:0:2.9,2.5060
'0:0:3.0,2.5044
'0:0:3.1,2.5030
'0:0:3.2,2.5018
'0:0:3.3,2.5008
'0:0:3.4,2.4998
'0:0:3.5,2.4982
'0:0:3.6,2.4966
'0:0:3.7,2.4956
'0:0:3.8,2.4940
'0:0:3.9,2.4924
'0:0:4.0,2.4908
'0:0:4.1,2.4890
'0:0:4.2,2.4872
'0:0:4.3,2.4858
'0:0:4.4,2.4842
'0:0:4.5,2.4828
'0:0:4.6,2.4814
'0:0:4.7,2.4799
'0:0:4.8,2.4781
'0:0:4.9,2.4771
'0:0:5.0,2.4761
'0:0:5.1,2.4745
'0:0:5.2,2.4725
'0:0:5.3,2.4705
'0:0:5.4,2.4690
'0:0:5.5,2.4670
'0:0:5.6,2.4652
'0:0:5.7,2.4636
'0:0:5.8,2.4640
'0:0:5.9,2.4638
'0:0:6.0,2.4636
'0:0:6.1,2.4646
'0:0:6.2,2.4666
'0:0:6.3,2.4682
'0:0:6.4,2.4694
'0:0:6.5,2.4694
'0:0:6.6,2.4698
'0:0:6.7,2.4705
'0:0:6.8,2.4711
'0:0:6.9,2.4715
'0:0:7.0,2.4719
'0:0:7.1,2.4711
'0:0:7.2,2.4709
'0:0:7.3,2.4701
'0:0:7.4,2.4698
'0:0:7.5,2.4688
'0:0:7.6,2.4682
'0:0:7.7,2.4668
'0:0:7.8,2.4652
'0:0:7.9,2.4634
'0:0:8.0,2.4617
'0:0:8.1,2.4605
'0:0:8.2,2.4595
'0:0:8.3,2.4583
'0:0:8.4,2.4571
'0:0:8.5,2.4556
'0:0:8.6,2.4550
'0:0:8.7,2.4540
'0:0:8.8,2.4530
'0:0:8.9,2.4518
'0:0:9.0,2.4513
'0:0:9.1,2.4511
'0:0:9.2,2.4499
'0:0:9.3,2.4493
'0:0:9.4,2.4491
'0:0:9.5,2.4509
'0:0:9.6,2.4513
'0:0:9.7,2.4499
'0:0:9.8,2.4479
'0:0:9.9,2.4458
'0:0:10.0,2.4428
'0:0:10.1,2.4405
'0:0:10.2,2.4385
'0:0:10.3,2.4366
'0:0:10.4,2.4345
'0:0:10.5,2.4329
'0:0:10.6,2.4309
'0:0:10.7,2.4296
'0:0:10.8,2.4284
'0:0:10.9,2.4269
'0:0:11.0,2.4259
'0:0:11.1,2.4243
'0:0:11.2,2.4230
'0:0:11.3,2.4216
'0:0:11.4,2.4205
'0:0:11.5,2.4191
'0:0:11.6,2.4180
'0:0:11.7,2.4162
'0:0:11.8,2.4162
'0:0:11.9,2.4153
'0:0:12.0,2.4145
'0:0:12.1,2.4139
'0:0:12.2,2.4131
'0:0:12.3,2.4126
'0:0:12.4,2.4122
'0:0:12.5,2.4124
'0:0:12.6,2.4126
'0:0:12.7,2.4129
'0:0:12.8,2.4129
'0:0:12.9,2.4124
'0:0:13.0,2.4114
'0:0:13.1,2.4100
'0:0:13.2,2.4087
'0:0:13.3,2.4077
'0:0:13.4,2.4075
'0:0:13.5,2.4083
'0:0:13.6,2.4068
'0:0:13.7,2.4048
'0:0:13.8,2.4029
'0:0:13.9,2.4016
'0:0:14.0,2.4000
'0:0:14.1,2.3979
'0:0:14.2,2.3962
'0:0:14.3,2.3945
'0:0:14.4,2.3926
'0:0:14.5,2.3907
'0:0:14.6,2.3893
'0:0:14.7,2.3878
'0:0:14.8,2.3863
'0:0:14.9,2.3849
'0:0:15.0,2.3836
'0:0:15.1,2.3821
'0:0:15.2,2.3806
'0:0:15.3,2.3788
'0:0:15.4,2.3779
'0:0:15.5,2.3766
'0:0:15.6,2.3754
'0:0:15.7,2.3743
'0:0:15.8,2.3726
'0:0:15.9,2.3709
'0:0:16.0,2.3695
'0:0:16.1,2.3684
'0:0:16.2,2.3675
'0:0:16.3,2.3665
'0:0:16.4,2.3656
'0:0:16.5,2.3646
'0:0:16.6,2.3641
'0:0:16.7,2.3637
'0:0:16.8,2.3637
'0:0:16.9,2.3642
'0:0:17.0,2.3641
'0:0:17.1,2.3642
'0:0:17.2,2.3642
'0:0:17.3,2.3639
'0:0:17.4,2.3633
'0:0:17.5,2.3625
'0:0:17.6,2.3618
'0:0:17.7,2.3612
'0:0:17.8,2.3603
'0:0:17.9,2.3590
'0:0:18.0,2.3575
'0:0:18.1,2.3559
'0:0:18.2,2.3546
'0:0:18.3,2.3535
'0:0:18.4,2.3520
'0:0:18.5,2.3511
'0:0:18.6,2.3497
'0:0:18.7,2.3480
'0:0:18.8,2.3464
'0:0:18.9,2.3450
'0:0:19.0,2.3435
'0:0:19.1,2.3424
'0:0:19.2,2.3415
'0:0:19.3,2.3402
'0:0:19.4,2.3389
'0:0:19.5,2.3374
'0:0:19.6,2.3364
'0:0:19.7,2.3355
'0:0:19.8,2.3344
'0:0:19.9,2.3336
'0:0:20.0,2.3329
'0:0:20.1,2.3316
'0:0:20.2,2.3305
'0:0:20.3,2.3295
'0:0:20.4,2.3294
'0:0:20.5,2.3297
'0:0:20.6,2.3299
'0:0:20.7,2.3299
'0:0:20.8,2.3303
'0:0:20.9,2.3301
'0:0:21.0,2.3310
'0:0:21.1,2.3318
'0:0:21.2,2.3322
'0:0:21.3,2.3325
'0:0:21.4,2.3336
'0:0:21.5,2.3353
'0:0:21.6,2.3370
'0:0:21.7,2.3389
'0:0:21.8,2.3413
'0:0:21.9,2.3443
'0:0:22.0,2.3464
'0:0:22.1,2.3480
'0:0:22.2,2.3499
'0:0:22.3,2.3509
'0:0:22.4,2.3516
'0:0:22.5,2.3512
'0:0:22.6,2.3514
'0:0:22.7,2.3514
'0:0:22.8,2.3516
'0:0:22.9,2.3511
'0:0:23.0,2.3494
'0:0:23.1,2.3477
'0:0:23.2,2.3460
'0:0:23.3,2.3439
'0:0:23.4,2.3421
'0:0:23.5,2.3402
'0:0:23.6,2.3385
'0:0:23.7,2.3364
'0:0:23.8,2.3342
'0:0:23.9,2.3325
'0:0:24.0,2.3307
'0:0:24.1,2.3292
'0:0:24.2,2.3277
'0:0:24.3,2.3262
'0:0:24.4,2.3247
'0:0:24.5,2.3234
'0:0:24.6,2.3221
'0:0:24.7,2.3208
'0:0:24.8,2.3197
'0:0:24.9,2.3188
'0:0:25.0,2.3178
'0:0:25.1,2.3171
'0:0:25.2,2.3162
'0:0:25.3,2.3152
'0:0:25.4,2.3143
'0:0:25.5,2.3132
'0:0:25.6,2.3119
'0:0:25.7,2.3108
'0:0:25.8,2.3103
'0:0:25.9,2.3090
'0:0:26.0,2.3080
'0:0:26.1,2.3071
'0:0:26.2,2.3062
'0:0:26.3,2.3051
'0:0:26.4,2.3044
'0:0:26.5,2.3034
'0:0:26.6,2.3025
'0:0:26.7,2.3020
'0:0:26.8,2.3014
'0:0:26.9,2.3012
'0:0:27.0,2.3009
'0:0:27.1,2.3009
'0:0:27.2,2.3009
'0:0:27.3,2.3007
'0:0:27.4,2.3001
'0:0:27.5,2.2998
'0:0:27.6,2.2992
'0:0:27.7,2.2987
'0:0:27.8,2.2983
'0:0:27.9,2.2977
'0:0:28.0,2.2972
'0:0:28.1,2.2959
'0:0:28.2,2.2952
'0:0:28.3,2.2946
'0:0:28.4,2.2939
'0:0:28.5,2.2928
'0:0:28.6,2.2926
'0:0:28.7,2.2922
'0:0:28.8,2.2908
'0:0:28.9,2.2899
'0:0:29.0,2.2893
'0:0:29.1,2.2882
'0:0:29.2,2.2866
'0:0:29.3,2.2845
'0:0:29.4,2.2840
'0:0:29.5,2.2833
'0:0:29.6,2.2829
'0:0:29.7,2.2831
'0:0:29.8,2.2838
'0:0:29.9,2.2849
'0:0:30.0,2.2867
'0:0:30.1,2.2875
'0:0:30.2,2.2897
