Time,GSR
'0:0:0.0,1.0315
'0:0:0.1,1.0316
'0:0:0.2,1.0324
'0:0:0.3,1.0331
'0:0:0.4,1.0342
'0:0:0.5,1.0358
'0:0:0.6,1.0369
'0:0:0.7,1.0379
'0:0:0.8,1.0387
'0:0:0.9,1.0393
'0:0:1.0,1.0399
'0:0:1.1,1.0406
'0:0:1.2,1.0415
'0:0:1.3,1.0419
'0:0:1.4,1.0424
'0:0:1.5,1.0434
'0:0:1.6,1.044
'0:0:1.7,1.0442
'0:0:1.8,1.0451
'0:0:1.9,1.0462
'0:0:2.0,1.047
'0:0:2.1,1.0475
'0:0:2.2,1.0477
'0:0:2.3,1.0479
'0:0:2.4,1.0497
'0:0:2.5,1.0517
'0:0:2.6,1.0529
'0:0:2.7,1.053
'0:0:2.8,1.0529
'0:0:2.9,1.0529
'0:0:3.0,1.0528
'0:0:3.1,1.0529
'0:0:3.2,1.054
'0:0:3.3,1.0541
'0:0:3.4,1.0538
'0:0:3.5,1.0537
'0:0:3.6,1.0539
'0:0:3.7,1.0538
'0:0:3.8,1.0538
'0:0:3.9,1.0535
'0:0:4.0,1.0535
'0:0:4.1,1.0535
'0:0:4.2,1.0535
'0:0:4.3,1.0533
'0:0:4.4,1.0534
'0:0:4.5,1.0533
'0:0:4.6,1.0536
'0:0:4.7,1.0537
'0:0:4.8,1.0539
'0:0:4.9,1.0537
'0:0:5.0,1.0536
'0:0:5.1,1.0537
'0:0:5.2,1.0537
'0:0:5.3,1.0538
'0:0:5.4,1.0538
'0:0:5.5,1.0538
'0:0:5.6,1.054
'0:0:5.7,1.0542
'0:0:5.8,1.0545
'0:0:5.9,1.0549
'0:0:6.0,1.0556
'0:0:6.1,1.0566
'0:0:6.2,1.0582
'0:0:6.3,1.0599
'0:0:6.4,1.0617
'0:0:6.5,1.0622
'0:0:6.6,1.0632
'0:0:6.7,1.0637
'0:0:6.8,1.0645
'0:0:6.9,1.065
'0:0:7.0,1.0655
'0:0:7.1,1.0659
'0:0:7.2,1.066
'0:0:7.3,1.0666
'0:0:7.4,1.0667
'0:0:7.5,1.0666
'0:0:7.6,1.0668
'0:0:7.7,1.0667
'0:0:7.8,1.067
'0:0:7.9,1.0673
'0:0:8.0,1.0682
'0:0:8.1,1.0682
'0:0:8.2,1.0679
'0:0:8.3,1.0676
'0:0:8.4,1.0673
'0:0:8.5,1.0668
'0:0:8.6,1.0665
'0:0:8.7,1.0662
'0:0:8.8,1.066
'0:0:8.9,1.0658
'0:0:9.0,1.0655
'0:0:9.1,1.0654
'0:0:9.2,1.0656
'0:0:9.3,1.0653
'0:0:9.4,1.065
'0:0:9.5,1.0649
'0:0:9.6,1.0648
'0:0:9.7,1.0646
'0:0:9.8,1.0646
'0:0:9.9,1.0644
'0:0:10.0,1.0644
'0:0:10.1,1.0647
'0:0:10.2,1.0648
'0:0:10.3,1.0645
'0:0:10.4,1.0641
'0:0:10.5,1.0637
'0:0:10.6,1.0624
'0:0:10.7,1.0544
'0:0:10.8,1.0063
'0:0:10.9,0.9959
'0:0:11.0,1.0584
'0:0:11.1,1.0787
'0:0:11.2,1.1184
'0:0:11.3,1.0827
'0:0:11.4,1.0697
'0:0:11.5,1.0641
'0:0:11.6,1.0628
'0:0:11.7,1.0672
'0:0:11.8,1.066
'0:0:11.9,1.0676
'0:0:12.0,1.0654
'0:0:12.1,1.0627
'0:0:12.2,1.0612
'0:0:12.3,1.0631
'0:0:12.4,1.0607
'0:0:12.5,1.0601
'0:0:12.6,1.0611
'0:0:12.7,1.0597
'0:0:12.8,1.0589
'0:0:12.9,1.0594
'0:0:13.0,1.0542
'0:0:13.1,1.0271
'0:0:13.2,1.0134
'0:0:13.3,1.0287
'0:0:13.4,1.0345
