Time, GSR
'0:0:0.0,8.8127
'0:0:0.1,8.7840
'0:0:0.2,8.7565
'0:0:0.3,8.7239
'0:0:0.4,8.6904
'0:0:0.5,8.6561
'0:0:0.6,8.6190
'0:0:0.7,8.5810
'0:0:0.8,8.5433
'0:0:0.9,8.5079
'0:0:1.0,8.4767
'0:0:1.1,8.4447
'0:0:1.2,8.4169
'0:0:1.3,8.3892
'0:0:1.4,8.3636
'0:0:1.5,8.3362
'0:0:1.6,8.3109
'0:0:1.7,8.2876
'0:0:1.8,8.2635
'0:0:1.9,8.2423
'0:0:2.0,8.2212
'0:0:2.1,8.1993
'0:0:2.2,8.1793
'0:0:2.3,8.1633
'0:0:2.4,8.1491
'0:0:2.5,8.1331
'0:0:2.6,8.1171
'0:0:2.7,8.1040
'0:0:2.8,8.0919
'0:0:2.9,8.0817
'0:0:3.0,8.0705
'0:0:3.1,8.0612
'0:0:3.2,8.0547
'0:0:3.3,8.0446
'0:0:3.4,8.0399
'0:0:3.5,8.0307
'0:0:3.6,8.0252
'0:0:3.7,8.0169
'0:0:3.8,8.0068
'0:0:3.9,7.9949
'0:0:4.0,7.9830
'0:0:4.1,7.9748
'0:0:4.2,7.9730
'0:0:4.3,7.9775
'0:0:4.4,7.9958
'0:0:4.5,8.0252
'0:0:4.6,8.0668
'0:0:4.7,8.1181
'0:0:4.8,8.1680
'0:0:4.9,8.2145
'0:0:5.0,8.2529
'0:0:5.1,8.2886
'0:0:5.2,8.3206
'0:0:5.3,8.3519
'0:0:5.4,8.3833
'0:0:5.5,8.4139
'0:0:5.6,8.4418
'0:0:5.7,8.4647
'0:0:5.8,8.4838
'0:0:5.9,8.4958
'0:0:6.0,8.5029
'0:0:6.1,8.5029
'0:0:6.2,8.4928
'0:0:6.3,8.4777
'0:0:6.4,8.4617
'0:0:6.5,8.4418
'0:0:6.6,8.4159
'0:0:6.7,8.3902
'0:0:6.8,8.3685
'0:0:6.9,8.3421
'0:0:7.0,8.3128
'0:0:7.1,8.2837
'0:0:7.2,8.2635
'0:0:7.3,8.2423
'0:0:7.4,8.2155
'0:0:7.5,8.1869
'0:0:7.6,8.1633
'0:0:7.7,8.1387
'0:0:7.8,8.1153
'0:0:7.9,8.0947
'0:0:8.0,8.0733
'0:0:8.1,8.0538
'0:0:8.2,8.0353
'0:0:8.3,8.0178
'0:0:8.4,8.0031
'0:0:8.5,7.9876
'0:0:8.6,7.9739
'0:0:8.7,7.9639
'0:0:8.8,7.9566
'0:0:8.9,7.9457
'0:0:9.0,7.9349
'0:0:9.1,7.9267
'0:0:9.2,7.9168
'0:0:9.3,7.9069
'0:0:9.4,7.9006
'0:0:9.5,7.8934
'0:0:9.6,7.8862
'0:0:9.7,7.8791
'0:0:9.8,7.8701
'0:0:9.9,7.8612
'0:0:10.0,7.8532
'0:0:10.1,7.8443
