Time, GSR
'-0:0:0.0,1.1090
'0:0:0.1,1.1085
'0:0:0.2,1.1087
'0:0:0.3,1.1087
'0:0:0.4,1.1092
'0:0:0.5,1.1099
'0:0:0.6,1.1107
'0:0:0.7,1.1115
'0:0:0.8,1.1087
'0:0:0.9,1.1087
'0:0:1.0,1.1103
'0:0:1.1,1.1100
'0:0:1.2,1.1093
'0:0:1.3,1.1089
'0:0:1.4,1.1080
'0:0:1.5,1.1081
'0:0:1.6,1.1081
'0:0:1.7,1.1082
'0:0:1.8,1.1077
'0:0:1.9,1.1069
'0:0:2.0,1.1068
'0:0:2.1,1.1065
'0:0:2.2,1.1061
'0:0:2.3,1.1054
'0:0:2.4,1.1053
'0:0:2.5,1.1054
'0:0:2.6,1.1050
'0:0:2.7,1.1048
'0:0:2.8,1.1043
'0:0:2.9,1.1038
'0:0:3.0,1.1039
'0:0:3.1,1.1041
'0:0:3.2,1.1042
'0:0:3.3,1.1044
'0:0:3.4,1.1048
'0:0:3.5,1.1051
'0:0:3.6,1.1055
'0:0:3.7,1.1059
'0:0:3.8,1.1062
'0:0:3.9,1.1063
'0:0:4.0,1.1069
'0:0:4.1,1.1075
'0:0:4.2,1.1081
'0:0:4.3,1.1090
'0:0:4.4,1.1098
'0:0:4.5,1.1105
'0:0:4.6,1.1111
'0:0:4.7,1.1117
'0:0:4.8,1.1122
'0:0:4.9,1.1123
'0:0:5.0,1.1128
'0:0:5.1,1.1128
'0:0:5.2,1.1128
'0:0:5.3,1.1127
'0:0:5.4,1.1124
'0:0:5.5,1.1125
'0:0:5.6,1.1127
'0:0:5.7,1.1127
'0:0:5.8,1.1126
'0:0:5.9,1.1122
'0:0:6.0,1.1119
'0:0:6.1,1.1115
'0:0:6.2,1.1106
'0:0:6.3,1.1101
'0:0:6.4,1.1098
'0:0:6.5,1.1094
'0:0:6.6,1.1092
'0:0:6.7,1.1086
'0:0:6.8,1.1083
'0:0:6.9,1.1078
'0:0:7.0,1.1074
'0:0:7.1,1.1073
'0:0:7.2,1.1069
'0:0:7.3,1.1067
'0:0:7.4,1.1067
'0:0:7.5,1.1067
'0:0:7.6,1.1067
'0:0:7.7,1.1067
'0:0:7.8,1.1066
'0:0:7.9,1.1066
'0:0:8.0,1.1066
'0:0:8.1,1.1063
'0:0:8.2,1.1060
'0:0:8.3,1.1059
'0:0:8.4,1.1057
'0:0:8.5,1.1057
'0:0:8.6,1.1055
'0:0:8.7,1.1059
'0:0:8.8,1.1073
'0:0:8.9,1.1078
'0:0:9.0,1.1082
'0:0:9.1,1.1081
'0:0:9.2,1.1079
'0:0:9.3,1.1076
'0:0:9.4,1.1072
'0:0:9.5,1.1070
'0:0:9.6,1.1067
'0:0:9.7,1.1065
'0:0:9.8,1.1063
'0:0:9.9,1.1060
'0:0:10.0,1.1057
'0:0:10.1,1.1054
'0:0:10.2,1.1051
'0:0:10.3,1.1051
'0:0:10.4,1.1049
'0:0:10.5,1.1046
'0:0:10.6,1.1045
'0:0:10.7,1.1043
'0:0:10.8,1.1043
'0:0:10.9,1.1044
'0:0:11.0,1.1049
'0:0:11.1,1.1052
'0:0:11.2,1.1054
'0:0:11.3,1.1052
'0:0:11.4,1.1064
'0:0:11.5,1.1093
'0:0:11.6,1.1101
'0:0:11.7,1.1099
'0:0:11.8,1.1104
'0:0:11.9,1.1091
'0:0:12.0,1.1091
'0:0:12.1,1.1087
'0:0:12.2,1.1089
'0:0:12.3,1.1090
'0:0:12.4,1.1085
'0:0:12.5,1.1082
'0:0:12.6,1.1083
'0:0:12.7,1.1075
'0:0:12.8,1.1071
'0:0:12.9,1.1072
'0:0:13.0,1.1070
'0:0:13.1,1.1064
'0:0:13.2,1.1058
'0:0:13.3,1.1057
'0:0:13.4,1.1059
'0:0:13.5,1.1055
'0:0:13.6,1.1051
'0:0:13.7,1.1051
'0:0:13.8,1.1052
'0:0:13.9,1.1053
'0:0:14.0,1.1054
'0:0:14.1,1.1057
'0:0:14.2,1.1058
'0:0:14.3,1.1057
'0:0:14.4,1.1058
'0:0:14.5,1.1057
'0:0:14.6,1.1055
'0:0:14.7,1.1052
'0:0:14.8,1.1049
'0:0:14.9,1.1046
'0:0:15.0,1.1041
'0:0:15.1,1.1034
'0:0:15.2,1.1026
'0:0:15.3,1.1015
'0:0:15.4,1.1013
'0:0:15.5,1.1010
'0:0:15.6,1.0985
'0:0:15.7,1.0965
'0:0:15.8,1.0997
'0:0:15.9,1.0990
'0:0:16.0,1.0981
'0:0:16.1,1.0942
'0:0:16.2,1.0894
'0:0:16.3,1.0767
'0:0:16.4,1.0360
'0:0:16.5,1.0146
'0:0:16.6,1.0857
'0:0:16.7,1.1939
'0:0:16.8,1.1242
'0:0:16.9,1.1127
'0:0:17.0,1.1084
'0:0:17.1,1.1107
