Time,,,HRV
3/19/2019,3:25:07,PM,51
3/19/2019,3:25:08,PM,51
3/19/2019,3:25:09,PM,51
3/19/2019,3:25:10,PM,51
3/19/2019,3:25:11,PM,51
3/19/2019,3:25:12,PM,51
3/19/2019,3:25:13,PM,51
3/19/2019,3:25:14,PM,51
3/19/2019,3:25:15,PM,52
3/19/2019,3:25:16,PM,51
3/19/2019,3:25:17,PM,50
3/19/2019,3:25:18,PM,50
3/19/2019,3:25:19,PM,50
3/19/2019,3:25:20,PM,49
3/19/2019,3:25:21,PM,49
3/19/2019,3:25:22,PM,49
3/19/2019,3:25:23,PM,49
3/19/2019,3:25:24,PM,49
3/19/2019,3:25:25,PM,49
3/19/2019,3:25:26,PM,50
3/19/2019,3:25:27,PM,50
3/19/2019,3:25:28,PM,50
3/19/2019,3:25:29,PM,50
3/19/2019,3:25:30,PM,50
3/19/2019,3:25:31,PM,50
3/19/2019,3:25:32,PM,50
3/19/2019,3:25:33,PM,50
3/19/2019,3:25:34,PM,50
3/19/2019,3:25:35,PM,50
3/19/2019,3:25:36,PM,50
3/19/2019,3:25:37,PM,50
3/19/2019,3:25:38,PM,50
3/19/2019,3:25:39,PM,50
3/19/2019,3:25:40,PM,50
3/19/2019,3:25:41,PM,51
3/19/2019,3:25:42,PM,52
3/19/2019,3:25:43,PM,52
3/19/2019,3:25:44,PM,52
3/19/2019,3:25:45,PM,52
3/19/2019,3:25:46,PM,52
3/19/2019,3:25:47,PM,52
3/19/2019,3:25:48,PM,52
3/19/2019,3:25:49,PM,52
3/19/2019,3:25:50,PM,52
3/19/2019,3:25:51,PM,52
3/19/2019,3:25:52,PM,52
3/19/2019,3:25:53,PM,52
3/19/2019,3:25:54,PM,52
3/19/2019,3:25:55,PM,53
3/19/2019,3:25:56,PM,53
3/19/2019,3:25:57,PM,53
3/19/2019,3:25:58,PM,53
3/19/2019,3:25:59,PM,53
3/19/2019,3:26:00,PM,53
3/19/2019,3:26:01,PM,53
3/19/2019,3:26:02,PM,53
3/19/2019,3:26:03,PM,53
3/19/2019,3:26:04,PM,53
3/19/2019,3:26:05,PM,53
3/19/2019,3:26:06,PM,53
3/19/2019,3:26:07,PM,53
3/19/2019,3:26:08,PM,53
3/19/2019,3:26:09,PM,53
3/19/2019,3:26:10,PM,53
3/19/2019,3:26:11,PM,53
3/19/2019,3:26:12,PM,54
3/19/2019,3:26:13,PM,54
3/19/2019,3:26:14,PM,54
3/19/2019,3:26:15,PM,54
3/19/2019,3:26:16,PM,54
3/19/2019,3:26:17,PM,54
3/19/2019,3:26:18,PM,54
3/19/2019,3:26:19,PM,54
3/19/2019,3:26:20,PM,54
3/19/2019,3:26:21,PM,55
3/19/2019,3:26:22,PM,55
3/19/2019,3:26:23,PM,55
3/19/2019,3:26:24,PM,55
3/19/2019,3:26:25,PM,55
3/19/2019,3:26:26,PM,55
3/19/2019,3:26:27,PM,55
3/19/2019,3:26:28,PM,55
3/19/2019,3:26:29,PM,55
3/19/2019,3:26:30,PM,55
3/19/2019,3:26:31,PM,55
3/19/2019,3:26:32,PM,56
3/19/2019,3:26:33,PM,56
3/19/2019,3:26:34,PM,56
3/19/2019,3:26:35,PM,56
3/19/2019,3:26:36,PM,56
3/19/2019,3:26:37,PM,56
3/19/2019,3:26:38,PM,56
3/19/2019,3:26:39,PM,56
