Time, GSR
'0:0:0.0,4.8330
'0:0:0.1,4.8303
'0:0:0.2,4.8294
'0:0:0.3,4.8277
'0:0:0.4,4.8268
'0:0:0.5,4.8246
'0:0:0.6,4.8228
'0:0:0.7,4.8202
'0:0:0.8,4.8171
'0:0:0.9,4.8141
'0:0:1.0,4.8114
'0:0:1.1,4.8088
'0:0:1.2,4.8066
'0:0:1.3,4.8058
'0:0:1.4,4.8040
'0:0:1.5,4.8014
'0:0:1.6,4.7979
'0:0:1.7,4.7948
'0:0:1.8,4.7922
'0:0:1.9,4.7901
'0:0:2.0,4.7874
'0:0:2.1,4.7840
'0:0:2.2,4.7831
'0:0:2.3,4.7835
'0:0:2.4,4.7809
'0:0:2.5,4.7801
'0:0:2.6,4.7770
'0:0:2.7,4.7740
'0:0:2.8,4.7740
'0:0:2.9,4.7727
'0:0:3.0,4.7718
'0:0:3.1,4.7718
'0:0:3.2,4.7714
'0:0:3.3,4.7710
'0:0:3.4,4.7714
'0:0:3.5,4.7710
'0:0:3.6,4.7714
'0:0:3.7,4.7718
'0:0:3.8,4.7727
'0:0:3.9,4.7740
'0:0:4.0,4.7749
'0:0:4.1,4.7757
'0:0:4.2,4.7766
'0:0:4.3,4.7783
'0:0:4.4,4.7809
'0:0:4.5,4.7827
'0:0:4.6,4.7848
'0:0:4.7,4.7874
'0:0:4.8,4.7905
'0:0:4.9,4.7935
'0:0:5.0,4.7979
'0:0:5.1,4.8014
'0:0:5.2,4.8044
'0:0:5.3,4.8062
'0:0:5.4,4.8079
'0:0:5.5,4.8093
'0:0:5.6,4.8101
'0:0:5.7,4.8110
'0:0:5.8,4.8132
'0:0:5.9,4.8145
'0:0:6.0,4.8145
'0:0:6.1,4.8145
'0:0:6.2,4.8132
'0:0:6.3,4.8123
'0:0:6.4,4.8110
'0:0:6.5,4.8071
'0:0:6.6,4.8044
'0:0:6.7,4.8023
'0:0:6.8,4.8018
'0:0:6.9,4.8005
'0:0:7.0,4.8005
'0:0:7.1,4.7988
'0:0:7.2,4.7979
'0:0:7.3,4.7962
'0:0:7.4,4.7957
'0:0:7.5,4.7948
'0:0:7.6,4.7940
'0:0:7.7,4.7948
'0:0:7.8,4.7970
'0:0:7.9,4.7983
'0:0:8.0,4.7992
'0:0:8.1,4.7996
'0:0:8.2,4.8005
'0:0:8.3,4.8005
'0:0:8.4,4.8005
'0:0:8.5,4.8001
'0:0:8.6,4.7992
'0:0:8.7,4.7979
'0:0:8.8,4.7966
'0:0:8.9,4.7966
'0:0:9.0,4.7948
'0:0:9.1,4.7935
'0:0:9.2,4.7927
'0:0:9.3,4.7922
'0:0:9.4,4.7909
'0:0:9.5,4.7879
'0:0:9.6,4.7857
'0:0:9.7,4.7831
'0:0:9.8,4.7805
'0:0:9.9,4.7775
'0:0:10.0,4.7749
'0:0:10.1,4.7718
'0:0:10.2,4.7697
'0:0:10.3,4.7675
'0:0:10.4,4.7658
'0:0:10.5,4.7640
'0:0:10.6,4.7623
'0:0:10.7,4.7606
'0:0:10.8,4.7589
'0:0:10.9,4.7571
'0:0:11.0,4.7554
'0:0:11.1,4.7537
'0:0:11.2,4.7520
'0:0:11.3,4.7502
'0:0:11.4,4.7494
'0:0:11.5,4.7472
'0:0:11.6,4.7459
'0:0:11.7,4.7442
'0:0:11.8,4.7429
'0:0:11.9,4.7421
'0:0:12.0,4.7412
'0:0:12.1,4.7399
'0:0:12.2,4.7386
'0:0:12.3,4.7373
'0:0:12.4,4.7365
'0:0:12.5,4.7348
'0:0:12.6,4.7339
'0:0:12.7,4.7331
