Time,GSR
'0:0:0.0,1.8817
'0:0:0.1,1.8804
'0:0:0.2,1.8797
'0:0:0.3,1.8790
'0:0:0.4,1.8785
'0:0:0.5,1.8781
'0:0:0.6,1.8775
'0:0:0.7,1.8772
'0:0:0.8,1.8767
'0:0:0.9,1.8756
'0:0:1.0,1.8749
'0:0:1.1,1.8743
'0:0:1.2,1.8737
'0:0:1.3,1.8729
'0:0:1.4,1.8723
'0:0:1.5,1.8717
'0:0:1.6,1.8712
'0:0:1.7,1.8706
'0:0:1.8,1.8697
'0:0:1.9,1.8690
'0:0:2.0,1.8682
'0:0:2.1,1.8676
'0:0:2.2,1.8670
'0:0:2.3,1.8664
'0:0:2.4,1.8661
'0:0:2.5,1.8657
'0:0:2.6,1.8647
'0:0:2.7,1.8637
'0:0:2.8,1.8629
'0:0:2.9,1.8622
'0:0:3.0,1.8616
'0:0:3.1,1.8610
'0:0:3.2,1.8605
'0:0:3.3,1.8604
'0:0:3.4,1.8601
'0:0:3.5,1.8595
'0:0:3.6,1.8587
'0:0:3.7,1.8580
'0:0:3.8,1.8568
'0:0:3.9,1.8562
'0:0:4.0,1.8556
'0:0:4.1,1.8548
'0:0:4.2,1.8550
'0:0:4.3,1.8550
'0:0:4.4,1.8542
'0:0:4.5,1.8535
'0:0:4.6,1.8530
'0:0:4.7,1.8526
'0:0:4.8,1.8520
'0:0:4.9,1.8515
'0:0:5.0,1.8509
'0:0:5.1,1.8503
'0:0:5.2,1.8493
'0:0:5.3,1.8485
'0:0:5.4,1.8476
'0:0:5.5,1.8469
'0:0:5.6,1.8461
'0:0:5.7,1.8454
'0:0:5.8,1.8449
'0:0:5.9,1.8446
'0:0:6.0,1.8448
'0:0:6.1,1.8452
'0:0:6.2,1.8464
'0:0:6.3,1.8488
'0:0:6.4,1.8521
'0:0:6.5,1.8568
'0:0:6.6,1.8625
'0:0:6.7,1.8694
'0:0:6.8,1.8772
'0:0:6.9,1.8863
'0:0:7.0,1.8956
'0:0:7.1,1.9050
'0:0:7.2,1.9144
'0:0:7.3,1.9237
'0:0:7.4,1.9322
'0:0:7.5,1.9400
'0:0:7.6,1.9465
'0:0:7.7,1.9521
'0:0:7.8,1.9570
'0:0:7.9,1.9617
'0:0:8.0,1.9655
'0:0:8.1,1.9685
'0:0:8.2,1.9711
'0:0:8.3,1.9730
'0:0:8.4,1.9743
'0:0:8.5,1.9755
'0:0:8.6,1.9762
'0:0:8.7,1.9763
'0:0:8.8,1.9763
'0:0:8.9,1.9757
'0:0:9.0,1.9750
'0:0:9.1,1.9743
'0:0:9.2,1.9735
'0:0:9.3,1.9723
'0:0:9.4,1.9711
'0:0:9.5,1.9695
'0:0:9.6,1.9679
'0:0:9.7,1.9662
'0:0:9.8,1.9646
'0:0:9.9,1.9632
'0:0:10.0,1.9616
'0:0:10.1,1.9600
'0:0:10.2,1.9583
'0:0:10.3,1.9567
'0:0:10.4,1.9556
'0:0:10.5,1.9545
'0:0:10.6,1.9527
'0:0:10.7,1.9512
'0:0:10.8,1.9496
'0:0:10.9,1.9479
'0:0:11.0,1.9461
'0:0:11.1,1.9441
'0:0:11.2,1.9424
'0:0:11.3,1.9407
'0:0:11.4,1.9386
'0:0:11.5,1.9368
'0:0:11.6,1.9350
'0:0:11.7,1.9332
'0:0:11.8,1.9315
'0:0:11.9,1.9297
'0:0:12.0,1.9279
'0:0:12.1,1.9262
'0:0:12.2,1.9243
'0:0:12.3,1.9231
'0:0:12.4,1.9213
'0:0:12.5,1.9200
'0:0:12.6,1.9184
'0:0:12.7,1.9167
'0:0:12.8,1.9152
'0:0:12.9,1.9138
'0:0:13.0,1.9121
'0:0:13.1,1.9107
'0:0:13.2,1.9090
'0:0:13.3,1.9077
'0:0:13.4,1.9061
'0:0:13.5,1.9045
'0:0:13.6,1.9030
'0:0:13.7,1.9011
'0:0:13.8,1.8996
'0:0:13.9,1.8982
'0:0:14.0,1.8967
'0:0:14.1,1.8955
'0:0:14.2,1.8944
'0:0:14.3,1.8932
'0:0:14.4,1.8919
'0:0:14.5,1.8909
'0:0:14.6,1.8896
'0:0:14.7,1.8886
'0:0:14.8,1.8877
'0:0:14.9,1.8866
'0:0:15.0,1.8857
'0:0:15.1,1.8848
'0:0:15.2,1.8834
'0:0:15.3,1.8823
'0:0:15.4,1.8811
'0:0:15.5,1.8800
'0:0:15.6,1.8790
'0:0:15.7,1.8779
'0:0:15.8,1.8769
'0:0:15.9,1.8759
'0:0:16.0,1.8747
'0:0:16.1,1.8735
'0:0:16.2,1.8723
'0:0:16.3,1.8712
'0:0:16.4,1.8700
'0:0:16.5,1.8690
'0:0:16.6,1.8682
'0:0:16.7,1.8673
'0:0:16.8,1.8664
'0:0:16.9,1.8653
'0:0:17.0,1.8643
'0:0:17.1,1.8631
'0:0:17.2,1.8620
'0:0:17.3,1.8611
'0:0:17.4,1.8602
'0:0:17.5,1.8593
'0:0:17.6,1.8584
'0:0:17.7,1.8574
'0:0:17.8,1.8563
'0:0:17.9,1.8551
'0:0:18.0,1.8541
'0:0:18.1,1.8532
'0:0:18.2,1.8518
'0:0:18.3,1.8508
'0:0:18.4,1.8497
'0:0:18.5,1.8488
'0:0:18.6,1.8476
'0:0:18.7,1.8464
'0:0:18.8,1.8452
'0:0:18.9,1.8443
'0:0:19.0,1.8433
'0:0:19.1,1.8422
'0:0:19.2,1.8410
'0:0:19.3,1.8403
'0:0:19.4,1.8394
'0:0:19.5,1.8383
'0:0:19.6,1.8372
'0:0:19.7,1.8361
'0:0:19.8,1.8349
'0:0:19.9,1.8339
'0:0:20.0,1.8330
'0:0:20.1,1.8319
'0:0:20.2,1.8309
'0:0:20.3,1.8302
'0:0:20.4,1.8290
'0:0:20.5,1.8279
'0:0:20.6,1.8269
'0:0:20.7,1.8259
'0:0:20.8,1.8250
'0:0:20.9,1.8241
'0:0:21.0,1.8233
'0:0:21.1,1.8226
'0:0:21.2,1.8217
'0:0:21.3,1.8207
'0:0:21.4,1.8195
'0:0:21.5,1.8185
'0:0:21.6,1.8176
'0:0:21.7,1.8167
'0:0:21.8,1.8160
'0:0:21.9,1.8151
'0:0:22.0,1.8142
'0:0:22.1,1.8127
'0:0:22.2,1.8090
'0:0:22.3,1.8074
'0:0:22.4,1.8067
'0:0:22.5,1.8063
'0:0:22.6,1.8058
'0:0:22.7,1.8054
'0:0:22.8,1.8048
'0:0:22.9,1.8039
'0:0:23.0,1.8027
'0:0:23.1,1.8019
'0:0:23.2,1.8008
'0:0:23.3,1.8001
'0:0:23.4,1.7994
'0:0:23.5,1.7985
'0:0:23.6,1.7976
'0:0:23.7,1.7967
'0:0:23.8,1.7954
'0:0:23.9,1.7944
'0:0:24.0,1.7935
'0:0:24.1,1.7927
'0:0:24.2,1.7916
'0:0:24.3,1.7909
'0:0:24.4,1.7900
'0:0:24.5,1.7892
'0:0:24.6,1.7883
'0:0:24.7,1.7873
'0:0:24.8,1.7861
'0:0:24.9,1.7851
'0:0:25.0,1.7839
'0:0:25.1,1.7831
'0:0:25.2,1.7819
'0:0:25.3,1.7809
'0:0:25.4,1.7799
'0:0:25.5,1.7787
'0:0:25.6,1.7777
'0:0:25.7,1.7767
'0:0:25.8,1.7755
'0:0:25.9,1.7747
'0:0:26.0,1.7738
'0:0:26.1,1.7728
'0:0:26.2,1.7721
'0:0:26.3,1.7710
'0:0:26.4,1.7699
'0:0:26.5,1.7689
'0:0:26.6,1.7680
'0:0:26.7,1.7673
'0:0:26.8,1.7666
'0:0:26.9,1.7659
'0:0:27.0,1.7653
'0:0:27.1,1.7646
'0:0:27.2,1.7634
'0:0:27.3,1.7624
'0:0:27.4,1.7613
'0:0:27.5,1.7602
'0:0:27.6,1.7594
'0:0:27.7,1.7587
'0:0:27.8,1.7578
'0:0:27.9,1.7572
'0:0:28.0,1.7565
'0:0:28.1,1.7558
'0:0:28.2,1.7549
'0:0:28.3,1.7544
'0:0:28.4,1.7535
'0:0:28.5,1.7529
'0:0:28.6,1.7521
'0:0:28.7,1.7515
'0:0:28.8,1.7508
'0:0:28.9,1.7499
'0:0:29.0,1.7489
'0:0:29.1,1.7481
'0:0:29.2,1.7472
'0:0:29.3,1.7467
'0:0:29.4,1.7461
'0:0:29.5,1.7455
'0:0:29.6,1.7450
'0:0:29.7,1.7438
'0:0:29.8,1.7428
'0:0:29.9,1.7414
'0:0:30.0,1.7400
'0:0:30.1,1.7388
'0:0:30.2,1.7377
'0:0:30.3,1.7366
'0:0:30.4,1.7356
'0:0:30.5,1.7346
'0:0:30.6,1.7336
'0:0:30.7,1.7326
'0:0:30.8,1.7317
'0:0:30.9,1.7308
'0:0:31.0,1.7299
'0:0:31.1,1.7291
'0:0:31.2,1.7282
'0:0:31.3,1.7275
'0:0:31.4,1.7268
'0:0:31.5,1.7260
'0:0:31.6,1.7251
'0:0:31.7,1.7243
'0:0:31.8,1.7238
'0:0:31.9,1.7233
'0:0:32.0,1.7224
'0:0:32.1,1.7217
'0:0:32.2,1.7209
'0:0:32.3,1.7203
'0:0:32.4,1.7193
'0:0:32.5,1.7185
'0:0:32.6,1.7176
'0:0:32.7,1.7171
'0:0:32.8,1.7164
'0:0:32.9,1.7158
'0:0:33.0,1.7155
'0:0:33.1,1.7154
'0:0:33.2,1.7154
'0:0:33.3,1.7153
'0:0:33.4,1.7154
'0:0:33.5,1.7158
'0:0:33.6,1.7162
'0:0:33.7,1.7167
'0:0:33.8,1.7171
'0:0:33.9,1.7176
'0:0:34.0,1.7182
'0:0:34.1,1.7183
'0:0:34.2,1.7182
'0:0:34.3,1.7181
'0:0:34.4,1.7178
'0:0:34.5,1.7175
'0:0:34.6,1.7171
'0:0:34.7,1.7165
'0:0:34.8,1.7161
'0:0:34.9,1.7155
'0:0:35.0,1.7151
'0:0:35.1,1.7147
'0:0:35.2,1.7139
'0:0:35.3,1.7133
'0:0:35.4,1.7125
'0:0:35.5,1.7120
'0:0:35.6,1.7113
'0:0:35.7,1.7105
'0:0:35.8,1.7098
'0:0:35.9,1.7091
'0:0:36.0,1.7077
'0:0:36.1,1.7066
'0:0:36.2,1.7055
'0:0:36.3,1.7045
'0:0:36.4,1.7036
'0:0:36.5,1.7029
'0:0:36.6,1.7020
'0:0:36.7,1.7013
'0:0:36.8,1.7006
'0:0:36.9,1.6997
'0:0:37.0,1.6990
'0:0:37.1,1.6985
'0:0:37.2,1.6982
'0:0:37.3,1.6983
'0:0:37.4,1.6978
'0:0:37.5,1.6974
'0:0:37.6,1.6968
'0:0:37.7,1.6960
'0:0:37.8,1.6953
'0:0:37.9,1.6946
'0:0:38.0,1.6940
'0:0:38.1,1.6936
'0:0:38.2,1.6931
'0:0:38.3,1.6926
'0:0:38.4,1.6921
'0:0:38.5,1.6915
'0:0:38.6,1.6907
'0:0:38.7,1.6899
'0:0:38.8,1.6892
'0:0:38.9,1.6885
'0:0:39.0,1.6878
'0:0:39.1,1.6870
'0:0:39.2,1.6861
'0:0:39.3,1.6856
'0:0:39.4,1.6848
'0:0:39.5,1.6838
'0:0:39.6,1.6830
'0:0:39.7,1.6823
'0:0:39.8,1.6816
'0:0:39.9,1.6813
'0:0:40.0,1.6809
'0:0:40.1,1.6806
'0:0:40.2,1.6805
'0:0:40.3,1.6798
'0:0:40.4,1.6791
'0:0:40.5,1.6785
'0:0:40.6,1.6780
'0:0:40.7,1.6774
'0:0:40.8,1.6766
'0:0:40.9,1.6761
'0:0:41.0,1.6755
'0:0:41.1,1.6750
'0:0:41.2,1.6740
'0:0:41.3,1.6733
'0:0:41.4,1.6725
'0:0:41.5,1.6718
'0:0:41.6,1.6712
'0:0:41.7,1.6707
'0:0:41.8,1.6702
'0:0:41.9,1.6696
'0:0:42.0,1.6691
'0:0:42.1,1.6681
'0:0:42.2,1.6673
'0:0:42.3,1.6667
'0:0:42.4,1.6662
'0:0:42.5,1.6656
'0:0:42.6,1.6651
'0:0:42.7,1.6647
'0:0:42.8,1.6645
'0:0:42.9,1.6641
'0:0:43.0,1.6634
'0:0:43.1,1.6629
'0:0:43.2,1.6623
'0:0:43.3,1.6619
'0:0:43.4,1.6614
'0:0:43.5,1.6608
'0:0:43.6,1.6604
'0:0:43.7,1.6600
'0:0:43.8,1.6593
'0:0:43.9,1.6587
'0:0:44.0,1.6581
'0:0:44.1,1.6576
'0:0:44.2,1.6570
'0:0:44.3,1.6566
'0:0:44.4,1.6562
'0:0:44.5,1.6557
'0:0:44.6,1.6552
'0:0:44.7,1.6546
'0:0:44.8,1.6539
'0:0:44.9,1.6535
'0:0:45.0,1.6528
'0:0:45.1,1.6523
'0:0:45.2,1.6517
'0:0:45.3,1.6513
'0:0:45.4,1.6509
'0:0:45.5,1.6502
'0:0:45.6,1.6494
'0:0:45.7,1.6487
'0:0:45.8,1.6482
'0:0:45.9,1.6475
'0:0:46.0,1.6472
'0:0:46.1,1.6470
'0:0:46.2,1.6467
'0:0:46.3,1.6465
'0:0:46.4,1.6463
'0:0:46.5,1.6457
'0:0:46.6,1.6452
'0:0:46.7,1.6448
'0:0:46.8,1.6442
'0:0:46.9,1.6437
'0:0:47.0,1.6432
'0:0:47.1,1.6428
'0:0:47.2,1.6423
'0:0:47.3,1.6418
'0:0:47.4,1.6413
'0:0:47.5,1.6405
'0:0:47.6,1.6399
'0:0:47.7,1.6392
'0:0:47.8,1.6386
'0:0:47.9,1.6380
'0:0:48.0,1.6375
'0:0:48.1,1.6371
'0:0:48.2,1.6365
'0:0:48.3,1.6360
'0:0:48.4,1.6356
'0:0:48.5,1.6351
'0:0:48.6,1.6345
'0:0:48.7,1.6344
'0:0:48.8,1.6340
'0:0:48.9,1.6340
'0:0:49.0,1.6341
'0:0:49.1,1.6344
'0:0:49.2,1.6337
'0:0:49.3,1.6336
'0:0:49.4,1.6334
'0:0:49.5,1.6332
'0:0:49.6,1.6330
'0:0:49.7,1.6329
'0:0:49.8,1.6328
'0:0:49.9,1.6332
'0:0:50.0,1.6330
'0:0:50.1,1.6325
'0:0:50.2,1.6321
'0:0:50.3,1.6317
'0:0:50.4,1.6310
'0:0:50.5,1.6306
'0:0:50.6,1.6303
'0:0:50.7,1.6299
'0:0:50.8,1.6295
'0:0:50.9,1.6290
'0:0:51.0,1.6282
'0:0:51.1,1.6275
'0:0:51.2,1.6267
'0:0:51.3,1.6260
'0:0:51.4,1.6254
'0:0:51.5,1.6248
'0:0:51.6,1.6242
'0:0:51.7,1.6236
'0:0:51.8,1.6230
'0:0:51.9,1.6220
'0:0:52.0,1.6212
'0:0:52.1,1.6207
'0:0:52.2,1.6199
'0:0:52.3,1.6193
'0:0:52.4,1.6189
'0:0:52.5,1.6187
'0:0:52.6,1.6191
'0:0:52.7,1.6188
'0:0:52.8,1.6181
'0:0:52.9,1.6175
'0:0:53.0,1.6169
'0:0:53.1,1.6163
'0:0:53.2,1.6156
'0:0:53.3,1.6152
'0:0:53.4,1.6147
'0:0:53.5,1.6143
'0:0:53.6,1.6133
'0:0:53.7,1.6127
'0:0:53.8,1.6119
'0:0:53.9,1.6113
'0:0:54.0,1.6107
'0:0:54.1,1.6101
'0:0:54.2,1.6095
'0:0:54.3,1.6089
'0:0:54.4,1.6083
'0:0:54.5,1.6075
'0:0:54.6,1.6067
'0:0:54.7,1.6059
'0:0:54.8,1.6048
'0:0:54.9,1.6041
'0:0:55.0,1.6033
'0:0:55.1,1.6028
'0:0:55.2,1.6024
'0:0:55.3,1.6019
'0:0:55.4,1.6010
'0:0:55.5,1.6003
'0:0:55.6,1.5998
'0:0:55.7,1.5994
'0:0:55.8,1.5991
'0:0:55.9,1.5988
'0:0:56.0,1.5983
'0:0:56.1,1.5978
'0:0:56.2,1.5970
'0:0:56.3,1.5962
'0:0:56.4,1.5954
'0:0:56.5,1.5947
'0:0:56.6,1.5941
'0:0:56.7,1.5936
'0:0:56.8,1.5930
'0:0:56.9,1.5926
'0:0:57.0,1.5921
'0:0:57.1,1.5913
'0:0:57.2,1.5904
'0:0:57.3,1.5896
'0:0:57.4,1.5889
'0:0:57.5,1.5881
'0:0:57.6,1.5875
'0:0:57.7,1.5870
'0:0:57.8,1.5864
'0:0:57.9,1.5859
'0:0:58.0,1.5853
'0:0:58.1,1.5843
'0:0:58.2,1.5834
'0:0:58.3,1.5828
'0:0:58.4,1.5821
'0:0:58.5,1.5816
'0:0:58.6,1.5810
'0:0:58.7,1.5805
'0:0:58.8,1.5800
'0:0:58.9,1.5795
'0:0:59.0,1.5790
'0:0:59.1,1.5784
'0:0:59.2,1.5778
'0:0:59.3,1.5774
'0:0:59.4,1.5769
'0:0:59.5,1.5765
'0:0:59.6,1.5759
'0:0:59.7,1.5755
'0:0:59.8,1.5746
'0:0:59.9,1.5738
'0:1:0.0,1.5732
'0:1:0.1,1.5725
'0:1:0.2,1.5719
'0:1:0.3,1.5715
'0:1:0.4,1.5710
'0:1:0.5,1.5706
'0:1:0.6,1.5699
'0:1:0.7,1.5690
'0:1:0.8,1.5685
'0:1:0.9,1.5677
'0:1:1.0,1.5672
'0:1:1.1,1.5667
'0:1:1.2,1.5660
'0:1:1.3,1.5656
'0:1:1.4,1.5650
'0:1:1.5,1.5642
'0:1:1.6,1.5633
'0:1:1.7,1.5628
'0:1:1.8,1.5622
'0:1:1.9,1.5619
'0:1:2.0,1.5613
'0:1:2.1,1.5609
'0:1:2.2,1.5604
'0:1:2.3,1.5598
'0:1:2.4,1.5590
'0:1:2.5,1.5585
'0:1:2.6,1.5578
'0:1:2.7,1.5573
'0:1:2.8,1.5568
'0:1:2.9,1.5563
'0:1:3.0,1.5558
'0:1:3.1,1.5551
'0:1:3.2,1.5543
'0:1:3.3,1.5538
'0:1:3.4,1.5532
'0:1:3.5,1.5527
'0:1:3.6,1.5521
'0:1:3.7,1.5516
'0:1:3.8,1.5511
'0:1:3.9,1.5505
'0:1:4.0,1.5496
'0:1:4.1,1.5489
'0:1:4.2,1.5483
'0:1:4.3,1.5476
'0:1:4.4,1.5472
'0:1:4.5,1.5468
'0:1:4.6,1.5465
'0:1:4.7,1.5461
'0:1:4.8,1.5454
'0:1:4.9,1.5450
'0:1:5.0,1.5448
'0:1:5.1,1.5441
'0:1:5.2,1.5436
'0:1:5.3,1.5431
'0:1:5.4,1.5426
'0:1:5.5,1.5422
'0:1:5.6,1.5417
'0:1:5.7,1.5409
'0:1:5.8,1.5404
'0:1:5.9,1.5398
'0:1:6.0,1.5393
'0:1:6.1,1.5387
'0:1:6.2,1.5382
'0:1:6.3,1.5381
'0:1:6.4,1.5380
'0:1:6.5,1.5376
'0:1:6.6,1.5371
'0:1:6.7,1.5367
'0:1:6.8,1.5363
'0:1:6.9,1.5360
'0:1:7.0,1.5359
'0:1:7.1,1.5358
'0:1:7.2,1.5354
'0:1:7.3,1.5354
'0:1:7.4,1.5350
'0:1:7.5,1.5348
'0:1:7.6,1.5345
'0:1:7.7,1.5343
'0:1:7.8,1.5341
'0:1:7.9,1.5340
'0:1:8.0,1.5339
'0:1:8.1,1.5335
'0:1:8.2,1.5332
'0:1:8.3,1.5327
'0:1:8.4,1.5322
'0:1:8.5,1.5318
'0:1:8.6,1.5314
'0:1:8.7,1.5312
'0:1:8.8,1.5307
'0:1:8.9,1.5304
'0:1:9.0,1.5302
'0:1:9.1,1.5298
'0:1:9.2,1.5291
'0:1:9.3,1.5286
'0:1:9.4,1.5282
'0:1:9.5,1.5277
'0:1:9.6,1.5274
'0:1:9.7,1.5271
'0:1:9.8,1.5267
'0:1:9.9,1.5262
'0:1:10.0,1.5258
'0:1:10.1,1.5253
'0:1:10.2,1.5247
'0:1:10.3,1.5242
'0:1:10.4,1.5237
'0:1:10.5,1.5233
'0:1:10.6,1.5230
'0:1:10.7,1.5228
'0:1:10.8,1.5223
'0:1:10.9,1.5217
'0:1:11.0,1.5210
'0:1:11.1,1.5205
'0:1:11.2,1.5198
'0:1:11.3,1.5195
'0:1:11.4,1.5191
'0:1:11.5,1.5188
'0:1:11.6,1.5186
'0:1:11.7,1.5182
'0:1:11.8,1.5178
'0:1:11.9,1.5172
'0:1:12.0,1.5167
'0:1:12.1,1.5163
'0:1:12.2,1.5160
'0:1:12.3,1.5159
'0:1:12.4,1.5156
'0:1:12.5,1.5155
'0:1:12.6,1.5154
'0:1:12.7,1.5151
'0:1:12.8,1.5149
'0:1:12.9,1.5146
'0:1:13.0,1.5143
'0:1:13.1,1.5143
'0:1:13.2,1.5141
'0:1:13.3,1.5139
'0:1:13.4,1.5136
'0:1:13.5,1.5134
'0:1:13.6,1.5130
'0:1:13.7,1.5126
'0:1:13.8,1.5122
'0:1:13.9,1.5120
'0:1:14.0,1.5117
'0:1:14.1,1.5116
