 Time,,,HRV
3/28/2019,3:57:10,PM,52
3/28/2019,3:57:11,PM,52
3/28/2019,3:57:12,PM,52
3/28/2019,3:57:13,PM,52
3/28/2019,3:57:14,PM,52
3/28/2019,3:57:15,PM,52
3/28/2019,3:57:16,PM,52
3/28/2019,3:57:17,PM,52
3/28/2019,3:57:18,PM,52
3/28/2019,3:57:19,PM,52
3/28/2019,3:57:20,PM,52
3/28/2019,3:57:21,PM,51
3/28/2019,3:57:22,PM,51
3/28/2019,3:57:23,PM,51
3/28/2019,3:57:24,PM,51
3/28/2019,3:57:25,PM,50
3/28/2019,3:57:26,PM,50
3/28/2019,3:57:27,PM,50
3/28/2019,3:57:28,PM,50
3/28/2019,3:57:29,PM,50
3/28/2019,3:57:30,PM,50
3/28/2019,3:57:31,PM,50
3/28/2019,3:57:32,PM,50
3/28/2019,3:57:33,PM,50
3/28/2019,3:57:34,PM,50
3/28/2019,3:57:35,PM,50
3/28/2019,3:57:36,PM,50
3/28/2019,3:57:37,PM,50
3/28/2019,3:57:38,PM,50
3/28/2019,3:57:39,PM,50
3/28/2019,3:57:40,PM,50
3/28/2019,3:57:41,PM,50
3/28/2019,3:57:42,PM,50
3/28/2019,3:57:43,PM,49
3/28/2019,3:57:44,PM,50
3/28/2019,3:57:45,PM,50
3/28/2019,3:57:46,PM,50
3/28/2019,3:57:47,PM,50
3/28/2019,3:57:48,PM,50
3/28/2019,3:57:49,PM,50
3/28/2019,3:57:50,PM,50
3/28/2019,3:57:51,PM,50
3/28/2019,3:57:52,PM,50
3/28/2019,3:57:53,PM,51
3/28/2019,3:57:54,PM,50
3/28/2019,3:57:55,PM,50
3/28/2019,3:57:56,PM,50
3/28/2019,3:57:57,PM,50
3/28/2019,3:57:58,PM,50
3/28/2019,3:58:00,PM,50
3/28/2019,3:58:01,PM,50
3/28/2019,3:58:02,PM,50
3/28/2019,3:58:03,PM,49
3/28/2019,3:58:04,PM,49
3/28/2019,3:58:05,PM,50
3/28/2019,3:58:06,PM,50
3/28/2019,3:58:07,PM,50
3/28/2019,3:58:08,PM,50
3/28/2019,3:58:09,PM,50
3/28/2019,3:58:10,PM,50
3/28/2019,3:58:11,PM,51
3/28/2019,3:58:12,PM,51
3/28/2019,3:58:13,PM,52
3/28/2019,3:58:14,PM,52
3/28/2019,3:58:15,PM,52
3/28/2019,3:58:16,PM,52
3/28/2019,3:58:17,PM,52
3/28/2019,3:58:18,PM,52
3/28/2019,3:58:19,PM,52
3/28/2019,3:58:20,PM,52
3/28/2019,3:58:21,PM,53
3/28/2019,3:58:22,PM,53
3/28/2019,3:58:23,PM,53
