Time, GSR
'0:0:0.0,7.3763
'0:0:0.1,7.3658
'0:0:0.2,7.3586
'0:0:0.3,7.3489
'0:0:0.4,7.3393
'0:0:0.5,7.3320
'0:0:0.6,7.3224
'0:0:0.7,7.3136
'0:0:0.8,7.3041
'0:0:0.9,7.2953
'0:0:1.0,7.2858
'0:0:1.1,7.2771
'0:0:1.2,7.2699
'0:0:1.3,7.2628
'0:0:1.4,7.2541
'0:0:1.5,7.2329
'0:0:1.6,7.2321
'0:0:1.7,7.2597
'0:0:1.8,7.2691
'0:0:1.9,7.2945
'0:0:2.0,7.2778
'0:0:2.1,7.2597
'0:0:2.2,7.2352
'0:0:2.3,7.2439
'0:0:2.4,7.2243
'0:0:2.5,7.1736
'0:0:2.6,7.1814
'0:0:2.7,7.1946
'0:0:2.8,7.2188
'0:0:2.9,7.2510
'0:0:3.0,7.3041
'0:0:3.1,7.2329
'0:0:3.2,7.2157
'0:0:3.3,7.2078
'0:0:3.4,7.1993
'0:0:3.5,7.1946
'0:0:3.6,7.1891
'0:0:3.7,7.1821
'0:0:3.8,7.1751
'0:0:3.9,7.1728
'0:0:4.0,7.1720
'0:0:4.1,7.1674
'0:0:4.2,7.1597
'0:0:4.3,7.1527
'0:0:4.4,7.1450
'0:0:4.5,7.1419
'0:0:4.6,7.1265
'0:0:4.7,7.1051
'0:0:4.8,7.1020
'0:0:4.9,7.1112
'0:0:5.0,7.1304
'0:0:5.1,7.1227
'0:0:5.2,7.1143
'0:0:5.3,7.1135
'0:0:5.4,7.1235
'0:0:5.5,7.1411
'0:0:5.6,7.1258
'0:0:5.7,7.1081
'0:0:5.8,7.0997
'0:0:5.9,7.0959
'0:0:6.0,7.0906
'0:0:6.1,7.0868
'0:0:6.2,7.0822
'0:0:6.3,7.0777
'0:0:6.4,7.0731
'0:0:6.5,7.0723
'0:0:6.6,7.0754
'0:0:6.7,7.0761
'0:0:6.8,7.0761
'0:0:6.9,7.0754
'0:0:7.0,7.0731
'0:0:7.1,7.0723
'0:0:7.2,7.0708
'0:0:7.3,7.0686
'0:0:7.4,7.0663
'0:0:7.5,7.0663
'0:0:7.6,7.0648
'0:0:7.7,7.0663
'0:0:7.8,7.0701
'0:0:7.9,7.0784
'0:0:8.0,7.0853
'0:0:8.1,7.0967
'0:0:8.2,7.1104
'0:0:8.3,7.1258
'0:0:8.4,7.1411
'0:0:8.5,7.1558
'0:0:8.6,7.1682
'0:0:8.7,7.1775
'0:0:8.8,7.1852
'0:0:8.9,7.1922
'0:0:9.0,7.1961
'0:0:9.1,7.1993
'0:0:9.2,7.2016
'0:0:9.3,7.2032
'0:0:9.4,7.1993
'0:0:9.5,7.1961
'0:0:9.6,7.1915
'0:0:9.7,7.1860
'0:0:9.8,7.1829
'0:0:9.9,7.1783
'0:0:10.0,7.1705
'0:0:10.1,7.1659
'0:0:10.2,7.1581
'0:0:10.3,7.1543
'0:0:10.4,7.1504
'0:0:10.5,7.1527
'0:0:10.6,7.1597
'0:0:10.7,7.1759
'0:0:10.8,7.2000
'0:0:10.9,7.2290
'0:0:11.0,7.2581
'0:0:11.1,7.2866
'0:0:11.2,7.3136
'0:0:11.3,7.3360
'0:0:11.4,7.3553
'0:0:11.5,7.3707
'0:0:11.6,7.3812
'0:0:11.7,7.3885
'0:0:11.8,7.3958
'0:0:11.9,7.3998
'0:0:12.0,7.3998
'0:0:12.1,7.3990
'0:0:12.2,7.3974
'0:0:12.3,7.3933
'0:0:12.4,7.3860
'0:0:12.5,7.3796
'0:0:12.6,7.3715
'0:0:12.7,7.3626
'0:0:12.8,7.3553
'0:0:12.9,7.3465
'0:0:13.0,7.3352
'0:0:13.1,7.3248
'0:0:13.2,7.3176
'0:0:13.3,7.3144
'0:0:13.4,7.3073
'0:0:13.5,7.3057
'0:0:13.6,7.3089
'0:0:13.7,7.3152
'0:0:13.8,7.3089
'0:0:13.9,7.3057
'0:0:14.0,7.3049
'0:0:14.1,7.3057
'0:0:14.2,7.3104
'0:0:14.3,7.3144
'0:0:14.4,7.3168
'0:0:14.5,7.3304
'0:0:14.6,7.3465
'0:0:14.7,7.3690
'0:0:14.8,7.3982
'0:0:14.9,7.4292
'0:0:15.0,7.4571
'0:0:15.1,7.4818
'0:0:15.2,7.5000
'0:0:15.3,7.5166
'0:0:15.4,7.5308
'0:0:15.5,7.5450
'0:0:15.6,7.5525
'0:0:15.7,7.5559
'0:0:15.8,7.5534
'0:0:15.9,7.5509
'0:0:16.0,7.5433
'0:0:16.1,7.5366
'0:0:16.2,7.5300
'0:0:16.3,7.5224
'0:0:16.4,7.5150
'0:0:16.5,7.5108
'0:0:16.6,7.5000
'0:0:16.7,7.4892
'0:0:16.8,7.4735
'0:0:16.9,7.4587
'0:0:17.0,7.4447
'0:0:17.1,7.4308
'0:0:17.2,7.4177
'0:0:17.3,7.4047
'0:0:17.4,7.3974
'0:0:17.5,7.3893
'0:0:17.6,7.3771
'0:0:17.7,7.3650
'0:0:17.8,7.3545
'0:0:17.9,7.3441
'0:0:18.0,7.3336
'0:0:18.1,7.3248
'0:0:18.2,7.3120
'0:0:18.3,7.3017
'0:0:18.4,7.2929
'0:0:18.5,7.2842
'0:0:18.6,7.2747
'0:0:18.7,7.2676
'0:0:18.8,7.2589
'0:0:18.9,7.2502
'0:0:19.0,7.2423
'0:0:19.1,7.2352
'0:0:19.2,7.2290
'0:0:19.3,7.2219
'0:0:19.4,7.2164
'0:0:19.5,7.2117
'0:0:19.6,7.2063
'0:0:19.7,7.2024
'0:0:19.8,7.1993
'0:0:19.9,7.1977
'0:0:20.0,7.1961
'0:0:20.1,7.1969
'0:0:20.2,7.2016
'0:0:20.3,7.2055
'0:0:20.4,7.2125
'0:0:20.5,7.2243
'0:0:20.6,7.2376
'0:0:20.7,7.2541
'0:0:20.8,7.2715
'0:0:20.9,7.2882
'0:0:21.0,7.3025
'0:0:21.1,7.3168
'0:0:21.2,7.3272
'0:0:21.3,7.3377
'0:0:21.4,7.3457
'0:0:21.5,7.3553
'0:0:21.6,7.3586
'0:0:21.7,7.3586
'0:0:21.8,7.3569
'0:0:21.9,7.3537
'0:0:22.0,7.3521
'0:0:22.1,7.3465
'0:0:22.2,7.3441
'0:0:22.3,7.3401
'0:0:22.4,7.3320
'0:0:22.5,7.3328
'0:0:22.6,7.3136
'0:0:22.7,7.2929
'0:0:22.8,7.2890
'0:0:22.9,7.2834
'0:0:23.0,7.2778
'0:0:23.1,7.2723
'0:0:23.2,7.2676
'0:0:23.3,7.2747
'0:0:23.4,7.2723
'0:0:23.5,7.2502
'0:0:23.6,7.2392
'0:0:23.7,7.2376
'0:0:23.8,7.2337
'0:0:23.9,7.2345
'0:0:24.0,7.2502
'0:0:24.1,7.2400
'0:0:24.2,7.1985
'0:0:24.3,7.1930
'0:0:24.4,7.1938
'0:0:24.5,7.2016
'0:0:24.6,7.2227
'0:0:24.7,7.2392
'0:0:24.8,7.2000
'0:0:24.9,7.1489
'0:0:25.0,7.1651
'0:0:25.1,7.1689
'0:0:25.2,7.1666
'0:0:25.3,7.1651
'0:0:25.4,7.1581
'0:0:25.5,7.1550
'0:0:25.6,7.1496
'0:0:25.7,7.1450
'0:0:25.8,7.1427
'0:0:25.9,7.1504
'0:0:26.0,7.1628
'0:0:26.1,7.1296
'0:0:26.2,7.1066
'0:0:26.3,7.1166
'0:0:26.4,7.1104
