Time,Click
04:01:24,1
04:01:34,1
04:02:16,0
04:02:23,0
04:02:38,1
04:02:42,1
04:02:49,1
04:03:31,0
04:03:48,1
04:03:55,1
04:04:44,0
04:04:53,1
04:04:59,1
04:05:48,0
04:05:50,0
04:06:15,1
04:07:13,1
04:08:04,0
04:08:10,0
04:08:25,1
04:09:20,1
04:09:20,0
04:09:21,0
04:09:28,1
04:09:32,1
04:09:40,1
04:10:19,0
04:10:20,0
04:10:22,0
04:10:25,0
04:10:29,0
04:10:44,1
04:11:28,0
04:11:30,0
04:11:33,0
04:11:37,0
04:11:49,0
04:12:02,1
04:12:38,0
04:12:40,0
04:12:42,0
04:12:44,0
04:12:46,0
04:13:10,1
04:13:46,1
04:13:49,1
04:13:53,1
04:13:55,1
04:14:46,1
04:14:53,0
04:14:56,0
04:14:57,0
04:15:00,0
04:15:04,0
04:15:05,0
04:15:19,1
04:15:26,1
04:18:03,1
04:18:31,1
