Time,GSR
'0:0:0.0,2.2544
'0:0:0.1,2.2427
'0:0:0.2,2.1335
'0:0:0.3,2.0292
'0:0:0.4,2.1924
'0:0:0.5,2.3203
'0:0:0.6,2.2858
'0:0:0.7,2.3047
'0:0:0.8,2.2961
'0:0:0.9,2.2158
'0:0:1.0,2.1998
'0:0:1.1,2.2263
'0:0:1.2,2.2976
'0:0:1.3,2.4409
'0:0:1.4,2.4491
'0:0:1.5,2.3991
'0:0:1.6,2.3842
'0:0:1.7,2.3731
'0:0:1.8,2.3680
'0:0:1.9,2.3659
'0:0:2.0,2.3625
'0:0:2.1,2.3578
'0:0:2.2,2.3428
'0:0:2.3,2.2946
'0:0:2.4,2.2315
'0:0:2.5,2.1861
'0:0:2.6,2.1622
'0:0:2.7,2.1519
'0:0:2.8,2.1488
'0:0:2.9,2.1502
'0:0:3.0,2.1522
'0:0:3.1,2.1539
'0:0:3.2,2.1541
'0:0:3.3,2.1548
'0:0:3.4,2.1560
'0:0:3.5,2.1569
'0:0:3.6,2.1569
'0:0:3.7,2.1567
'0:0:3.8,2.1560
'0:0:3.9,2.1553
'0:0:4.0,2.1539
'0:0:4.1,2.1527
'0:0:4.2,2.1519
'0:0:4.3,2.1510
'0:0:4.4,2.1498
'0:0:4.5,2.1479
'0:0:4.6,2.1465
'0:0:4.7,2.1457
'0:0:4.8,2.1457
'0:0:4.9,2.1471
'0:0:5.0,2.1488
'0:0:5.1,2.1496
'0:0:5.2,2.1498
'0:0:5.3,2.1498
'0:0:5.4,2.1498
'0:0:5.5,2.1502
'0:0:5.6,2.1500
'0:0:5.7,2.1479
'0:0:5.8,2.1455
'0:0:5.9,2.1459
'0:0:6.0,2.1462
'0:0:6.1,2.1457
'0:0:6.2,2.1447
'0:0:6.3,2.1438
'0:0:6.4,2.1445
'0:0:6.5,2.1450
'0:0:6.6,2.1441
'0:0:6.7,2.1433
'0:0:6.8,2.1421
'0:0:6.9,2.1417
'0:0:7.0,2.1416
'0:0:7.1,2.1423
'0:0:7.2,2.1421
'0:0:7.3,2.1414
'0:0:7.4,2.1409
'0:0:7.5,2.1405
'0:0:7.6,2.1399
'0:0:7.7,2.1390
'0:0:7.8,2.1388
'0:0:7.9,2.1381
'0:0:8.0,2.1385
'0:0:8.1,2.1387
'0:0:8.2,2.1383
'0:0:8.3,2.1387
'0:0:8.4,2.1385
'0:0:8.5,2.1385
'0:0:8.6,2.1388
'0:0:8.7,2.1402
'0:0:8.8,2.1428
'0:0:8.9,2.1443
'0:0:9.0,2.1460
'0:0:9.1,2.1474
'0:0:9.2,2.1491
'0:0:9.3,2.1507
'0:0:9.4,2.1519
'0:0:9.5,2.1527
'0:0:9.6,2.1533
'0:0:9.7,2.1538
'0:0:9.8,2.1541
'0:0:9.9,2.1546
'0:0:10.0,2.1548
'0:0:10.1,2.1543
'0:0:10.2,2.1524
'0:0:10.3,2.1512
'0:0:10.4,2.1507
'0:0:10.5,2.1498
'0:0:10.6,2.1490
'0:0:10.7,2.1479
'0:0:10.8,2.1464
'0:0:10.9,2.1455
'0:0:11.0,2.1445
'0:0:11.1,2.1433
'0:0:11.2,2.1428
'0:0:11.3,2.1416
'0:0:11.4,2.1407
'0:0:11.5,2.1393
'0:0:11.6,2.1385
'0:0:11.7,2.1375
'0:0:11.8,2.1366
'0:0:11.9,2.1357
'0:0:12.0,2.1347
'0:0:12.1,2.1335
'0:0:12.2,2.1323
'0:0:12.3,2.1315
'0:0:12.4,2.1310
'0:0:12.5,2.1305
'0:0:12.6,2.1294
'0:0:12.7,2.1267
'0:0:12.8,2.1301
'0:0:12.9,2.1706
'0:0:13.0,2.2075
'0:0:13.1,2.2176
'0:0:13.2,2.2119
'0:0:13.3,2.1814
'0:0:13.4,2.0887
'0:0:13.5,2.0328
'0:0:13.6,2.0226
'0:0:13.7,2.0310
'0:0:13.8,2.0205
'0:0:13.9,2.0203
'0:0:14.0,2.0497
'0:0:14.1,2.0730
'0:0:14.2,2.1057
'0:0:14.3,2.1424
'0:0:14.4,2.1465
'0:0:14.5,2.1467
'0:0:14.6,2.1465
'0:0:14.7,2.1460
'0:0:14.8,2.1445
'0:0:14.9,2.1433
'0:0:15.0,2.1429
'0:0:15.1,2.1441
'0:0:15.2,2.1433
'0:0:15.3,2.1424
'0:0:15.4,2.1412
'0:0:15.5,2.1400
'0:0:15.6,2.1395
'0:0:15.7,2.1405
'0:0:15.8,2.1419
'0:0:15.9,2.1443
'0:0:16.0,2.1486
'0:0:16.1,2.1495
'0:0:16.2,2.1505
'0:0:16.3,2.1517
'0:0:16.4,2.1543
'0:0:16.5,2.1553
'0:0:16.6,2.1571
'0:0:16.7,2.1586
'0:0:16.8,2.1602
'0:0:16.9,2.1610
'0:0:17.0,2.1615
'0:0:17.1,2.1619
'0:0:17.2,2.1622
'0:0:17.3,2.1628
'0:0:17.4,2.1624
'0:0:17.5,2.1621
'0:0:17.6,2.1614
'0:0:17.7,2.1605
'0:0:17.8,2.1605
'0:0:17.9,2.1603
'0:0:18.0,2.1600
'0:0:18.1,2.1590
'0:0:18.2,2.1584
'0:0:18.3,2.1581
'0:0:18.4,2.1579
'0:0:18.5,2.1577
'0:0:18.6,2.1574
'0:0:18.7,2.1576
'0:0:18.8,2.1562
'0:0:18.9,2.1546
'0:0:19.0,2.1534
'0:0:19.1,2.1521
'0:0:19.2,2.1510
'0:0:19.3,2.1502
'0:0:19.4,2.1490
'0:0:19.5,2.1478
'0:0:19.6,2.1467
'0:0:19.7,2.1455
'0:0:19.8,2.1443
'0:0:19.9,2.1431
'0:0:20.0,2.1423
'0:0:20.1,2.1416
'0:0:20.2,2.1404
'0:0:20.3,2.1393
'0:0:20.4,2.1387
'0:0:20.5,2.1381
'0:0:20.6,2.1376
'0:0:20.7,2.1371
'0:0:20.8,2.1368
'0:0:20.9,2.1363
'0:0:21.0,2.1368
'0:0:21.1,2.1380
'0:0:21.2,2.1440
'0:0:21.3,2.1645
'0:0:21.4,2.1728
'0:0:21.5,2.1643
'0:0:21.6,2.1486
'0:0:21.7,2.1376
'0:0:21.8,2.1091
'0:0:21.9,2.0745
'0:0:22.0,2.0517
'0:0:22.1,2.0800
'0:0:22.2,2.0834
'0:0:22.3,2.0611
'0:0:22.4,2.0490
'0:0:22.5,2.0500
'0:0:22.6,2.0576
'0:0:22.7,2.0573
'0:0:22.8,2.0538
'0:0:22.9,2.0494
'0:0:23.0,2.0527
'0:0:23.1,2.0583
'0:0:23.2,2.0634
'0:0:23.3,2.1213
'0:0:23.4,2.1707
'0:0:23.5,2.1695
'0:0:23.6,2.1669
'0:0:23.7,2.1828
'0:0:23.8,2.1938
'0:0:23.9,2.1924
'0:0:24.0,2.1856
'0:0:24.1,2.1786
'0:0:24.2,2.1737
'0:0:24.3,2.1697
'0:0:24.4,2.1667
'0:0:24.5,2.1640
'0:0:24.6,2.1622
'0:0:24.7,2.1603
'0:0:24.8,2.1581
'0:0:24.9,2.1565
'0:0:25.0,2.1553
'0:0:25.1,2.1541
'0:0:25.2,2.1533
'0:0:25.3,2.1524
'0:0:25.4,2.1519
'0:0:25.5,2.1517
'0:0:25.6,2.1522
'0:0:25.7,2.1517
'0:0:25.8,2.1510
'0:0:25.9,2.1502
'0:0:26.0,2.1496
'0:0:26.1,2.1493
'0:0:26.2,2.1484
'0:0:26.3,2.1478
'0:0:26.4,2.1462
'0:0:26.5,2.1452
'0:0:26.6,2.1438
'0:0:26.7,2.1419
'0:0:26.8,2.1407
'0:0:26.9,2.1393
'0:0:27.0,2.1380
'0:0:27.1,2.1369
'0:0:27.2,2.1351
'0:0:27.3,2.1339
'0:0:27.4,2.1327
'0:0:27.5,2.1320
'0:0:27.6,2.1305
'0:0:27.7,2.1289
'0:0:27.8,2.1277
'0:0:27.9,2.1262
'0:0:28.0,2.1248
'0:0:28.1,2.1240
