Time,,,HRV
3/26/2019,11:12:24,AM,42
3/26/2019,11:12:25,AM,41
3/26/2019,11:12:26,AM,41
3/26/2019,11:12:27,AM,41
3/26/2019,11:12:28,AM,42
3/26/2019,11:12:29,AM,42
3/26/2019,11:12:30,AM,43
3/26/2019,11:12:31,AM,43
3/26/2019,11:12:32,AM,43
3/26/2019,11:12:33,AM,43
3/26/2019,11:12:34,AM,43
3/26/2019,11:12:35,AM,43
3/26/2019,11:12:36,AM,43
3/26/2019,11:12:37,AM,43
3/26/2019,11:12:38,AM,43
3/26/2019,11:12:39,AM,43
3/26/2019,11:12:40,AM,43
3/26/2019,11:12:41,AM,43
3/26/2019,11:12:42,AM,43
3/26/2019,11:12:43,AM,43
3/26/2019,11:12:44,AM,43
3/26/2019,11:12:45,AM,43
3/26/2019,11:12:46,AM,43
3/26/2019,11:12:47,AM,43
3/26/2019,11:12:48,AM,43
3/26/2019,11:12:49,AM,43
3/26/2019,11:12:50,AM,43
3/26/2019,11:12:51,AM,43
3/26/2019,11:12:52,AM,43
3/26/2019,11:12:53,AM,43
3/26/2019,11:12:54,AM,43
3/26/2019,11:12:55,AM,43
3/26/2019,11:12:56,AM,43
3/26/2019,11:12:57,AM,43
3/26/2019,11:12:58,AM,43
3/26/2019,11:12:59,AM,43
3/26/2019,11:13:00,AM,43
3/26/2019,11:13:01,AM,43
3/26/2019,11:13:02,AM,43
3/26/2019,11:13:03,AM,43
3/26/2019,11:13:04,AM,43
3/26/2019,11:13:05,AM,43
3/26/2019,11:13:06,AM,43
3/26/2019,11:13:07,AM,43
3/26/2019,11:13:08,AM,43
3/26/2019,11:13:09,AM,43
3/26/2019,11:13:10,AM,43
3/26/2019,11:13:11,AM,43
3/26/2019,11:13:12,AM,43
3/26/2019,11:13:13,AM,43
3/26/2019,11:13:14,AM,43
3/26/2019,11:13:15,AM,43
3/26/2019,11:13:16,AM,43
3/26/2019,11:13:17,AM,43
3/26/2019,11:13:18,AM,43
3/26/2019,11:13:19,AM,43
3/26/2019,11:13:20,AM,43
3/26/2019,11:13:21,AM,43
3/26/2019,11:13:22,AM,43
3/26/2019,11:13:23,AM,43
3/26/2019,11:13:24,AM,43
3/26/2019,11:13:25,AM,43
3/26/2019,11:13:26,AM,43
3/26/2019,11:13:27,AM,43
3/26/2019,11:13:28,AM,43
3/26/2019,11:13:29,AM,42
3/26/2019,11:13:30,AM,42
3/26/2019,11:13:31,AM,42
3/26/2019,11:13:32,AM,42
3/26/2019,11:13:33,AM,42
3/26/2019,11:13:34,AM,42
3/26/2019,11:13:35,AM,42
3/26/2019,11:13:36,AM,42
3/26/2019,11:13:37,AM,42
3/26/2019,11:13:38,AM,42
3/26/2019,11:13:39,AM,42
3/26/2019,11:13:40,AM,42
3/26/2019,11:13:41,AM,43
3/26/2019,11:13:42,AM,43
3/26/2019,11:13:43,AM,43
3/26/2019,11:13:44,AM,43
3/26/2019,11:13:45,AM,42
3/26/2019,11:13:46,AM,42
3/26/2019,11:13:47,AM,42
3/26/2019,11:13:48,AM,42
3/26/2019,11:13:49,AM,42
3/26/2019,11:13:50,AM,42
3/26/2019,11:13:51,AM,42
3/26/2019,11:13:52,AM,42
3/26/2019,11:13:53,AM,42
3/26/2019,11:13:54,AM,42
3/26/2019,11:13:55,AM,42
3/26/2019,11:13:56,AM,42
3/26/2019,11:13:57,AM,41
3/26/2019,11:13:58,AM,41
3/26/2019,11:13:59,AM,41
3/26/2019,11:14:00,AM,41
3/26/2019,11:14:01,AM,41
3/26/2019,11:14:02,AM,41
3/26/2019,11:14:03,AM,41
3/26/2019,11:14:04,AM,41
3/26/2019,11:14:05,AM,41
3/26/2019,11:14:06,AM,41
3/26/2019,11:14:07,AM,41
3/26/2019,11:14:08,AM,41
3/26/2019,11:14:09,AM,41
3/26/2019,11:14:10,AM,40
3/26/2019,11:14:11,AM,40
3/26/2019,11:14:12,AM,40
3/26/2019,11:14:13,AM,40
3/26/2019,11:14:14,AM,40
3/26/2019,11:14:15,AM,40
3/26/2019,11:14:16,AM,40
3/26/2019,11:14:17,AM,40
3/26/2019,11:14:18,AM,40
3/26/2019,11:14:19,AM,40
3/26/2019,11:14:20,AM,40
3/26/2019,11:14:21,AM,39
3/26/2019,11:14:22,AM,39
3/26/2019,11:14:23,AM,39
3/26/2019,11:14:24,AM,39
3/26/2019,11:14:25,AM,39
3/26/2019,11:14:26,AM,39
3/26/2019,11:14:27,AM,38
