Time, GSR
'0:0:0.0,1.2888
'0:0:0.1,1.2879
'0:0:0.2,1.2877
'0:0:0.3,1.2871
'0:0:0.4,1.2866
'0:0:0.5,1.2862
'0:0:0.6,1.2861
'0:0:0.7,1.2859
'0:0:0.8,1.2853
'0:0:0.9,1.2849
'0:0:1.0,1.2844
'0:0:1.1,1.2840
'0:0:1.2,1.2840
'0:0:1.3,1.2846
'0:0:1.4,1.2860
'0:0:1.5,1.2884
'0:0:1.6,1.2914
'0:0:1.7,1.2947
'0:0:1.8,1.2985
'0:0:1.9,1.3023
'0:0:2.0,1.3061
'0:0:2.1,1.3098
'0:0:2.2,1.3125
'0:0:2.3,1.3142
'0:0:2.4,1.3158
'0:0:2.5,1.3173
'0:0:2.6,1.3184
'0:0:2.7,1.3193
'0:0:2.8,1.3203
'0:0:2.9,1.3215
'0:0:3.0,1.3229
'0:0:3.1,1.3244
'0:0:3.2,1.3261
'0:0:3.3,1.3283
'0:0:3.4,1.3304
'0:0:3.5,1.3388
'0:0:3.6,1.3530
'0:0:3.7,1.3533
'0:0:3.8,1.3527
'0:0:3.9,1.3526
'0:0:4.0,1.3525
'0:0:4.1,1.3524
'0:0:4.2,1.3522
'0:0:4.3,1.3529
'0:0:4.4,1.3551
'0:0:4.5,1.3566
'0:0:4.6,1.3616
'0:0:4.7,1.3631
'0:0:4.8,1.3621
'0:0:4.9,1.3609
'0:0:5.0,1.3600
'0:0:5.1,1.3580
'0:0:5.2,1.3561
'0:0:5.3,1.3546
'0:0:5.4,1.3529
'0:0:5.5,1.3512
'0:0:5.6,1.3494
'0:0:5.7,1.3480
'0:0:5.8,1.3464
'0:0:5.9,1.3447
'0:0:6.0,1.3434
'0:0:6.1,1.3419
'0:0:6.2,1.3405
'0:0:6.3,1.3393
'0:0:6.4,1.3380
'0:0:6.5,1.3369
'0:0:6.6,1.3357
'0:0:6.7,1.3345
'0:0:6.8,1.3334
'0:0:6.9,1.3325
'0:0:7.0,1.3316
'0:0:7.1,1.3309
'0:0:7.2,1.3300
'0:0:7.3,1.3292
'0:0:7.4,1.3286
'0:0:7.5,1.3279
'0:0:7.6,1.3272
'0:0:7.7,1.3265
'0:0:7.8,1.3257
