Time,GSR
'0:0:0.0,0.9270
'0:0:0.1,0.9269
'0:0:0.2,0.9273
'0:0:0.3,0.9273
'0:0:0.4,0.9273
'0:0:0.5,0.9274
'0:0:0.6,0.9273
'0:0:0.7,0.9273
'0:0:0.8,0.9268
'0:0:0.9,0.9271
'0:0:1.0,0.9272
'0:0:1.1,0.9272
'0:0:1.2,0.9271
'0:0:1.3,0.9271
'0:0:1.4,0.9271
'0:0:1.5,0.9270
'0:0:1.6,0.9271
'0:0:1.7,0.9272
'0:0:1.8,0.9273
'0:0:1.9,0.9273
'0:0:2.0,0.9272
'0:0:2.1,0.9272
'0:0:2.2,0.9274
'0:0:2.3,0.9273
'0:0:2.4,0.9273
'0:0:2.5,0.9271
'0:0:2.6,0.9270
'0:0:2.7,0.9271
'0:0:2.8,0.9271
'0:0:2.9,0.9271
'0:0:3.0,0.9271
'0:0:3.1,0.9271
'0:0:3.2,0.9272
'0:0:3.3,0.9273
'0:0:3.4,0.9273
'0:0:3.5,0.9272
'0:0:3.6,0.9273
'0:0:3.7,0.9274
'0:0:3.8,0.9273
'0:0:3.9,0.9274
'0:0:4.0,0.9272
'0:0:4.1,0.9274
'0:0:4.2,0.9273
'0:0:4.3,0.9275
'0:0:4.4,0.9277
'0:0:4.5,0.9278
'0:0:4.6,0.9277
'0:0:4.7,0.9277
'0:0:4.8,0.9275
'0:0:4.9,0.9280
'0:0:5.0,0.9277
'0:0:5.1,0.9277
'0:0:5.2,0.9276
'0:0:5.3,0.9277
'0:0:5.4,0.9279
'0:0:5.5,0.9280
'0:0:5.6,0.9280
'0:0:5.7,0.9281
'0:0:5.8,0.9279
'0:0:5.9,0.9279
'0:0:6.0,0.9279
'0:0:6.1,0.9279
'0:0:6.2,0.9279
'0:0:6.3,0.9279
'0:0:6.4,0.9281
'0:0:6.5,0.9282
'0:0:6.6,0.9282
'0:0:6.7,0.9284
'0:0:6.8,0.9284
'0:0:6.9,0.9288
'0:0:7.0,0.9287
'0:0:7.1,0.9287
'0:0:7.2,0.9288
'0:0:7.3,0.9288
'0:0:7.4,0.9291
'0:0:7.5,0.9292
'0:0:7.6,0.9291
'0:0:7.7,0.9290
'0:0:7.8,0.9289
'0:0:7.9,0.9291
'0:0:8.0,0.9290
'0:0:8.1,0.9291
'0:0:8.2,0.9290
'0:0:8.3,0.9293
'0:0:8.4,0.9291
'0:0:8.5,0.9292
'0:0:8.6,0.9291
'0:0:8.7,0.9290
'0:0:8.8,0.9290
'0:0:8.9,0.9295
'0:0:9.0,0.9298
'0:0:9.1,0.9298
'0:0:9.2,0.9298
'0:0:9.3,0.9299
'0:0:9.4,0.9299
'0:0:9.5,0.9298
'0:0:9.6,0.9300
'0:0:9.7,0.9300
'0:0:9.8,0.9300
'0:0:9.9,0.9300
'0:0:10.0,0.9302
'0:0:10.1,0.9304
'0:0:10.2,0.9308
'0:0:10.3,0.9307
'0:0:10.4,0.9306
'0:0:10.5,0.9306
'0:0:10.6,0.9305
'0:0:10.7,0.9302
'0:0:10.8,0.9303
'0:0:10.9,0.9310
'0:0:11.0,0.9323
'0:0:11.1,0.9331
'0:0:11.2,0.9330
'0:0:11.3,0.9327
'0:0:11.4,0.9331
'0:0:11.5,0.9341
'0:0:11.6,0.9335
'0:0:11.7,0.9356
'0:0:11.8,0.9307
'0:0:11.9,0.9250
'0:0:12.0,0.9299
'0:0:12.1,0.9329
'0:0:12.2,0.9356
'0:0:12.3,0.9384
'0:0:12.4,0.9250
'0:0:12.5,0.9178
'0:0:12.6,0.9285
'0:0:12.7,0.9319
'0:0:12.8,0.9327
'0:0:12.9,0.9334
'0:0:13.0,0.9200
'0:0:13.1,0.9020
'0:0:13.2,0.9221
'0:0:13.3,0.9344
'0:0:13.4,0.9389
'0:0:13.5,0.9342
'0:0:13.6,0.9348
'0:0:13.7,0.9346
'0:0:13.8,0.9337
'0:0:13.9,0.9339
'0:0:14.0,0.9343
'0:0:14.1,0.9338
'0:0:14.2,0.9331
'0:0:14.3,0.9344
'0:0:14.4,0.9316
'0:0:14.5,0.9310
'0:0:14.6,0.9310
'0:0:14.7,0.9310
'0:0:14.8,0.9317
'0:0:14.9,0.9313
'0:0:15.0,0.9305
'0:0:15.1,0.9304
'0:0:15.2,0.9308
'0:0:15.3,0.9312
'0:0:15.4,0.9315
'0:0:15.5,0.9307
'0:0:15.6,0.9306
'0:0:15.7,0.9309
'0:0:15.8,0.9309
'0:0:15.9,0.9314
'0:0:16.0,0.9312
'0:0:16.1,0.9312
'0:0:16.2,0.9310
'0:0:16.3,0.9311
'0:0:16.4,0.9311
'0:0:16.5,0.9312
'0:0:16.6,0.9313
'0:0:16.7,0.9314
'0:0:16.8,0.9312
'0:0:16.9,0.9315
'0:0:17.0,0.9314
'0:0:17.1,0.9316
'0:0:17.2,0.9318
'0:0:17.3,0.9320
'0:0:17.4,0.9321
'0:0:17.5,0.9321
'0:0:17.6,0.9319
'0:0:17.7,0.9320
'0:0:17.8,0.9319
'0:0:17.9,0.9320
'0:0:18.0,0.9321
'0:0:18.1,0.9320
'0:0:18.2,0.9320
'0:0:18.3,0.9321
'0:0:18.4,0.9322
'0:0:18.5,0.9322
'0:0:18.6,0.9321
'0:0:18.7,0.9322
'0:0:18.8,0.9321
'0:0:18.9,0.9325
'0:0:19.0,0.9323
'0:0:19.1,0.9324
'0:0:19.2,0.9324
'0:0:19.3,0.9323
'0:0:19.4,0.9325
'0:0:19.5,0.9326
'0:0:19.6,0.9327
'0:0:19.7,0.9326
'0:0:19.8,0.9326
'0:0:19.9,0.9330
'0:0:20.0,0.9327
'0:0:20.1,0.9328
'0:0:20.2,0.9329
'0:0:20.3,0.9330
'0:0:20.4,0.9330
'0:0:20.5,0.9331
'0:0:20.6,0.9329
'0:0:20.7,0.9329
'0:0:20.8,0.9330
'0:0:20.9,0.9335
'0:0:21.0,0.9335
'0:0:21.1,0.9337
'0:0:21.2,0.9337
'0:0:21.3,0.9337
'0:0:21.4,0.9337
'0:0:21.5,0.9340
'0:0:21.6,0.9341
'0:0:21.7,0.9342
'0:0:21.8,0.9341
'0:0:21.9,0.9347
'0:0:22.0,0.9342
'0:0:22.1,0.9338
'0:0:22.2,0.9341
'0:0:22.3,0.9342
'0:0:22.4,0.9342
