Time,GSR
'0:0:0.0,4.0684
'0:0:0.1,4.0645
'0:0:0.2,4.0628
'0:0:0.3,4.0572
'0:0:0.4,4.0544
'0:0:0.5,4.0516
'0:0:0.6,4.0484
'0:0:0.7,4.0460
'0:0:0.8,4.0432
'0:0:0.9,4.0383
'0:0:1.0,4.0331
'0:0:1.1,4.0300
'0:0:1.2,4.0276
'0:0:1.3,4.0241
'0:0:1.4,4.0210
'0:0:1.5,4.0182
'0:0:1.6,4.0141
'0:0:1.7,4.0089
'0:0:1.8,4.0068
'0:0:1.9,4.0058
'0:0:2.0,4.0034
'0:0:2.1,4.0020
'0:0:2.2,3.9999
'0:0:2.3,3.9955
'0:0:2.4,3.9900
'0:0:2.5,3.9879
'0:0:2.6,3.9852
'0:0:2.7,3.9828
'0:0:2.8,3.9797
'0:0:2.9,3.9766
'0:0:3.0,3.9719
'0:0:3.1,3.9664
'0:0:3.2,3.9634
'0:0:3.3,3.9613
'0:0:3.4,3.9576
'0:0:3.5,3.9542
'0:0:3.6,3.9512
'0:0:3.7,3.9478
'0:0:3.8,3.9424
'0:0:3.9,3.9400
'0:0:4.0,3.9373
'0:0:4.1,3.9353
'0:0:4.2,3.9323
'0:0:4.3,3.9299
'0:0:4.4,3.9265
'0:0:4.5,3.9212
'0:0:4.6,3.9175
'0:0:4.7,3.9155
'0:0:4.8,3.9145
'0:0:4.9,3.9131
'0:0:5.0,3.9101
'0:0:5.1,3.9071
'0:0:5.2,3.9021
'0:0:5.3,3.8998
'0:0:5.4,3.8971
'0:0:5.5,3.8945
'0:0:5.6,3.8918
'0:0:5.7,3.8888
'0:0:5.8,3.8848
'0:0:5.9,3.8799
'0:0:6.0,3.8776
'0:0:6.1,3.8749
'0:0:6.2,3.8719
'0:0:6.3,3.8683
'0:0:6.4,3.8657
'0:0:6.5,3.8621
'0:0:6.6,3.8571
'0:0:6.7,3.8548
'0:0:6.8,3.8515
'0:0:6.9,3.8493
'0:0:7.0,3.8463
'0:0:7.1,3.8443
'0:0:7.2,3.8394
'0:0:7.3,3.8345
'0:0:7.4,3.8316
'0:0:7.5,3.8300
'0:0:7.6,3.8277
'0:0:7.7,3.8254
'0:0:7.8,3.8232
'0:0:7.9,3.8206
'0:0:8.0,3.8206
'0:0:8.1,3.8235
'0:0:8.2,3.8297
'0:0:8.3,3.8401
'0:0:8.4,3.8571
'0:0:8.5,3.8762
'0:0:8.6,3.8975
'0:0:8.7,3.9269
'0:0:8.8,3.9613
'0:0:8.9,3.9924
'0:0:9.0,4.0286
'0:0:9.1,4.0610
'0:0:9.2,4.0768
'0:0:9.3,4.0966
'0:0:9.4,4.1226
'0:0:9.5,4.1574
'0:0:9.6,4.1956
'0:0:9.7,4.2312
'0:0:9.8,4.2691
'0:0:9.9,4.2976
'0:0:10.0,4.3238
'0:0:10.1,4.3420
'0:0:10.2,4.3554
'0:0:10.3,4.3731
'0:0:10.4,4.3859
'0:0:10.5,4.3901
'0:0:10.6,4.3956
'0:0:10.7,4.4065
'0:0:10.8,4.4084
'0:0:10.9,4.4061
'0:0:11.0,4.4068
'0:0:11.1,4.4014
'0:0:11.2,4.3890
'0:0:11.3,4.3797
'0:0:11.4,4.3720
'0:0:11.5,4.3685
'0:0:11.6,4.3700
'0:0:11.7,4.3647
'0:0:11.8,4.3539
'0:0:11.9,4.3436
'0:0:12.0,4.3401
'0:0:12.1,4.3375
'0:0:12.2,4.3348
'0:0:12.3,4.3333
'0:0:12.4,4.3310
'0:0:12.5,4.3230
'0:0:12.6,4.3143
'0:0:12.7,4.3075
'0:0:12.8,4.3014
'0:0:12.9,4.2969
'0:0:13.0,4.2901
'0:0:13.1,4.2845
'0:0:13.2,4.2774
'0:0:13.3,4.2721
'0:0:13.4,4.2747
'0:0:13.5,4.2755
'0:0:13.6,4.2710
'0:0:13.7,4.2687
'0:0:13.8,4.2665
'0:0:13.9,4.2624
'0:0:14.0,4.2572
'0:0:14.1,4.2557
'0:0:14.2,4.2542
'0:0:14.3,4.2538
'0:0:14.4,4.2531
'0:0:14.5,4.2520
'0:0:14.6,4.2501
'0:0:14.7,4.2464
'0:0:14.8,4.2438
'0:0:14.9,4.2416
'0:0:15.0,4.2394
'0:0:15.1,4.2357
'0:0:15.2,4.2334
'0:0:15.3,4.2283
'0:0:15.4,4.2235
'0:0:15.5,4.2205
'0:0:15.6,4.2172
'0:0:15.7,4.2132
'0:0:15.8,4.2106
'0:0:15.9,4.2069
'0:0:16.0,4.2018
'0:0:16.1,4.1978
'0:0:16.2,4.1949
'0:0:16.3,4.1938
'0:0:16.4,4.1905
'0:0:16.5,4.1879
'0:0:16.6,4.1861
'0:0:16.7,4.1817
'0:0:16.8,4.1785
'0:0:16.9,4.1777
'0:0:17.0,4.1759
'0:0:17.1,4.1748
'0:0:17.2,4.1734
'0:0:17.3,4.1705
'0:0:17.4,4.1661
'0:0:17.5,4.1636
'0:0:17.6,4.1618
'0:0:17.7,4.1593
'0:0:17.8,4.1571
'0:0:17.9,4.1564
'0:0:18.0,4.1535
'0:0:18.1,4.1484
'0:0:18.2,4.1456
'0:0:18.3,4.1430
'0:0:18.4,4.1409
'0:0:18.5,4.1391
'0:0:18.6,4.1380
'0:0:18.7,4.1376
'0:0:18.8,4.1344
'0:0:18.9,4.1315
'0:0:19.0,4.1287
'0:0:19.1,4.1247
'0:0:19.2,4.1219
'0:0:19.3,4.1194
'0:0:19.4,4.1176
'0:0:19.5,4.1148
'0:0:19.6,4.1140
'0:0:19.7,4.1119
'0:0:19.8,4.1094
'0:0:19.9,4.1062
'0:0:20.0,4.1037
'0:0:20.1,4.1016
'0:0:20.2,4.0973
'0:0:20.3,4.0941
'0:0:20.4,4.0906
'0:0:20.5,4.0860
'0:0:20.6,4.0825
'0:0:20.7,4.0786
'0:0:20.8,4.0747
'0:0:20.9,4.0698
'0:0:21.0,4.0673
'0:0:21.1,4.0663
'0:0:21.2,4.0649
'0:0:21.3,4.0635
'0:0:21.4,4.0614
'0:0:21.5,4.0586
'0:0:21.6,4.0551
'0:0:21.7,4.0537
'0:0:21.8,4.0523
'0:0:21.9,4.0505
'0:0:22.0,4.0488
'0:0:22.1,4.0474
'0:0:22.2,4.0443
'0:0:22.3,4.0404
'0:0:22.4,4.0383
'0:0:22.5,4.0359
'0:0:22.6,4.0338
'0:0:22.7,4.0321
'0:0:22.8,4.0303
'0:0:22.9,4.0276
'0:0:23.0,4.0272
'0:0:23.1,4.0286
'0:0:23.2,4.0283
'0:0:23.3,4.0283
'0:0:23.4,4.0283
'0:0:23.5,4.0279
'0:0:23.6,4.0248
'0:0:23.7,4.0227
'0:0:23.8,4.0199
'0:0:23.9,4.0186
'0:0:24.0,4.0168
'0:0:24.1,4.0134
'0:0:24.2,4.0099
'0:0:24.3,4.0034
'0:0:24.4,4.0003
'0:0:24.5,3.9975
'0:0:24.6,3.9944
'0:0:24.7,3.9896
'0:0:24.8,3.9859
'0:0:24.9,3.9845
'0:0:25.0,3.9794
'0:0:25.1,3.9746
'0:0:25.2,3.9715
'0:0:25.3,3.9685
'0:0:25.4,3.9661
'0:0:25.5,3.9651
'0:0:25.6,3.9637
'0:0:25.7,3.9613
'0:0:25.8,3.9576
'0:0:25.9,3.9542
'0:0:26.0,3.9518
'0:0:26.1,3.9484
'0:0:26.2,3.9464
'0:0:26.3,3.9427
'0:0:26.4,3.9403
'0:0:26.5,3.9346
'0:0:26.6,3.9296
'0:0:26.7,3.9302
'0:0:26.8,3.9309
'0:0:26.9,3.9349
'0:0:27.0,3.9437
'0:0:27.1,3.9552
'0:0:27.2,3.9637
'0:0:27.3,3.9749
'0:0:27.4,3.9872
'0:0:27.5,3.9941
'0:0:27.6,4.0027
'0:0:27.7,4.0123
'0:0:27.8,4.0203
'0:0:27.9,4.0151
'0:0:28.0,3.9886
'0:0:28.1,3.8882
'0:0:28.2,3.8634
'0:0:28.3,3.9512
'0:0:28.4,3.9528
'0:0:28.5,3.9634
'0:0:28.6,4.0013
'0:0:28.7,4.0544
'0:0:28.8,4.2434
'0:0:28.9,4.3143
'0:0:29.0,4.2040
'0:0:29.1,4.1927
'0:0:29.2,4.1618
'0:0:29.3,4.1130
'0:0:29.4,4.2673
'0:0:29.5,4.3478
'0:0:29.6,4.4287
'0:0:29.7,4.4848
'0:0:29.8,4.4389
'0:0:29.9,4.4674
'0:0:30.0,4.4988
'0:0:30.1,4.5322
'0:0:30.2,4.5655
'0:0:30.3,4.5872
'0:0:30.4,4.6165
'0:0:30.5,4.6531
'0:0:30.6,4.6910
'0:0:30.7,4.7216
'0:0:30.8,4.7503
'0:0:30.9,4.7770
'0:0:31.0,4.8018
'0:0:31.1,4.8242
'0:0:31.2,4.8444
'0:0:31.3,4.8590
'0:0:31.4,4.8679
'0:0:31.5,4.8741
'0:0:31.6,4.8857
'0:0:31.7,4.8983
'0:0:31.8,4.9072
'0:0:31.9,4.9117
'0:0:32.0,4.9099
'0:0:32.1,4.9072
'0:0:32.2,4.9064
'0:0:32.3,4.9163
'0:0:32.4,4.9361
'0:0:32.5,4.9662
'0:0:32.6,5.0020
'0:0:32.7,5.0414
'0:0:32.8,5.0817
'0:0:32.9,5.1196
'0:0:33.0,5.1560
'0:0:33.1,5.1898
'0:0:33.2,5.2161
'0:0:33.3,5.2401
'0:0:33.4,5.2638
'0:0:33.5,5.2767
'0:0:33.6,5.2887
'0:0:33.7,5.2906
'0:0:33.8,5.2926
'0:0:33.9,5.2892
'0:0:34.0,5.2807
'0:0:34.1,5.2658
'0:0:34.2,5.2446
'0:0:34.3,5.2235
'0:0:34.4,5.2088
'0:0:34.5,5.1893
'0:0:34.6,5.1690
'0:0:34.7,5.1517
'0:0:34.8,5.1273
'0:0:34.9,5.1144
'0:0:35.0,5.1054
'0:0:35.1,5.0997
'0:0:35.2,5.0883
'0:0:35.3,5.0798
'0:0:35.4,5.0629
'0:0:35.5,5.0456
'0:0:35.6,5.0298
'0:0:35.7,5.0149
'0:0:35.8,4.9964
'0:0:35.9,4.9969
'0:0:36.0,4.9891
'0:0:36.1,4.9854
'0:0:36.2,4.9923
'0:0:36.3,4.9684
'0:0:36.4,4.9375
'0:0:36.5,4.9293
'0:0:36.6,4.9248
'0:0:36.7,4.9077
'0:0:36.8,4.9014
