Time, GSR
'0:0:0.0,0.7989
'0:0:0.1,0.7994
'0:0:0.2,0.8012
'0:0:0.3,0.8028
'0:0:0.4,0.8001
'0:0:0.5,0.8000
'0:0:0.6,0.8009
'0:0:0.7,0.8015
'0:0:0.8,0.8020
'0:0:0.9,0.8027
'0:0:1.0,0.8021
'0:0:1.1,0.8020
'0:0:1.2,0.8027
'0:0:1.3,0.8028
'0:0:1.4,0.8035
'0:0:1.5,0.8050
'0:0:1.6,0.8068
'0:0:1.7,0.8075
'0:0:1.8,0.8085
'0:0:1.9,0.8095
'0:0:2.0,0.8096
'0:0:2.1,0.8096
'0:0:2.2,0.8092
'0:0:2.3,0.8084
'0:0:2.4,0.8087
'0:0:2.5,0.8089
'0:0:2.6,0.8059
'0:0:2.7,0.8052
'0:0:2.8,0.8054
'0:0:2.9,0.8037
'0:0:3.0,0.8036
'0:0:3.1,0.8033
'0:0:3.2,0.8062
'0:0:3.3,0.8109
'0:0:3.4,0.7912
'0:0:3.5,0.7849
'0:0:3.6,0.7842
'0:0:3.7,0.7855
'0:0:3.8,0.7876
'0:0:3.9,0.7887
'0:0:4.0,0.7893
'0:0:4.1,0.7904
'0:0:4.2,0.7923
'0:0:4.3,0.7903
'0:0:4.4,0.7904
'0:0:4.5,0.7902
'0:0:4.6,0.7902
'0:0:4.7,0.7897
'0:0:4.8,0.7894
'0:0:4.9,0.7880
'0:0:5.0,0.7897
'0:0:5.1,0.7919
'0:0:5.2,0.7960
'0:0:5.3,0.7998
'0:0:5.4,0.7990
'0:0:5.5,0.7964
'0:0:5.6,0.7970
'0:0:5.7,0.7973
'0:0:5.8,0.7962
'0:0:5.9,0.7963
'0:0:6.0,0.7959
'0:0:6.1,0.7965
'0:0:6.2,0.7995
'0:0:6.3,0.7994
'0:0:6.4,0.8033
'0:0:6.5,0.8018
'0:0:6.6,0.8027
'0:0:6.7,0.8023
'0:0:6.8,0.8046
'0:0:6.9,0.8031
'0:0:7.0,0.8015
'0:0:7.1,0.7953
'0:0:7.2,0.7697
'0:0:7.3,0.7124
'0:0:7.4,0.7421
'0:0:7.5,0.7833
'0:0:7.6,0.7809
'0:0:7.7,0.7922
'0:0:7.8,0.7967
'0:0:7.9,0.7935
'0:0:8.0,0.7972
'0:0:8.1,0.7873
'0:0:8.2,0.7884
'0:0:8.3,0.7305
'0:0:8.4,0.8391
'0:0:8.5,0.8431
'0:0:8.6,0.8155
'0:0:8.7,0.9492
'0:0:8.8,0.8890
'0:0:8.9,0.7096
'0:0:9.0,0.6969
'0:0:9.1,0.8298
'0:0:9.2,0.8201
'0:0:9.3,0.8496
'0:0:9.4,0.8985
'0:0:9.5,0.6631
'0:0:9.6,0.8448
'0:0:9.7,0.9008
'0:0:9.8,0.7862
'0:0:9.9,0.7439
'0:0:10.0,0.8930
'0:0:10.1,0.8293
'0:0:10.2,0.6730
'0:0:10.3,0.9204
'0:0:10.4,0.8920
'0:0:10.5,0.6848
'0:0:10.6,0.8581
'0:0:10.7,0.9485
'0:0:10.8,0.7008
'0:0:10.9,0.7975
'0:0:11.0,0.9754
'0:0:11.1,0.7571
'0:0:11.2,0.7207
'0:0:11.3,0.9770
'0:0:11.4,0.8161
'0:0:11.5,0.6770
'0:0:11.6,0.9183
'0:0:11.7,0.9084
'0:0:11.8,0.6615
'0:0:11.9,0.8936
'0:0:12.0,0.9729
'0:0:12.1,0.7199
'0:0:12.2,0.7566
'0:0:12.3,1.0006
'0:0:12.4,0.8131
'0:0:12.5,0.6749
'0:0:12.6,0.8843
'0:0:12.7,0.9508
'0:0:12.8,0.7344
'0:0:12.9,0.7613
'0:0:13.0,0.9851
'0:0:13.1,0.8164
'0:0:13.2,0.6782
'0:0:13.3,0.8923
'0:0:13.4,0.9396
'0:0:13.5,0.6925
'0:0:13.6,0.8209
'0:0:13.7,1.0013
'0:0:13.8,0.7111
'0:0:13.9,0.7291
'0:0:14.0,1.0723
'0:0:14.1,0.8042
'0:0:14.2,0.6544
'0:0:14.3,0.8724
'0:0:14.4,0.9639
'0:0:14.5,0.8149
'0:0:14.6,0.6845
'0:0:14.7,0.8893
'0:0:14.8,0.9410
'0:0:14.9,0.7068
'0:0:15.0,0.8106
'0:0:15.1,0.9882
'0:0:15.2,0.8314
'0:0:15.3,0.7009
'0:0:15.4,0.8475
'0:0:15.5,0.9602
'0:0:15.6,0.7623
'0:0:15.7,0.7463
'0:0:15.8,0.9099
'0:0:15.9,0.9130
'0:0:16.0,0.7205
'0:0:16.1,0.8309
'0:0:16.2,0.9790
'0:0:16.3,0.8186
'0:0:16.4,0.6929
'0:0:16.5,0.8982
'0:0:16.6,0.9768
'0:0:16.7,0.7829
'0:0:16.8,0.7216
'0:0:16.9,0.8954
'0:0:17.0,0.9485
'0:0:17.1,0.7527
'0:0:17.2,0.7813
'0:0:17.3,0.9306
'0:0:17.4,0.8780
'0:0:17.5,0.6904
'0:0:17.6,0.8828
'0:0:17.7,0.9632
'0:0:17.8,0.6927
'0:0:17.9,0.8446
'0:0:18.0,1.0611
'0:0:18.1,0.8833
'0:0:18.2,0.8572
'0:0:18.3,0.8520
'0:0:18.4,0.8477
'0:0:18.5,0.8451
'0:0:18.6,0.8437
'0:0:18.7,0.8421
'0:0:18.8,0.8411
'0:0:18.9,0.8402
'0:0:19.0,0.8395
'0:0:19.1,0.8389
'0:0:19.2,0.8383
'0:0:19.3,0.8383
'0:0:19.4,0.8377
'0:0:19.5,0.8369
'0:0:19.6,0.8314
'0:0:19.7,0.8217
'0:0:19.8,0.8173
'0:0:19.9,0.8165
'0:0:20.0,0.8188
'0:0:20.1,0.8190
'0:0:20.2,0.8191
'0:0:20.3,0.8160
'0:0:20.4,0.8128
'0:0:20.5,0.8134
'0:0:20.6,0.8144
'0:0:20.7,0.8142
'0:0:20.8,0.8141
'0:0:20.9,0.8151
'0:0:21.0,0.8165
'0:0:21.1,0.8173
'0:0:21.2,0.8181
'0:0:21.3,0.8194
'0:0:21.4,0.8216
'0:0:21.5,0.8224
'0:0:21.6,0.8235
'0:0:21.7,0.8256
'0:0:21.8,0.8282
'0:0:21.9,0.8329
'0:0:22.0,0.8352
'0:0:22.1,0.8359
'0:0:22.2,0.8371
'0:0:22.3,0.8359
'0:0:22.4,0.8359
'0:0:22.5,0.8362
'0:0:22.6,0.8369
'0:0:22.7,0.8370
'0:0:22.8,0.8374
'0:0:22.9,0.8380
'0:0:23.0,0.8379
'0:0:23.1,0.8377
'0:0:23.2,0.8382
'0:0:23.3,0.8378
'0:0:23.4,0.8378
'0:0:23.5,0.8374
'0:0:23.6,0.8381
'0:0:23.7,0.8374
'0:0:23.8,0.8378
'0:0:23.9,0.8375
'0:0:24.0,0.8371
'0:0:24.1,0.8374
'0:0:24.2,0.8379
'0:0:24.3,0.8377
'0:0:24.4,0.8385
'0:0:24.5,0.8378
'0:0:24.6,0.8362
'0:0:24.7,0.8374
'0:0:24.8,0.7844
'0:0:24.9,0.6617
'0:0:25.0,0.6751
'0:0:25.1,0.8359
'0:0:25.2,0.9587
'0:0:25.3,0.6404
'0:0:25.4,0.9003
'0:0:25.5,0.9738
'0:0:25.6,0.7070
'0:0:25.7,0.8035
'0:0:25.8,0.8793
'0:0:25.9,0.9416
'0:0:26.0,0.6742
'0:0:26.1,0.8720
'0:0:26.2,0.9838
'0:0:26.3,0.8727
'0:0:26.4,0.7278
'0:0:26.5,0.8553
'0:0:26.6,0.9287
'0:0:26.7,0.8740
'0:0:26.8,0.7266
'0:0:26.9,0.9080
'0:0:27.0,0.9849
'0:0:27.1,0.7312
'0:0:27.2,0.8435
'0:0:27.3,0.9591
'0:0:27.4,0.7188
'0:0:27.5,0.9679
'0:0:27.6,1.1035
'0:0:27.7,0.9312
'0:0:27.8,0.9038
'0:0:27.9,0.8991
'0:0:28.0,0.8943
'0:0:28.1,0.8922
'0:0:28.2,0.8908
'0:0:28.3,0.8910
'0:0:28.4,0.8908
'0:0:28.5,0.8935
'0:0:28.6,0.8958
'0:0:28.7,0.8968
'0:0:28.8,0.8988
'0:0:28.9,0.9012
'0:0:29.0,0.9049
'0:0:29.1,0.9099
'0:0:29.2,0.9130
'0:0:29.3,0.9149
'0:0:29.4,0.9143
'0:0:29.5,0.9140
'0:0:29.6,0.9139
'0:0:29.7,0.9136
'0:0:29.8,0.9129
'0:0:29.9,0.9167
'0:0:30.0,0.9239
'0:0:30.1,0.9291
'0:0:30.2,0.9420
'0:0:30.3,0.9520
'0:0:30.4,0.9556
'0:0:30.5,0.9643
'0:0:30.6,0.9769
'0:0:30.7,0.9745
'0:0:30.8,0.9738
'0:0:30.9,0.9731
'0:0:31.0,0.9764
'0:0:31.1,0.9793
'0:0:31.2,0.9779
'0:0:31.3,0.9762
'0:0:31.4,0.9744
'0:0:31.5,0.9746
'0:0:31.6,0.9757
'0:0:31.7,0.9821
'0:0:31.8,0.9905
'0:0:31.9,0.9990
'0:0:32.0,1.0126
'0:0:32.1,1.0166
'0:0:32.2,1.0130
'0:0:32.3,1.0113
'0:0:32.4,1.0079
'0:0:32.5,1.0113
'0:0:32.6,1.0153
'0:0:32.7,1.0142
'0:0:32.8,1.0221
'0:0:32.9,1.0345
'0:0:33.0,1.0455
'0:0:33.1,1.0618
'0:0:33.2,1.0880
'0:0:33.3,1.0895
'0:0:33.4,1.0737
'0:0:33.5,1.0542
'0:0:33.6,1.1021
'0:0:33.7,1.0757
'0:0:33.8,1.0546
'0:0:33.9,0.9871
'0:0:34.0,0.7364
'0:0:34.1,1.0234
'0:0:34.2,1.2355
'0:0:34.3,1.2077
'0:0:34.4,1.0653
'0:0:34.5,0.9666
'0:0:34.6,1.0825
'0:0:34.7,1.1410
'0:0:34.8,1.0622
'0:0:34.9,1.0600
'0:0:35.0,1.0576
'0:0:35.1,1.0582
'0:0:35.2,1.0700
'0:0:35.3,1.0785
'0:0:35.4,1.0868
'0:0:35.5,1.0934
'0:0:35.6,1.0968
'0:0:35.7,1.1031
'0:0:35.8,1.1226
'0:0:35.9,1.1286
'0:0:36.0,1.1162
'0:0:36.1,1.0946
'0:0:36.2,1.0574
'0:0:36.3,0.9412
'0:0:36.4,0.8900
'0:0:36.5,0.9381
'0:0:36.6,0.8878
'0:0:36.7,0.9285
'0:0:36.8,0.9294
'0:0:36.9,1.0054
'0:0:37.0,1.0589
'0:0:37.1,1.0738
'0:0:37.2,1.0870
'0:0:37.3,1.0945
'0:0:37.4,1.0994
'0:0:37.5,1.1031
'0:0:37.6,1.1061
'0:0:37.7,1.1066
'0:0:37.8,1.1071
'0:0:37.9,1.1085
'0:0:38.0,1.1110
'0:0:38.1,1.1140
'0:0:38.2,1.1139
'0:0:38.3,1.1199
'0:0:38.4,1.1192
'0:0:38.5,1.1200
'0:0:38.6,1.1201
'0:0:38.7,1.1150
'0:0:38.8,1.1101
'0:0:38.9,1.1100
'0:0:39.0,1.1131
'0:0:39.1,1.1145
'0:0:39.2,1.1137
'0:0:39.3,1.1132
'0:0:39.4,1.1151
'0:0:39.5,1.1204
'0:0:39.6,1.1224
'0:0:39.7,1.1216
'0:0:39.8,1.1206
'0:0:39.9,1.1231
'0:0:40.0,1.1272
'0:0:40.1,1.1305
'0:0:40.2,1.1358
'0:0:40.3,1.1400
'0:0:40.4,1.1386
'0:0:40.5,1.1372
'0:0:40.6,1.1395
'0:0:40.7,1.1270
'0:0:40.8,1.0888
'0:0:40.9,1.1144
'0:0:41.0,1.1589
'0:0:41.1,1.1743
'0:0:41.2,1.1695
'0:0:41.3,1.1273
'0:0:41.4,1.0866
'0:0:41.5,1.0957
'0:0:41.6,1.1026
'0:0:41.7,1.1302
'0:0:41.8,1.1285
'0:0:41.9,1.1206
'0:0:42.0,1.1291
'0:0:42.1,1.1369
'0:0:42.2,1.1557
'0:0:42.3,1.1587
'0:0:42.4,1.1369
'0:0:42.5,1.1361
'0:0:42.6,1.1331
'0:0:42.7,1.1306
'0:0:42.8,1.1288
'0:0:42.9,1.1270
'0:0:43.0,1.1261
'0:0:43.1,1.1258
'0:0:43.2,1.1263
'0:0:43.3,1.1261
'0:0:43.4,1.1240
'0:0:43.5,1.1227
'0:0:43.6,1.1226
'0:0:43.7,1.1223
'0:0:43.8,1.1210
'0:0:43.9,1.1184
'0:0:44.0,1.1175
'0:0:44.1,1.1180
'0:0:44.2,1.1210
'0:0:44.3,1.1239
'0:0:44.4,1.1244
'0:0:44.5,1.1236
'0:0:44.6,1.1229
'0:0:44.7,1.1229
'0:0:44.8,1.1241
'0:0:44.9,1.1263
'0:0:45.0,1.1283
'0:0:45.1,1.1302
'0:0:45.2,1.1321
'0:0:45.3,1.1327
'0:0:45.4,1.1328
'0:0:45.5,1.1330
'0:0:45.6,1.1331
'0:0:45.7,1.1326
'0:0:45.8,1.1322
'0:0:45.9,1.1312
'0:0:46.0,1.1309
'0:0:46.1,1.1305
'0:0:46.2,1.1299
'0:0:46.3,1.1300
'0:0:46.4,1.1298
'0:0:46.5,1.1296
'0:0:46.6,1.1297
'0:0:46.7,1.1296
'0:0:46.8,1.1289
'0:0:46.9,1.1302
'0:0:47.0,1.1317
'0:0:47.1,1.1331
'0:0:47.2,1.1342
'0:0:47.3,1.1341
'0:0:47.4,1.1338
'0:0:47.5,1.1341
'0:0:47.6,1.1357
'0:0:47.7,1.1354
'0:0:47.8,1.1347
'0:0:47.9,1.1342
'0:0:48.0,1.1337
'0:0:48.1,1.1332
'0:0:48.2,1.1328
'0:0:48.3,1.1321
'0:0:48.4,1.1319
'0:0:48.5,1.1315
'0:0:48.6,1.1317
'0:0:48.7,1.1315
'0:0:48.8,1.1315
'0:0:48.9,1.1316
'0:0:49.0,1.1325
'0:0:49.1,1.1333
'0:0:49.2,1.1342
'0:0:49.3,1.1355
'0:0:49.4,1.1355
'0:0:49.5,1.1351
'0:0:49.6,1.1346
'0:0:49.7,1.1341
'0:0:49.8,1.1335
'0:0:49.9,1.1330
'0:0:50.0,1.1329
'0:0:50.1,1.1328
'0:0:50.2,1.1329
