
Time,GSR
'0:0:0.0,3.4360
'0:0:0.1,3.4371
'0:0:0.2,3.4411
'0:0:0.3,3.4477
'0:0:0.4,3.4508
'0:0:0.5,3.4514
'0:0:0.6,3.4517
'0:0:0.7,3.4508
'0:0:0.8,3.4491
'0:0:0.9,3.4465
'0:0:1.0,3.4437
'0:0:1.1,3.4402
'0:0:1.2,3.4365
'0:0:1.3,3.4325
'0:0:1.4,3.4277
'0:0:1.5,3.4226
'0:0:1.6,3.4178
'0:0:1.7,3.4132
'0:0:1.8,3.4087
'0:0:1.9,3.4045
'0:0:2.0,3.3994
'0:0:2.1,3.3949
'0:0:2.2,3.3912
'0:0:2.3,3.3876
'0:0:2.4,3.3831
'0:0:2.5,3.3792
'0:0:2.6,3.3753
'0:0:2.7,3.3717
'0:0:2.8,3.3683
'0:0:2.9,3.3652
'0:0:3.0,3.3616
'0:0:3.1,3.3586
'0:0:3.2,3.3547
'0:0:3.3,3.3519
'0:0:3.4,3.3486
'0:0:3.5,3.3453
'0:0:3.6,3.3428
'0:0:3.7,3.3395
'0:0:3.8,3.3365
'0:0:3.9,3.3340
'0:0:4.0,3.3304
'0:0:4.1,3.3274
'0:0:4.2,3.3241
'0:0:4.3,3.3205
'0:0:4.4,3.3170
'0:0:4.5,3.3142
'0:0:4.6,3.3118
'0:0:4.7,3.3099
'0:0:4.8,3.3058
'0:0:4.9,3.1944
'0:0:5.0,3.1187
'0:0:5.1,3.2708
'0:0:5.2,3.4189
'0:0:5.3,3.3445
'0:0:5.4,3.3161
'0:0:5.5,3.3099
'0:0:5.6,3.3060
'0:0:5.7,3.3033
'0:0:5.8,3.3011
'0:0:5.9,3.2998
'0:0:6.0,3.2987
'0:0:6.1,3.2981
'0:0:6.2,3.2973
'0:0:6.3,3.2962
'0:0:6.4,3.2952
'0:0:6.5,3.2927
'0:0:6.6,3.2903
'0:0:6.7,3.2878
'0:0:6.8,3.2851
'0:0:6.9,3.2824
'0:0:7.0,3.2795
'0:0:7.1,3.2765
'0:0:7.2,3.2735
'0:0:7.3,3.2698
'0:0:7.4,3.2671
'0:0:7.5,3.2644
'0:0:7.6,3.2625
'0:0:7.7,3.2628
'0:0:7.8,3.2657
'0:0:7.9,3.2730
'0:0:8.0,3.2862
'0:0:8.1,3.3055
'0:0:8.2,3.3301
'0:0:8.3,3.3572
'0:0:8.4,3.3831
'0:0:8.5,3.4093
'0:0:8.6,3.4328
'0:0:8.7,3.4514
'0:0:8.8,3.4661
'0:0:8.9,3.4762
'0:0:9.0,3.4834
'0:0:9.1,3.4878
'0:0:9.2,3.4889
'0:0:9.3,3.4875
'0:0:9.4,3.4840
'0:0:9.5,3.4817
'0:0:9.6,3.4791
'0:0:9.7,3.4741
'0:0:9.8,3.4664
'0:0:9.9,3.4583
'0:0:10.0,3.4503
'0:0:10.1,3.4434
'0:0:10.2,3.4351
'0:0:10.3,3.4263
'0:0:10.4,3.4180
'0:0:10.5,3.4090
'0:0:10.6,3.4002
'0:0:10.7,3.3915
'0:0:10.8,3.3831
'0:0:10.9,3.3753
'0:0:11.0,3.3680
'0:0:11.1,3.3614
'0:0:11.2,3.3547
'0:0:11.3,3.3486
'0:0:11.4,3.3425
'0:0:11.5,3.3370
'0:0:11.6,3.3320
'0:0:11.7,3.3274
'0:0:11.8,3.3227
'0:0:11.9,3.3186
'0:0:12.0,3.3148
'0:0:12.1,3.3112
'0:0:12.2,3.3077
'0:0:12.3,3.3039
'0:0:12.4,3.3006
'0:0:12.5,3.2973
'0:0:12.6,3.2946
'0:0:12.7,3.2916
'0:0:12.8,3.2889
'0:0:12.9,3.2862
'0:0:13.0,3.2846
'0:0:13.1,3.2824
'0:0:13.2,3.2811
'0:0:13.3,3.2803
'0:0:13.4,3.2805
'0:0:13.5,3.2816
'0:0:13.6,3.2827
'0:0:13.7,3.2835
'0:0:13.8,3.2849
'0:0:13.9,3.2851
'0:0:14.0,3.2862
'0:0:14.1,3.2865
'0:0:14.2,3.2862
'0:0:14.3,3.2851
'0:0:14.4,3.2835
'0:0:14.5,3.2813
'0:0:14.6,3.2795
'0:0:14.7,3.2776
'0:0:14.8,3.2749
'0:0:14.9,3.2714
'0:0:15.0,3.2684
'0:0:15.1,3.2652
'0:0:15.2,3.2617
'0:0:15.3,3.2582
'0:0:15.4,3.2550
'0:0:15.5,3.2515
'0:0:15.6,3.2483
'0:0:15.7,3.2454
'0:0:15.8,3.2422
'0:0:15.9,3.2390
'0:0:16.0,3.2363
'0:0:16.1,3.2345
'0:0:16.2,3.2321
'0:0:16.3,3.2302
'0:0:16.4,3.2286
'0:0:16.5,3.2268
'0:0:16.6,3.2252
'0:0:16.7,3.2233
'0:0:16.8,3.2223
'0:0:16.9,3.2202
'0:0:17.0,3.2183
'0:0:17.1,3.2173
'0:0:17.2,3.2144
'0:0:17.3,3.2115
'0:0:17.4,3.2096
'0:0:17.5,3.2072
'0:0:17.6,3.2046
'0:0:17.7,3.2023
'0:0:17.8,3.1994
'0:0:17.9,3.1967
'0:0:18.0,3.1941
'0:0:18.1,3.1907
'0:0:18.2,3.1826
'0:0:18.3,3.1772
'0:0:18.4,3.1751
'0:0:18.5,3.1733
'0:0:18.6,3.1683
'0:0:18.7,3.1738
'0:0:18.8,3.2023
'0:0:18.9,3.2326
'0:0:19.0,3.2614
'0:0:19.1,3.2878
'0:0:19.2,3.3069
'0:0:19.3,3.3227
'0:0:19.4,3.3387
'0:0:19.5,3.3550
'0:0:19.6,3.3691
'0:0:19.7,3.3840
'0:0:19.8,3.3932
'0:0:19.9,3.3980
'0:0:20.0,3.3994
'0:0:20.1,3.3991
'0:0:20.2,3.3966
'0:0:20.3,3.3896
'0:0:20.4,3.3856
'0:0:20.5,3.3820
'0:0:20.6,3.3781
'0:0:20.7,3.3753
'0:0:20.8,3.3792
'0:0:20.9,3.3837
'0:0:21.0,3.3887
'0:0:21.1,3.3946
'0:0:21.2,3.4014
'0:0:21.3,3.4081
'0:0:21.4,3.4149
'0:0:21.5,3.4209
'0:0:21.6,3.4249
'0:0:21.7,3.4266
'0:0:21.8,3.4263
'0:0:21.9,3.4251
'0:0:22.0,3.4268
'0:0:22.1,3.4251
'0:0:22.2,3.4249
'0:0:22.3,3.4206
'0:0:22.4,3.4132
'0:0:22.5,3.4048
'0:0:22.6,3.3957
'0:0:22.7,3.3865
'0:0:22.8,3.3775
'0:0:22.9,3.3703
'0:0:23.0,3.3633
'0:0:23.1,3.3569
'0:0:23.2,3.3514
'0:0:23.3,3.3464
'0:0:23.4,3.3414
'0:0:23.5,3.3370
'0:0:23.6,3.3329
'0:0:23.7,3.3290
'0:0:23.8,3.3252
'0:0:23.9,3.3222
'0:0:24.0,3.3186
'0:0:24.1,3.3140
'0:0:24.2,3.3099
'0:0:24.3,3.3055
'0:0:24.4,3.3014
'0:0:24.5,3.2976
'0:0:24.6,3.2938
'0:0:24.7,3.2908
'0:0:24.8,3.2884
'0:0:24.9,3.2878
'0:0:25.0,3.2903
'0:0:25.1,3.2957
'0:0:25.2,3.3041
'0:0:25.3,3.3159
'0:0:25.4,3.3290
'0:0:25.5,3.3428
'0:0:25.6,3.3555
'0:0:25.7,3.3661
'0:0:25.8,3.3742
'0:0:25.9,3.3798
'0:0:26.0,3.3842
'0:0:26.1,3.3868
'0:0:26.2,3.3873
'0:0:26.3,3.3868
'0:0:26.4,3.3845
'0:0:26.5,3.3814
'0:0:26.6,3.3767
'0:0:26.7,3.3714
'0:0:26.8,3.3652
'0:0:26.9,3.3575
'0:0:27.0,3.3492
'0:0:27.1,3.3282
'0:0:27.2,3.3033
'0:0:27.3,3.2933
'0:0:27.4,3.2897
'0:0:27.5,3.2900
'0:0:27.6,3.2889
'0:0:27.7,3.2830
'0:0:27.8,3.2738
'0:0:27.9,3.2649
'0:0:28.0,3.2612
'0:0:28.1,3.2596
'0:0:28.2,3.2574
'0:0:28.3,3.2547
'0:0:28.4,3.2529
'0:0:28.5,3.2507
'0:0:28.6,3.2486
'0:0:28.7,3.2467
'0:0:28.8,3.2462
'0:0:28.9,3.2478
'0:0:29.0,3.2542
'0:0:29.1,3.2606
'0:0:29.2,3.2668
'0:0:29.3,3.2727
'0:0:29.4,3.2789
'0:0:29.5,3.2857
'0:0:29.6,3.2930
'0:0:29.7,3.2995
'0:0:29.8,3.3036
'0:0:29.9,3.3074
'0:0:30.0,3.3109
'0:0:30.1,3.3049
'0:0:30.2,3.2930
'0:0:30.3,3.2851
'0:0:30.4,3.2905
'0:0:30.5,3.3001
'0:0:30.6,3.3044
'0:0:30.7,3.3096
'0:0:30.8,3.3140
'0:0:30.9,3.3148
'0:0:31.0,3.3115
'0:0:31.1,3.3049
'0:0:31.2,3.2976
'0:0:31.3,3.2979
'0:0:31.4,3.2998
'0:0:31.5,3.3022
'0:0:31.6,3.3071
'0:0:31.7,3.3137
'0:0:31.8,3.3189
'0:0:31.9,3.3213
'0:0:32.0,3.3277
'0:0:32.1,3.3290
'0:0:32.2,3.3246
'0:0:32.3,3.3205
'0:0:32.4,3.3164
'0:0:32.5,3.3131
'0:0:32.6,3.3090
