Time,,,HRV
3/27/2019,11:20:37,AM,66
3/27/2019,11:20:38,AM,66
3/27/2019,11:20:39,AM,66
3/27/2019,11:20:40,AM,66
3/27/2019,11:20:41,AM,66
3/27/2019,11:20:42,AM,66
3/27/2019,11:20:43,AM,66
3/27/2019,11:20:44,AM,66
3/27/2019,11:20:45,AM,66
3/27/2019,11:20:46,AM,66
3/27/2019,11:20:47,AM,66
3/27/2019,11:20:48,AM,65
3/27/2019,11:20:49,AM,65
3/27/2019,11:20:50,AM,65
3/27/2019,11:20:51,AM,65
3/27/2019,11:20:52,AM,65
3/27/2019,11:20:53,AM,65
3/27/2019,11:20:54,AM,65
3/27/2019,11:20:55,AM,65
3/27/2019,11:20:56,AM,65
3/27/2019,11:20:57,AM,65
3/27/2019,11:20:58,AM,65
3/27/2019,11:20:59,AM,65
3/27/2019,11:21:00,AM,65
3/27/2019,11:21:01,AM,65
3/27/2019,11:21:02,AM,66
3/27/2019,11:21:03,AM,65
3/27/2019,11:21:04,AM,65
3/27/2019,11:21:05,AM,65
3/27/2019,11:21:06,AM,65
3/27/2019,11:21:07,AM,66
3/27/2019,11:21:08,AM,66
3/27/2019,11:21:09,AM,66
3/27/2019,11:21:10,AM,66
3/27/2019,11:21:11,AM,66
3/27/2019,11:21:12,AM,66
3/27/2019,11:21:13,AM,66
3/27/2019,11:21:14,AM,66
3/27/2019,11:21:15,AM,66
3/27/2019,11:21:16,AM,66
3/27/2019,11:21:17,AM,66
3/27/2019,11:21:18,AM,66
3/27/2019,11:21:19,AM,66
3/27/2019,11:21:20,AM,66
3/27/2019,11:21:21,AM,67
3/27/2019,11:21:22,AM,67
3/27/2019,11:21:23,AM,67
3/27/2019,11:21:24,AM,67
3/27/2019,11:21:25,AM,67
3/27/2019,11:21:26,AM,67
3/27/2019,11:21:27,AM,67
3/27/2019,11:21:28,AM,67
3/27/2019,11:21:29,AM,67
3/27/2019,11:21:30,AM,67
3/27/2019,11:21:31,AM,67
3/27/2019,11:21:32,AM,68
3/27/2019,11:21:33,AM,68
3/27/2019,11:21:34,AM,68
3/27/2019,11:21:35,AM,68
3/27/2019,11:21:36,AM,68
3/27/2019,11:21:37,AM,68
3/27/2019,11:21:38,AM,68
3/27/2019,11:21:39,AM,69
3/27/2019,11:21:40,AM,69
3/27/2019,11:21:41,AM,69
3/27/2019,11:21:42,AM,69
3/27/2019,11:21:43,AM,69
3/27/2019,11:21:44,AM,70
3/27/2019,11:21:45,AM,69
3/27/2019,11:21:46,AM,69
3/27/2019,11:21:47,AM,69
3/27/2019,11:21:48,AM,69
3/27/2019,11:21:49,AM,69
