Time,GSR
'0:0:0.0,0.1917
'0:0:0.1,0.1920
'0:0:0.2,0.1922
'0:0:0.3,0.1923
'0:0:0.4,0.1923
'0:0:0.5,0.1926
'0:0:0.6,0.1927
'0:0:0.7,0.1929
'0:0:0.8,0.1931
'0:0:0.9,0.1932
'0:0:1.0,0.1934
'0:0:1.1,0.1936
'0:0:1.2,0.1938
'0:0:1.3,0.1938
'0:0:1.4,0.1939
'0:0:1.5,0.1940
'0:0:1.6,0.1941
'0:0:1.7,0.1941
'0:0:1.8,0.1941
'0:0:1.9,0.1941
'0:0:2.0,0.1942
'0:0:2.1,0.1941
'0:0:2.2,0.1942
'0:0:2.3,0.1944
'0:0:2.4,0.1944
'0:0:2.5,0.1944
'0:0:2.6,0.1944
'0:0:2.7,0.1945
'0:0:2.8,0.1946
'0:0:2.9,0.1947
'0:0:3.0,0.1948
'0:0:3.1,0.1950
'0:0:3.2,0.1950
'0:0:3.3,0.1951
'0:0:3.4,0.1953
'0:0:3.5,0.1953
'0:0:3.6,0.1954
'0:0:3.7,0.1956
'0:0:3.8,0.1957
'0:0:3.9,0.1958
'0:0:4.0,0.1959
'0:0:4.1,0.1960
'0:0:4.2,0.1961
'0:0:4.3,0.1962
'0:0:4.4,0.1963
'0:0:4.5,0.1960
'0:0:4.6,0.1959
'0:0:4.7,0.1965
'0:0:4.8,0.1968
'0:0:4.9,0.1969
'0:0:5.0,0.1971
'0:0:5.1,0.1971
'0:0:5.2,0.1973
'0:0:5.3,0.1975
'0:0:5.4,0.1976
'0:0:5.5,0.1977
'0:0:5.6,0.1979
'0:0:5.7,0.1980
'0:0:5.8,0.1981
'0:0:5.9,0.1982
'0:0:6.0,0.1983
'0:0:6.1,0.1983
'0:0:6.2,0.1985
'0:0:6.3,0.1985
'0:0:6.4,0.1986
'0:0:6.5,0.1987
'0:0:6.6,0.1988
'0:0:6.7,0.1990
'0:0:6.8,0.1991
'0:0:6.9,0.1991
'0:0:7.0,0.1992
'0:0:7.1,0.1993
'0:0:7.2,0.1994
'0:0:7.3,0.1995
'0:0:7.4,0.1996
'0:0:7.5,0.1996
'0:0:7.6,0.1997
'0:0:7.7,0.1997
'0:0:7.8,0.1998
'0:0:7.9,0.1998
'0:0:8.0,0.1998
'0:0:8.1,0.1998
'0:0:8.2,0.1999
'0:0:8.3,0.1999
'0:0:8.4,0.1999
'0:0:8.5,0.2000
'0:0:8.6,0.2000
'0:0:8.7,0.2001
'0:0:8.8,0.2002
'0:0:8.9,0.2002
'0:0:9.0,0.2003
'0:0:9.1,0.2003
'0:0:9.2,0.2004
'0:0:9.3,0.2004
'0:0:9.4,0.2005
'0:0:9.5,0.2004
'0:0:9.6,0.2005
'0:0:9.7,0.2004
'0:0:9.8,0.2004
'0:0:9.9,0.2005
'0:0:10.0,0.2004
'0:0:10.1,0.2005
'0:0:10.2,0.2005
'0:0:10.3,0.2005
'0:0:10.4,0.2005
'0:0:10.5,0.2005
'0:0:10.6,0.2005
'0:0:10.7,0.2005
'0:0:10.8,0.2005
'0:0:10.9,0.2005
'0:0:11.0,0.2005
'0:0:11.1,0.2005
'0:0:11.2,0.2005
'0:0:11.3,0.2006
'0:0:11.4,0.2005
'0:0:11.5,0.2006
'0:0:11.6,0.2005
'0:0:11.7,0.2005
'0:0:11.8,0.2006
'0:0:11.9,0.2006
'0:0:12.0,0.2006
'0:0:12.1,0.2006
'0:0:12.2,0.2006
'0:0:12.3,0.2007
'0:0:12.4,0.2006
'0:0:12.5,0.2007
'0:0:12.6,0.2007
'0:0:12.7,0.2006
'0:0:12.8,0.2006
'0:0:12.9,0.2006
'0:0:13.0,0.2006
'0:0:13.1,0.2006
'0:0:13.2,0.2005
'0:0:13.3,0.2005
'0:0:13.4,0.2006
'0:0:13.5,0.2005
'0:0:13.6,0.2005
'0:0:13.7,0.2005
'0:0:13.8,0.2005
'0:0:13.9,0.2006
'0:0:14.0,0.2005
'0:0:14.1,0.2005
'0:0:14.2,0.2005
'0:0:14.3,0.2006
'0:0:14.4,0.2006
'0:0:14.5,0.2006
'0:0:14.6,0.2006
'0:0:14.7,0.2006
'0:0:14.8,0.2006
'0:0:14.9,0.2006
'0:0:15.0,0.2005
'0:0:15.1,0.2005
'0:0:15.2,0.2005
'0:0:15.3,0.2006
'0:0:15.4,0.2005
'0:0:15.5,0.2005
'0:0:15.6,0.2005
'0:0:15.7,0.2005
'0:0:15.8,0.2005
'0:0:15.9,0.2004
'0:0:16.0,0.2005
'0:0:16.1,0.2004
'0:0:16.2,0.2003
'0:0:16.3,0.2003
'0:0:16.4,0.2003
'0:0:16.5,0.2003
'0:0:16.6,0.2002
'0:0:16.7,0.2003
'0:0:16.8,0.2003
'0:0:16.9,0.2002
'0:0:17.0,0.2002
'0:0:17.1,0.2002
'0:0:17.2,0.2001
'0:0:17.3,0.2001
'0:0:17.4,0.2000
'0:0:17.5,0.2000
'0:0:17.6,0.2001
'0:0:17.7,0.2000
'0:0:17.8,0.2000
'0:0:17.9,0.2000
'0:0:18.0,0.2002
'0:0:18.1,0.2001
'0:0:18.2,0.1999
'0:0:18.3,0.1999
'0:0:18.4,0.1999
'0:0:18.5,0.1999
'0:0:18.6,0.1999
'0:0:18.7,0.1999
'0:0:18.8,0.1999
'0:0:18.9,0.1999
'0:0:19.0,0.1999
'0:0:19.1,0.2000
'0:0:19.2,0.1999
'0:0:19.3,0.1999
'0:0:19.4,0.1999
'0:0:19.5,0.1999
'0:0:19.6,0.1998
'0:0:19.7,0.1998
'0:0:19.8,0.1997
'0:0:19.9,0.1997
'0:0:20.0,0.1996
'0:0:20.1,0.1996
'0:0:20.2,0.1996
