 Time,,, HRV
4/4/2019,11:01:51,AM,63
4/4/2019,11:01:52,AM,63
4/4/2019,11:01:53,AM,63
4/4/2019,11:01:54,AM,63
4/4/2019,11:01:55,AM,63
4/4/2019,11:01:56,AM,63
4/4/2019,11:01:57,AM,63
4/4/2019,11:01:58,AM,63
4/4/2019,11:01:59,AM,63
4/4/2019,11:02:00,AM,63
4/4/2019,11:02:01,AM,63
4/4/2019,11:02:02,AM,63
4/4/2019,11:02:03,AM,63
4/4/2019,11:02:04,AM,63
4/4/2019,11:02:05,AM,63
4/4/2019,11:02:06,AM,64
4/4/2019,11:02:07,AM,64
4/4/2019,11:02:08,AM,64
4/4/2019,11:02:09,AM,64
4/4/2019,11:02:10,AM,64
4/4/2019,11:02:11,AM,64
4/4/2019,11:02:12,AM,65
4/4/2019,11:02:13,AM,65
4/4/2019,11:02:14,AM,65
4/4/2019,11:02:15,AM,66
4/4/2019,11:02:16,AM,66
4/4/2019,11:02:17,AM,66
4/4/2019,11:02:18,AM,66
4/4/2019,11:02:19,AM,66
4/4/2019,11:02:20,AM,66
4/4/2019,11:02:21,AM,66
4/4/2019,11:02:22,AM,67
4/4/2019,11:02:23,AM,66
4/4/2019,11:02:24,AM,66
4/4/2019,11:02:25,AM,66
4/4/2019,11:02:26,AM,66
4/4/2019,11:02:27,AM,66
4/4/2019,11:02:28,AM,65
4/4/2019,11:02:29,AM,65
4/4/2019,11:02:30,AM,65
4/4/2019,11:02:31,AM,65
4/4/2019,11:02:32,AM,65
4/4/2019,11:02:34,AM,65
4/4/2019,11:02:35,AM,65
4/4/2019,11:02:36,AM,65
4/4/2019,11:02:37,AM,65
4/4/2019,11:02:38,AM,65
4/4/2019,11:02:39,AM,65
4/4/2019,11:02:40,AM,65
4/4/2019,11:02:41,AM,65
4/4/2019,11:02:42,AM,65
4/4/2019,11:02:43,AM,65
4/4/2019,11:02:44,AM,65
4/4/2019,11:02:45,AM,65
4/4/2019,11:02:46,AM,64
4/4/2019,11:02:47,AM,64
4/4/2019,11:02:48,AM,64
4/4/2019,11:02:49,AM,64
4/4/2019,11:02:50,AM,64
4/4/2019,11:02:51,AM,64
4/4/2019,11:02:52,AM,63
4/4/2019,11:02:53,AM,62
4/4/2019,11:02:54,AM,62
4/4/2019,11:02:55,AM,62
4/4/2019,11:02:58,AM,62
4/4/2019,11:02:59,AM,62
4/4/2019,11:03:00,AM,62
4/4/2019,11:03:01,AM,61
4/4/2019,11:03:02,AM,60
4/4/2019,11:03:03,AM,60
4/4/2019,11:03:04,AM,60
4/4/2019,11:03:05,AM,60
4/4/2019,11:03:06,AM,60
4/4/2019,11:03:07,AM,60
4/4/2019,11:03:08,AM,60
4/4/2019,11:03:09,AM,60
4/4/2019,11:03:10,AM,61
4/4/2019,11:03:11,AM,60
4/4/2019,11:03:12,AM,60
4/4/2019,11:03:13,AM,60
4/4/2019,11:03:14,AM,60
4/4/2019,11:03:15,AM,60
4/4/2019,11:03:16,AM,60
4/4/2019,11:03:17,AM,60
4/4/2019,11:03:18,AM,60
4/4/2019,11:03:19,AM,60
4/4/2019,11:03:20,AM,61
4/4/2019,11:03:21,AM,61
4/4/2019,11:03:22,AM,61
4/4/2019,11:03:23,AM,60
4/4/2019,11:03:24,AM,61
4/4/2019,11:03:25,AM,61
4/4/2019,11:03:26,AM,61
4/4/2019,11:03:27,AM,61
4/4/2019,11:03:28,AM,61
4/4/2019,11:03:29,AM,61
4/4/2019,11:03:30,AM,61
4/4/2019,11:03:31,AM,61
4/4/2019,11:03:32,AM,61
4/4/2019,11:03:33,AM,61
4/4/2019,11:03:34,AM,61
4/4/2019,11:03:35,AM,61
4/4/2019,11:03:36,AM,61
4/4/2019,11:03:37,AM,61
4/4/2019,11:03:38,AM,61
4/4/2019,11:03:39,AM,61
4/4/2019,11:03:40,AM,61
4/4/2019,11:03:41,AM,61
4/4/2019,11:03:42,AM,61
4/4/2019,11:03:43,AM,61
4/4/2019,11:03:44,AM,61
4/4/2019,11:03:45,AM,61
4/4/2019,11:03:46,AM,61
4/4/2019,11:03:47,AM,61
4/4/2019,11:03:48,AM,61
4/4/2019,11:03:49,AM,61
4/4/2019,11:03:50,AM,61
4/4/2019,11:03:51,AM,61
4/4/2019,11:03:53,AM,61
4/4/2019,11:03:54,AM,61
4/4/2019,11:03:55,AM,60
4/4/2019,11:03:56,AM,60
4/4/2019,11:03:57,AM,60
4/4/2019,11:03:58,AM,60
4/4/2019,11:03:59,AM,60
4/4/2019,11:04:00,AM,59
4/4/2019,11:04:01,AM,59
4/4/2019,11:04:02,AM,59
4/4/2019,11:04:03,AM,58
4/4/2019,11:04:04,AM,58
4/4/2019,11:04:05,AM,57
4/4/2019,11:04:06,AM,57
4/4/2019,11:04:07,AM,56
4/4/2019,11:04:08,AM,55
4/4/2019,11:04:09,AM,55
4/4/2019,11:04:10,AM,54
4/4/2019,11:04:11,AM,53
4/4/2019,11:04:12,AM,54
4/4/2019,11:04:13,AM,54
4/4/2019,11:04:14,AM,54
4/4/2019,11:04:15,AM,55
4/4/2019,11:04:16,AM,55
4/4/2019,11:04:17,AM,55
4/4/2019,11:04:18,AM,55
4/4/2019,11:04:19,AM,55
4/4/2019,11:04:20,AM,54
4/4/2019,11:04:21,AM,53
4/4/2019,11:04:22,AM,52
4/4/2019,11:04:23,AM,51
4/4/2019,11:04:24,AM,50
4/4/2019,11:04:25,AM,50
4/4/2019,11:04:26,AM,51
4/4/2019,11:04:27,AM,51
4/4/2019,11:04:28,AM,52
4/4/2019,11:04:29,AM,53
4/4/2019,11:04:30,AM,54
4/4/2019,11:04:31,AM,54
4/4/2019,11:04:32,AM,54
4/4/2019,11:04:33,AM,54
4/4/2019,11:04:34,AM,53
4/4/2019,11:04:35,AM,53
4/4/2019,11:04:36,AM,53
4/4/2019,11:04:37,AM,53
4/4/2019,11:04:38,AM,53
4/4/2019,11:04:39,AM,53
4/4/2019,11:04:40,AM,53
