Time,,,HRV
3/12/2019,3:50:35,PM,26
3/12/2019,3:50:36,PM,26
3/12/2019,3:50:37,PM,26
3/12/2019,3:50:39,PM,26
3/12/2019,3:50:41,PM,26
3/12/2019,3:50:42,PM,26
3/12/2019,3:50:44,PM,26
3/12/2019,3:50:45,PM,26
3/12/2019,3:50:46,PM,26
3/12/2019,3:50:48,PM,26
3/12/2019,3:50:49,PM,26
3/12/2019,3:50:51,PM,27
3/12/2019,3:50:52,PM,27
3/12/2019,3:50:53,PM,27
3/12/2019,3:50:54,PM,27
3/12/2019,3:50:55,PM,27
3/12/2019,3:50:56,PM,27
3/12/2019,3:50:57,PM,27
3/12/2019,3:50:58,PM,27
3/12/2019,3:50:59,PM,27
3/12/2019,3:51:00,PM,27
3/12/2019,3:51:01,PM,27
3/12/2019,3:51:02,PM,27
3/12/2019,3:51:03,PM,27
3/12/2019,3:51:04,PM,27
3/12/2019,3:51:05,PM,28
3/12/2019,3:51:06,PM,28
3/12/2019,3:51:07,PM,28
3/12/2019,3:51:08,PM,28
3/12/2019,3:51:09,PM,28
3/12/2019,3:51:10,PM,28
3/12/2019,3:51:11,PM,28
3/12/2019,3:51:12,PM,28
3/12/2019,3:51:13,PM,28
3/12/2019,3:51:14,PM,28
3/12/2019,3:51:15,PM,28
3/12/2019,3:51:16,PM,28
3/12/2019,3:51:17,PM,28
3/12/2019,3:51:18,PM,28
3/12/2019,3:51:19,PM,28
3/12/2019,3:51:20,PM,28
3/12/2019,3:51:21,PM,28
3/12/2019,3:51:22,PM,28
3/12/2019,3:51:23,PM,28
3/12/2019,3:51:24,PM,28
3/12/2019,3:51:25,PM,28
3/12/2019,3:51:26,PM,28
3/12/2019,3:51:27,PM,28
3/12/2019,3:51:28,PM,28
3/12/2019,3:51:29,PM,28
3/12/2019,3:51:30,PM,28
3/12/2019,3:51:31,PM,28
3/12/2019,3:51:32,PM,28
3/12/2019,3:51:33,PM,28
3/12/2019,3:51:34,PM,28
3/12/2019,3:51:35,PM,28
3/12/2019,3:51:36,PM,28
3/12/2019,3:51:37,PM,27
3/12/2019,3:51:38,PM,27
3/12/2019,3:51:39,PM,27
3/12/2019,3:51:40,PM,27
3/12/2019,3:51:41,PM,27
3/12/2019,3:51:42,PM,27
3/12/2019,3:51:43,PM,27
3/12/2019,3:51:44,PM,27
3/12/2019,3:51:45,PM,27
3/12/2019,3:51:46,PM,27
3/12/2019,3:51:47,PM,27
3/12/2019,3:51:48,PM,27
3/12/2019,3:51:49,PM,27
3/12/2019,3:51:50,PM,27
3/12/2019,3:51:51,PM,27
3/12/2019,3:51:52,PM,27
3/12/2019,3:51:53,PM,27
3/12/2019,3:51:54,PM,27
3/12/2019,3:51:55,PM,27
3/12/2019,3:51:56,PM,27
3/12/2019,3:51:57,PM,27
3/12/2019,3:51:58,PM,27
3/12/2019,3:51:59,PM,27
3/12/2019,3:52:00,PM,27
3/12/2019,3:52:01,PM,27
3/12/2019,3:52:02,PM,27
3/12/2019,3:52:03,PM,27
3/12/2019,3:52:04,PM,27
3/12/2019,3:52:05,PM,27
3/12/2019,3:52:06,PM,27
3/12/2019,3:52:07,PM,27
3/12/2019,3:52:08,PM,27
3/12/2019,3:52:09,PM,27
3/12/2019,3:52:10,PM,27
3/12/2019,3:52:11,PM,27
3/12/2019,3:52:12,PM,27
3/12/2019,3:52:13,PM,27
3/12/2019,3:52:14,PM,27
3/12/2019,3:52:15,PM,27
3/12/2019,3:52:16,PM,27
3/12/2019,3:52:17,PM,27
3/12/2019,3:52:18,PM,27
3/12/2019,3:52:19,PM,27
3/12/2019,3:52:20,PM,27
3/12/2019,3:52:21,PM,27
3/12/2019,3:52:22,PM,27
3/12/2019,3:52:24,PM,27
3/12/2019,3:52:25,PM,27
3/12/2019,3:52:26,PM,27
3/12/2019,3:52:29,PM,27
3/12/2019,3:52:30,PM,27
3/12/2019,3:52:33,PM,27
3/12/2019,3:52:34,PM,27
3/12/2019,3:52:35,PM,27
3/12/2019,3:52:36,PM,27
3/12/2019,3:52:37,PM,27
3/12/2019,3:52:38,PM,27
3/12/2019,3:52:39,PM,28
3/12/2019,3:52:40,PM,28
3/12/2019,3:52:41,PM,29
3/12/2019,3:52:42,PM,29
3/12/2019,3:52:43,PM,29
3/12/2019,3:52:44,PM,29
3/12/2019,3:52:45,PM,29
3/12/2019,3:52:46,PM,29
3/12/2019,3:52:47,PM,29
3/12/2019,3:52:48,PM,29
3/12/2019,3:52:49,PM,29
3/12/2019,3:52:50,PM,29
3/12/2019,3:52:51,PM,30
3/12/2019,3:52:52,PM,30
3/12/2019,3:52:53,PM,30
3/12/2019,3:52:54,PM,31
3/12/2019,3:52:55,PM,31
3/12/2019,3:52:56,PM,31
3/12/2019,3:52:57,PM,30
3/12/2019,3:52:58,PM,30
3/12/2019,3:52:59,PM,30
3/12/2019,3:53:00,PM,30
3/12/2019,3:53:01,PM,30
3/12/2019,3:53:02,PM,31
3/12/2019,3:53:03,PM,31
3/12/2019,3:53:05,PM,31
3/12/2019,3:53:06,PM,31
3/12/2019,3:53:07,PM,31
3/12/2019,3:53:08,PM,31
3/12/2019,3:53:09,PM,31
3/12/2019,3:53:10,PM,31
3/12/2019,3:53:11,PM,31
3/12/2019,3:53:12,PM,31
3/12/2019,3:53:13,PM,31
3/12/2019,3:53:14,PM,31
3/12/2019,3:53:15,PM,30
3/12/2019,3:53:16,PM,30
3/12/2019,3:53:17,PM,30
3/12/2019,3:53:18,PM,30
3/12/2019,3:53:19,PM,30
3/12/2019,3:53:49,PM,28
3/12/2019,3:53:51,PM,27
3/12/2019,3:53:53,PM,27
3/12/2019,3:53:54,PM,27
3/12/2019,3:54:24,PM,28
3/12/2019,3:54:25,PM,28
3/12/2019,3:54:26,PM,28
3/12/2019,3:54:39,PM,28
3/12/2019,3:54:50,PM,30
3/12/2019,3:54:51,PM,30
3/12/2019,3:54:52,PM,30
3/12/2019,3:54:53,PM,30
3/12/2019,3:54:54,PM,30
3/12/2019,3:54:55,PM,30
3/12/2019,3:54:56,PM,30
3/12/2019,3:54:57,PM,30
3/12/2019,3:54:58,PM,30
3/12/2019,3:55:00,PM,30
3/12/2019,3:55:02,PM,30
3/12/2019,3:55:03,PM,30
3/12/2019,3:55:04,PM,30
3/12/2019,3:55:05,PM,30
3/12/2019,3:55:06,PM,31
3/12/2019,3:55:07,PM,31
3/12/2019,3:55:08,PM,31
3/12/2019,3:55:09,PM,31
3/12/2019,3:55:10,PM,31
3/12/2019,3:55:11,PM,31
3/12/2019,3:55:12,PM,31
3/12/2019,3:55:13,PM,31
3/12/2019,3:55:14,PM,31
3/12/2019,3:55:15,PM,31
3/12/2019,3:55:16,PM,31
3/12/2019,3:55:17,PM,31
3/12/2019,3:55:18,PM,32
3/12/2019,3:55:19,PM,32
3/12/2019,3:55:20,PM,32
3/12/2019,3:55:21,PM,32
3/12/2019,3:55:22,PM,32
3/12/2019,3:55:23,PM,32
3/12/2019,3:55:24,PM,32
3/12/2019,3:55:25,PM,32
3/12/2019,3:55:26,PM,31
3/12/2019,3:55:27,PM,31
3/12/2019,3:55:28,PM,31
3/12/2019,3:55:29,PM,31
