Time, GSR
'0:0:0.0,5.5249
'0:0:0.1,5.5133
'0:0:0.2,5.5085
'0:0:0.3,5.5054
'0:0:0.4,5.5043
'0:0:0.5,5.5064
'0:0:0.6,5.5175
'0:0:0.7,5.5382
'0:0:0.8,5.5440
'0:0:0.9,5.5446
'0:0:1.0,5.5520
'0:0:1.1,5.5664
'0:0:1.2,5.5761
'0:0:1.3,5.5766
'0:0:1.4,5.5745
'0:0:1.5,5.5718
'0:0:1.6,5.5680
'0:0:1.7,5.5632
'0:0:1.8,5.5584
'0:0:1.9,5.5531
'0:0:2.0,5.5488
'0:0:2.1,5.5446
'0:0:2.2,5.5446
'0:0:2.3,5.5483
'0:0:2.4,5.5483
'0:0:2.5,5.5483
'0:0:2.6,5.5547
'0:0:2.7,5.5622
'0:0:2.8,5.5718
'0:0:2.9,5.5879
'0:0:3.0,5.6073
'0:0:3.1,5.6296
'0:0:3.2,5.6585
'0:0:3.3,5.6887
'0:0:3.4,5.7153
'0:0:3.5,5.7370
'0:0:3.6,5.7533
'0:0:3.7,5.7650
'0:0:3.8,5.7729
'0:0:3.9,5.7814
'0:0:4.0,5.7876
'0:0:4.1,5.7916
'0:0:4.2,5.7921
'0:0:4.3,5.7893
'0:0:4.4,5.7842
'0:0:4.5,5.7780
'0:0:4.6,5.7729
'0:0:4.7,5.7650
'0:0:4.8,5.7572
'0:0:4.9,5.7521
'0:0:5.0,5.7510
'0:0:5.1,5.7504
'0:0:5.2,5.7521
'0:0:5.3,5.7544
'0:0:5.4,5.7561
'0:0:5.5,5.7572
'0:0:5.6,5.7572
'0:0:5.7,5.7561
'0:0:5.8,5.7538
'0:0:5.9,5.7527
'0:0:6.0,5.7516
'0:0:6.1,5.7504
'0:0:6.2,5.7510
'0:0:6.3,5.7527
'0:0:6.4,5.7544
'0:0:6.5,5.7555
'0:0:6.6,5.7549
'0:0:6.7,5.7527
'0:0:6.8,5.7488
'0:0:6.9,5.7421
'0:0:7.0,5.7337
'0:0:7.1,5.7259
'0:0:7.2,5.7175
'0:0:7.3,5.7092
'0:0:7.4,5.7009
'0:0:7.5,5.6926
'0:0:7.6,5.6843
'0:0:7.7,5.6755
'0:0:7.8,5.6716
'0:0:7.9,5.6711
'0:0:8.0,5.6667
'0:0:8.1,5.6634
'0:0:8.2,5.6640
'0:0:8.3,5.6645
'0:0:8.4,5.6634
'0:0:8.5,5.6629
'0:0:8.6,5.6585
'0:0:8.7,5.6557
'0:0:8.8,5.6530
'0:0:8.9,5.6519
'0:0:9.0,5.6486
'0:0:9.1,5.6454
