Time, GSR
'0:0:0.0,4.2460
'0:0:0.1,4.2431
'0:0:0.2,4.2408
'0:0:0.3,4.2390
'0:0:0.4,4.2368
'0:0:0.5,4.2342
'0:0:0.6,4.2320
'0:0:0.7,4.2294
'0:0:0.8,4.2275
'0:0:0.9,4.2253
'0:0:1.0,4.2224
'0:0:1.1,4.2202
'0:0:1.2,4.2176
'0:0:1.3,4.2150
'0:0:1.4,4.2117
'0:0:1.5,4.2095
'0:0:1.6,4.2069
'0:0:1.7,4.2051
'0:0:1.8,4.2022
'0:0:1.9,4.2003
'0:0:2.0,4.1981
'0:0:2.1,4.1952
'0:0:2.2,4.1930
'0:0:2.3,4.1912
'0:0:2.4,4.1894
'0:0:2.5,4.1887
'0:0:2.6,4.1872
'0:0:2.7,4.1879
'0:0:2.8,4.1919
'0:0:2.9,4.2000
'0:0:3.0,4.2128
'0:0:3.1,4.2312
'0:0:3.2,4.2531
'0:0:3.3,4.2792
'0:0:3.4,4.3063
'0:0:3.5,4.3344
'0:0:3.6,4.3616
'0:0:3.7,4.3855
'0:0:3.8,4.4049
'0:0:3.9,4.4201
'0:0:4.0,4.4334
'0:0:4.1,4.4448
'0:0:4.2,4.4472
'0:0:4.3,4.4460
'0:0:4.4,4.4433
'0:0:4.5,4.4381
'0:0:4.6,4.4323
'0:0:4.7,4.4248
'0:0:4.8,4.4162
'0:0:4.9,4.4080
'0:0:5.0,4.3979
'0:0:5.1,4.3866
'0:0:5.2,4.3754
'0:0:5.3,4.3639
'0:0:5.4,4.3520
'0:0:5.5,4.3398
'0:0:5.6,4.3283
'0:0:5.7,4.3169
'0:0:5.8,4.3059
'0:0:5.9,4.2946
'0:0:6.0,4.2845
'0:0:6.1,4.2740
'0:0:6.2,4.2650
'0:0:6.3,4.2579
'0:0:6.4,4.2516
'0:0:6.5,4.2464
'0:0:6.6,4.2412
'0:0:6.7,4.2360
'0:0:6.8,4.2323
'0:0:6.9,4.2290
'0:0:7.0,4.2253
'0:0:7.1,4.2220
'0:0:7.2,4.2183
'0:0:7.3,4.2139
'0:0:7.4,4.2102
'0:0:7.5,4.2066
'0:0:7.6,4.2029
'0:0:7.7,4.1989
'0:0:7.8,4.1960
'0:0:7.9,4.1934
'0:0:8.0,4.1905
'0:0:8.1,4.1876
'0:0:8.2,4.1850
'0:0:8.3,4.1817
'0:0:8.4,4.1781
'0:0:8.5,4.1759
'0:0:8.6,4.1737
'0:0:8.7,4.1716
'0:0:8.8,4.1694
'0:0:8.9,4.1672
'0:0:9.0,4.1654
'0:0:9.1,4.1629
'0:0:9.2,4.1607
'0:0:9.3,4.1589
'0:0:9.4,4.1596
'0:0:9.5,4.1589
'0:0:9.6,4.1556
'0:0:9.7,4.1538
'0:0:9.8,4.1531
'0:0:9.9,4.1531
'0:0:10.0,4.1535
'0:0:10.1,4.1535
'0:0:10.2,4.1535
'0:0:10.3,4.1531
'0:0:10.4,4.1510
'0:0:10.5,4.1484
'0:0:10.6,4.1477
'0:0:10.7,4.1470
'0:0:10.8,4.1456
'0:0:10.9,4.1456
'0:0:11.0,4.1477
'0:0:11.1,4.1481
'0:0:11.2,4.1492
'0:0:11.3,4.1549
'0:0:11.4,4.1625
'0:0:11.5,4.1748
'0:0:11.6,4.1930
'0:0:11.7,4.2146
'0:0:11.8,4.2375
'0:0:11.9,4.2635
'0:0:12.0,4.2886
'0:0:12.1,4.3090
'0:0:12.2,4.3276
'0:0:12.3,4.3394
'0:0:12.4,4.3474
'0:0:12.5,4.3539
'0:0:12.6,4.3589
'0:0:12.7,4.3608
'0:0:12.8,4.3635
'0:0:12.9,4.3643
'0:0:13.0,4.3608
'0:0:13.1,4.3547
'0:0:13.2,4.3497
'0:0:13.3,4.3420
'0:0:13.4,4.3336
'0:0:13.5,4.3230
'0:0:13.6,4.3109
'0:0:13.7,4.2988
'0:0:13.8,4.2864
'0:0:13.9,4.2747
'0:0:14.0,4.2631
'0:0:14.1,4.2512
'0:0:14.2,4.2390
'0:0:14.3,4.2268
'0:0:14.4,4.2154
'0:0:14.5,4.2051
'0:0:14.6,4.1967
'0:0:14.7,4.1879
'0:0:14.8,4.1806
'0:0:14.9,4.1737
'0:0:15.0,4.1687
'0:0:15.1,4.1643
'0:0:15.2,4.1618
'0:0:15.3,4.1607
'0:0:15.4,4.1625
'0:0:15.5,4.1650
'0:0:15.6,4.1687
'0:0:15.7,4.1723
'0:0:15.8,4.1759
'0:0:15.9,4.1799
'0:0:16.0,4.1825
'0:0:16.1,4.1846
'0:0:16.2,4.1857
'0:0:16.3,4.1857
