Time,GSR
'0:0:0.0,2.6898
'0:0:0.1,2.6879
'0:0:0.2,2.6868
'0:0:0.3,2.6853
'0:0:0.4,2.6840
'0:0:0.5,2.6827
'0:0:0.6,2.6806
'0:0:0.7,2.6793
'0:0:0.8,2.6776
'0:0:0.9,2.6763
'0:0:1.0,2.6745
'0:0:1.1,2.6730
'0:0:1.2,2.6713
'0:0:1.3,2.6702
'0:0:1.4,2.6685
'0:0:1.5,2.6670
'0:0:1.6,2.6653
'0:0:1.7,2.6638
'0:0:1.8,2.6625
'0:0:1.9,2.6613
'0:0:2.0,2.6595
'0:0:2.1,2.6578
'0:0:2.2,2.6572
'0:0:2.3,2.6557
'0:0:2.4,2.6555
'0:0:2.5,2.6536
'0:0:2.6,2.6517
'0:0:2.7,2.6415
'0:0:2.8,2.6379
'0:0:2.9,2.6413
'0:0:3.0,2.6514
'0:0:3.1,2.6625
'0:0:3.2,2.6610
'0:0:3.3,2.6619
'0:0:3.4,2.6600
'0:0:3.5,2.6610
'0:0:3.6,2.6534
'0:0:3.7,2.6372
'0:0:3.8,2.6307
'0:0:3.9,2.6385
'0:0:4.0,2.6542
'0:0:4.1,2.6728
'0:0:4.2,2.6702
'0:0:4.3,2.6615
'0:0:4.4,2.6581
'0:0:4.5,2.6527
'0:0:4.6,2.6303
'0:0:4.7,2.6487
'0:0:4.8,2.6726
'0:0:4.9,2.6713
'0:0:5.0,2.6709
'0:0:5.1,2.6630
'0:0:5.2,2.6419
'0:0:5.3,2.6493
'0:0:5.4,2.6602
'0:0:5.5,2.6542
'0:0:5.6,2.6587
'0:0:5.7,2.6598
'0:0:5.8,2.6529
'0:0:5.9,2.6576
'0:0:6.0,2.6600
'0:0:6.1,2.6613
'0:0:6.2,2.6640
'0:0:6.3,2.6638
'0:0:6.4,2.6625
'0:0:6.5,2.6619
'0:0:6.6,2.6608
'0:0:6.7,2.6600
'0:0:6.8,2.6585
'0:0:6.9,2.6572
'0:0:7.0,2.6561
'0:0:7.1,2.6546
'0:0:7.2,2.6532
'0:0:7.3,2.6519
'0:0:7.4,2.6508
'0:0:7.5,2.6500
'0:0:7.6,2.6491
'0:0:7.7,2.6480
'0:0:7.8,2.6472
'0:0:7.9,2.6459
'0:0:8.0,2.6449
'0:0:8.1,2.6440
'0:0:8.2,2.6429
'0:0:8.3,2.6419
'0:0:8.4,2.6408
'0:0:8.5,2.6400
'0:0:8.6,2.6393
'0:0:8.7,2.6381
'0:0:8.8,2.6372
'0:0:8.9,2.6368
'0:0:9.0,2.6357
'0:0:9.1,2.6347
'0:0:9.2,2.6343
'0:0:9.3,2.6334
'0:0:9.4,2.6317
'0:0:9.5,2.6309
'0:0:9.6,2.6307
'0:0:9.7,2.6294
'0:0:9.8,2.6288
'0:0:9.9,2.6281
'0:0:10.0,2.6273
'0:0:10.1,2.6269
'0:0:10.2,2.6265
'0:0:10.3,2.6260
'0:0:10.4,2.6254
'0:0:10.5,2.6244
'0:0:10.6,2.6229
'0:0:10.7,2.6222
'0:0:10.8,2.6220
'0:0:10.9,2.6218
'0:0:11.0,2.6208
'0:0:11.1,2.6195
'0:0:11.2,2.6176
'0:0:11.3,2.6162
'0:0:11.4,2.6122
'0:0:11.5,2.6074
'0:0:11.6,2.6046
'0:0:11.7,2.6090
'0:0:11.8,2.6138
'0:0:11.9,2.6170
'0:0:12.0,2.6153
'0:0:12.1,2.6143
'0:0:12.2,2.6128
'0:0:12.3,2.6107
'0:0:12.4,2.6095
'0:0:12.5,2.6088
'0:0:12.6,2.6082
'0:0:12.7,2.6071
'0:0:12.8,2.6067
'0:0:12.9,2.6061
'0:0:13.0,2.6061
'0:0:13.1,2.6053
'0:0:13.2,2.6046
'0:0:13.3,2.6044
'0:0:13.4,2.6040
'0:0:13.5,2.6032
'0:0:13.6,2.6026
'0:0:13.7,2.6026
'0:0:13.8,2.6019
'0:0:13.9,2.6015
'0:0:14.0,2.6009
'0:0:14.1,2.6005
'0:0:14.2,2.6009
'0:0:14.3,2.6009
'0:0:14.4,2.6005
'0:0:14.5,2.5996
'0:0:14.6,2.5992
'0:0:14.7,2.5984
'0:0:14.8,2.5976
'0:0:14.9,2.5969
'0:0:15.0,2.5963
'0:0:15.1,2.5955
'0:0:15.2,2.5940
'0:0:15.3,2.5919
'0:0:15.4,2.5919
'0:0:15.5,2.5932
'0:0:15.6,2.5928
'0:0:15.7,2.5913
'0:0:15.8,2.5901
'0:0:15.9,2.5890
'0:0:16.0,2.5890
'0:0:16.1,2.5894
'0:0:16.2,2.5907
'0:0:16.3,2.5934
'0:0:16.4,2.5973
'0:0:16.5,2.6030
'0:0:16.6,2.6099
'0:0:16.7,2.6185
'0:0:16.8,2.6288
'0:0:16.9,2.6404
'0:0:17.0,2.6525
'0:0:17.1,2.6662
'0:0:17.2,2.6801
'0:0:17.3,2.6940
'0:0:17.4,2.7059
'0:0:17.5,2.7153
'0:0:17.6,2.7273
'0:0:17.7,2.7387
'0:0:17.8,2.7460
'0:0:17.9,2.7529
'0:0:18.0,2.7622
'0:0:18.1,2.7727
'0:0:18.2,2.7825
'0:0:18.3,2.7890
'0:0:18.4,2.7942
'0:0:18.5,2.7969
'0:0:18.6,2.8012
