Time,GSR
'0:0:0.0,2.8001
'0:0:0.1,2.7996
'0:0:0.2,2.8003
'0:0:0.3,2.7987
'0:0:0.4,2.7976
'0:0:0.5,2.7962
'0:0:0.6,2.7951
'0:0:0.7,2.7947
'0:0:0.8,2.7938
'0:0:0.9,2.7924
'0:0:1.0,2.7920
'0:0:1.1,2.7913
'0:0:1.2,2.7913
'0:0:1.3,2.7908
'0:0:1.4,2.7893
'0:0:1.5,2.7839
'0:0:1.6,2.7546
'0:0:1.7,2.6853
'0:0:1.8,2.6883
'0:0:1.9,2.8771
'0:0:2.0,2.8321
'0:0:2.1,2.8118
'0:0:2.2,2.8053
'0:0:2.3,2.8030
'0:0:2.4,2.8032
'0:0:2.5,2.7881
'0:0:2.6,2.7807
'0:0:2.7,2.7666
'0:0:2.8,2.7420
'0:0:2.9,2.7374
'0:0:3.0,2.7727
'0:0:3.1,2.7951
'0:0:3.2,2.7850
'0:0:3.3,2.7633
'0:0:3.4,2.7544
'0:0:3.5,2.7673
'0:0:3.6,2.7803
'0:0:3.7,2.7809
'0:0:3.8,2.7704
'0:0:3.9,2.7633
'0:0:4.0,2.7823
'0:0:4.1,2.7655
'0:0:4.2,2.7288
'0:0:4.3,2.7931
'0:0:4.4,2.8100
'0:0:4.5,2.7713
'0:0:4.6,2.7598
'0:0:4.7,2.7394
'0:0:4.8,2.7315
'0:0:4.9,2.7564
'0:0:5.0,2.7651
'0:0:5.1,2.7613
'0:0:5.2,2.7626
'0:0:5.3,2.7749
'0:0:5.4,2.7843
'0:0:5.5,2.7827
'0:0:5.6,2.7762
'0:0:5.7,2.7698
'0:0:5.8,2.7604
'0:0:5.9,2.7553
'0:0:6.0,2.7571
'0:0:6.1,2.7586
'0:0:6.2,2.7631
'0:0:6.3,2.7635
'0:0:6.4,2.7629
'0:0:6.5,2.7624
'0:0:6.6,2.7622
'0:0:6.7,2.7620
'0:0:6.8,2.7615
'0:0:6.9,2.7606
'0:0:7.0,2.7602
'0:0:7.1,2.7595
'0:0:7.2,2.7591
'0:0:7.3,2.7586
'0:0:7.4,2.7582
'0:0:7.5,2.7573
'0:0:7.6,2.7564
'0:0:7.7,2.7558
'0:0:7.8,2.7553
'0:0:7.9,2.7546
'0:0:8.0,2.7544
'0:0:8.1,2.7538
'0:0:8.2,2.7535
'0:0:8.3,2.7540
'0:0:8.4,2.7531
'0:0:8.5,2.7520
'0:0:8.6,2.7511
'0:0:8.7,2.7502
'0:0:8.8,2.7491
'0:0:8.9,2.7484
'0:0:9.0,2.7480
'0:0:9.1,2.7476
'0:0:9.2,2.7469
'0:0:9.3,2.7460
'0:0:9.4,2.7456
'0:0:9.5,2.7449
'0:0:9.6,2.7442
'0:0:9.7,2.7436
'0:0:9.8,2.7429
'0:0:9.9,2.7431
'0:0:10.0,2.7423
'0:0:10.1,2.7416
'0:0:10.2,2.7405
'0:0:10.3,2.7398
'0:0:10.4,2.7392
'0:0:10.5,2.7383
'0:0:10.6,2.7376
'0:0:10.7,2.7370
'0:0:10.8,2.7361
'0:0:10.9,2.7356
'0:0:11.0,2.7348
'0:0:11.1,2.7341
'0:0:11.2,2.7334
'0:0:11.3,2.7334
'0:0:11.4,2.7330
'0:0:11.5,2.7317
'0:0:11.6,2.7308
'0:0:11.7,2.7304
'0:0:11.8,2.7295
'0:0:11.9,2.7284
'0:0:12.0,2.7280
'0:0:12.1,2.7273
'0:0:12.2,2.7266
'0:0:12.3,2.7260
'0:0:12.4,2.7253
'0:0:12.5,2.7244
'0:0:12.6,2.7240
'0:0:12.7,2.7231
'0:0:12.8,2.7229
'0:0:12.9,2.7220
'0:0:13.0,2.7212
'0:0:13.1,2.7205
'0:0:13.2,2.7201
'0:0:13.3,2.7198
'0:0:13.4,2.7194
'0:0:13.5,2.7190
'0:0:13.6,2.7183
'0:0:13.7,2.7174
'0:0:13.8,2.7168
'0:0:13.9,2.7161
'0:0:14.0,2.7157
'0:0:14.1,2.7153
'0:0:14.2,2.7146
'0:0:14.3,2.7142
'0:0:14.4,2.7139
'0:0:14.5,2.7137
'0:0:14.6,2.7137
'0:0:14.7,2.7133
'0:0:14.8,2.7126
'0:0:14.9,2.7133
'0:0:15.0,2.7133
'0:0:15.1,2.7129
'0:0:15.2,2.7124
'0:0:15.3,2.7118
'0:0:15.4,2.7113
'0:0:15.5,2.7107
'0:0:15.6,2.7105
'0:0:15.7,2.7100
'0:0:15.8,2.7092
'0:0:15.9,2.7085
'0:0:16.0,2.7081
'0:0:16.1,2.7076
'0:0:16.2,2.7070
'0:0:16.3,2.7063
'0:0:16.4,2.7059
'0:0:16.5,2.7057
'0:0:16.6,2.7055
'0:0:16.7,2.7046
'0:0:16.8,2.7037
'0:0:16.9,2.7033
'0:0:17.0,2.7024
'0:0:17.1,2.7018
'0:0:17.2,2.7011
'0:0:17.3,2.7005
'0:0:17.4,2.6998
'0:0:17.5,2.6992
'0:0:17.6,2.6985
'0:0:17.7,2.6976
'0:0:17.8,2.6970
'0:0:17.9,2.6966
'0:0:18.0,2.6959
'0:0:18.1,2.6950
'0:0:18.2,2.6953
'0:0:18.3,2.6953
'0:0:18.4,2.6937
'0:0:18.5,2.6931
'0:0:18.6,2.6922
'0:0:18.7,2.6911
'0:0:18.8,2.6905
'0:0:18.9,2.6898
'0:0:19.0,2.6894
'0:0:19.1,2.6892
'0:0:19.2,2.6896
'0:0:19.3,2.6883
'0:0:19.4,2.6875
'0:0:19.5,2.6868
'0:0:19.6,2.6864
'0:0:19.7,2.6857
'0:0:19.8,2.6849
'0:0:19.9,2.6844
'0:0:20.0,2.6838
'0:0:20.1,2.6831
'0:0:20.2,2.6823
'0:0:20.3,2.6821
'0:0:20.4,2.6816
'0:0:20.5,2.6810
'0:0:20.6,2.6803
'0:0:20.7,2.6799
'0:0:20.8,2.6793
'0:0:20.9,2.6788
'0:0:21.0,2.6782
'0:0:21.1,2.6773
'0:0:21.2,2.6771
'0:0:21.3,2.6767
'0:0:21.4,2.6765
'0:0:21.5,2.6758
'0:0:21.6,2.6754
'0:0:21.7,2.6752
'0:0:21.8,2.6750
'0:0:21.9,2.6745
'0:0:22.0,2.6741
'0:0:22.1,2.6733
'0:0:22.2,2.6724
'0:0:22.3,2.6720
'0:0:22.4,2.6715
'0:0:22.5,2.6713
'0:0:22.6,2.6713
'0:0:22.7,2.6709
'0:0:22.8,2.6702
'0:0:22.9,2.6700
'0:0:23.0,2.6698
'0:0:23.1,2.6696
'0:0:23.2,2.6692
'0:0:23.3,2.6687
'0:0:23.4,2.6692
'0:0:23.5,2.6690
'0:0:23.6,2.6692
'0:0:23.7,2.6690
'0:0:23.8,2.6696
'0:0:23.9,2.6739
'0:0:24.0,2.6795
'0:0:24.1,2.6851
'0:0:24.2,2.6836
'0:0:24.3,2.6750
'0:0:24.4,2.6694
'0:0:24.5,2.6685
'0:0:24.6,2.6495
'0:0:24.7,2.6442
'0:0:24.8,2.6478
'0:0:24.9,2.6476
'0:0:25.0,2.6408
'0:0:25.1,2.6347
'0:0:25.2,2.6379
'0:0:25.3,2.6440
'0:0:25.4,2.6519
'0:0:25.5,2.6466
'0:0:25.6,2.6449
'0:0:25.7,2.6529
'0:0:25.8,2.6745
'0:0:25.9,2.6890
'0:0:26.0,2.6816
'0:0:26.1,2.6692
'0:0:26.2,2.6615
'0:0:26.3,2.6553
'0:0:26.4,2.6334
'0:0:26.5,2.6391
'0:0:26.6,2.6455
'0:0:26.7,2.6480
'0:0:26.8,2.6495
'0:0:26.9,2.6497
'0:0:27.0,2.6500
'0:0:27.1,2.6495
'0:0:27.2,2.6491
'0:0:27.3,2.6495
'0:0:27.4,2.6491
'0:0:27.5,2.6491
'0:0:27.6,2.6502
'0:0:27.7,2.6512
'0:0:27.8,2.6504
'0:0:27.9,2.6502
'0:0:28.0,2.6500
'0:0:28.1,2.6500
'0:0:28.2,2.6500
'0:0:28.3,2.6500
'0:0:28.4,2.6495
'0:0:28.5,2.6493
'0:0:28.6,2.6487
'0:0:28.7,2.6485
'0:0:28.8,2.6487
'0:0:28.9,2.6489
'0:0:29.0,2.6508
'0:0:29.1,2.6525
'0:0:29.2,2.6561
'0:0:29.3,2.6574
'0:0:29.4,2.6589
'0:0:29.5,2.6602
'0:0:29.6,2.6613
'0:0:29.7,2.6628
'0:0:29.8,2.6649
'0:0:29.9,2.6668
'0:0:30.0,2.6685
'0:0:30.1,2.6702
'0:0:30.2,2.6715
'0:0:30.3,2.6739
'0:0:30.4,2.6756
'0:0:30.5,2.6782
'0:0:30.6,2.6803
'0:0:30.7,2.6825
'0:0:30.8,2.6847
'0:0:30.9,2.6868
'0:0:31.0,2.6885
'0:0:31.1,2.6909
'0:0:31.2,2.6931
'0:0:31.3,2.6950
'0:0:31.4,2.6966
'0:0:31.5,2.6983
'0:0:31.6,2.6998
'0:0:31.7,2.7020
'0:0:31.8,2.7033
'0:0:31.9,2.7074
'0:0:32.0,2.7078
'0:0:32.1,2.7070
'0:0:32.2,2.7057
'0:0:32.3,2.7070
'0:0:32.4,2.7050
'0:0:32.5,2.7035
'0:0:32.6,2.7133
'0:0:32.7,2.7037
'0:0:32.8,2.6942
'0:0:32.9,2.6996
'0:0:33.0,2.7018
'0:0:33.1,2.6992
'0:0:33.2,2.7028
'0:0:33.3,2.7028
'0:0:33.4,2.7024
'0:0:33.5,2.6966
'0:0:33.6,2.6955
'0:0:33.7,2.6955
'0:0:33.8,2.6946
'0:0:33.9,2.6905
'0:0:34.0,2.6885
'0:0:34.1,2.6888
'0:0:34.2,2.6892
