Time,GSR
'0:0:0.0,1.2909
'0:0:0.1,1.2905
'0:0:0.2,1.2903
'0:0:0.3,1.2898
'0:0:0.4,1.2894
'0:0:0.5,1.2891
'0:0:0.6,1.2898
'0:0:0.7,1.2912
'0:0:0.8,1.2955
'0:0:0.9,1.2962
'0:0:1.0,1.2963
'0:0:1.1,1.2963
'0:0:1.2,1.2963
'0:0:1.3,1.2963
'0:0:1.4,1.2965
'0:0:1.5,1.2966
'0:0:1.6,1.2966
'0:0:1.7,1.2968
'0:0:1.8,1.2969
'0:0:1.9,1.2969
'0:0:2.0,1.2971
'0:0:2.1,1.2973
'0:0:2.2,1.2978
'0:0:2.3,1.2981
'0:0:2.4,1.2995
'0:0:2.5,1.3006
'0:0:2.6,1.3010
'0:0:2.7,1.3016
'0:0:2.8,1.3020
'0:0:2.9,1.3020
'0:0:3.0,1.3023
'0:0:3.1,1.3024
'0:0:3.2,1.3027
'0:0:3.3,1.3031
'0:0:3.4,1.3033
'0:0:3.5,1.3038
'0:0:3.6,1.3044
'0:0:3.7,1.3048
'0:0:3.8,1.3051
'0:0:3.9,1.3057
'0:0:4.0,1.3060
'0:0:4.1,1.3065
'0:0:4.2,1.3068
'0:0:4.3,1.3072
'0:0:4.4,1.3075
'0:0:4.5,1.3076
'0:0:4.6,1.3078
'0:0:4.7,1.3082
'0:0:4.8,1.3083
'0:0:4.9,1.3089
'0:0:5.0,1.3092
'0:0:5.1,1.3094
'0:0:5.2,1.3099
'0:0:5.3,1.3102
'0:0:5.4,1.3108
'0:0:5.5,1.3115
'0:0:5.6,1.3122
'0:0:5.7,1.3125
'0:0:5.8,1.3128
'0:0:5.9,1.3132
'0:0:6.0,1.3136
'0:0:6.1,1.3140
'0:0:6.2,1.3146
'0:0:6.3,1.3150
'0:0:6.4,1.3155
'0:0:6.5,1.3159
'0:0:6.6,1.3165
'0:0:6.7,1.3169
'0:0:6.8,1.3180
'0:0:6.9,1.3184
'0:0:7.0,1.3188
'0:0:7.1,1.3190
'0:0:7.2,1.3193
'0:0:7.3,1.3196
'0:0:7.4,1.3200
'0:0:7.5,1.3208
'0:0:7.6,1.3219
'0:0:7.7,1.3228
'0:0:7.8,1.3235
'0:0:7.9,1.3239
'0:0:8.0,1.3244
'0:0:8.1,1.3251
'0:0:8.2,1.3256
'0:0:8.3,1.3262
'0:0:8.4,1.3268
'0:0:8.5,1.3272
'0:0:8.6,1.3277
'0:0:8.7,1.3283
'0:0:8.8,1.3291
'0:0:8.9,1.3294
'0:0:9.0,1.3298
'0:0:9.1,1.3298
'0:0:9.2,1.3299
'0:0:9.3,1.3299
'0:0:9.4,1.3298
'0:0:9.5,1.3297
'0:0:9.6,1.3297
'0:0:9.7,1.3295
'0:0:9.8,1.3295
'0:0:9.9,1.3295
'0:0:10.0,1.3297
'0:0:10.1,1.3298
'0:0:10.2,1.3298
'0:0:10.3,1.3298
'0:0:10.4,1.3299
'0:0:10.5,1.3299
'0:0:10.6,1.3299
'0:0:10.7,1.3300
'0:0:10.8,1.3301
'0:0:10.9,1.3302
'0:0:11.0,1.3305
'0:0:11.1,1.3306
'0:0:11.2,1.3307
'0:0:11.3,1.3309
'0:0:11.4,1.3311
'0:0:11.5,1.3313
'0:0:11.6,1.3314
'0:0:11.7,1.3316
'0:0:11.8,1.3321
'0:0:11.9,1.3324
'0:0:12.0,1.3330
'0:0:12.1,1.3338
'0:0:12.2,1.3349
'0:0:12.3,1.3367
'0:0:12.4,1.3384
'0:0:12.5,1.3400
'0:0:12.6,1.3415
'0:0:12.7,1.3427
'0:0:12.8,1.3437
'0:0:12.9,1.3446
'0:0:13.0,1.3453
'0:0:13.1,1.3459
'0:0:13.2,1.3463
'0:0:13.3,1.3467
'0:0:13.4,1.3473
'0:0:13.5,1.3482
'0:0:13.6,1.3488
'0:0:13.7,1.3485
'0:0:13.8,1.3481
'0:0:13.9,1.3479
'0:0:14.0,1.3478
'0:0:14.1,1.3477
'0:0:14.2,1.3477
'0:0:14.3,1.3480
'0:0:14.4,1.3488
'0:0:14.5,1.3497
'0:0:14.6,1.3509
'0:0:14.7,1.3521
'0:0:14.8,1.3531
'0:0:14.9,1.3540
'0:0:15.0,1.3551
'0:0:15.1,1.3559
'0:0:15.2,1.3568
'0:0:15.3,1.3575
'0:0:15.4,1.3581
'0:0:15.5,1.3587
'0:0:15.6,1.3589
'0:0:15.7,1.3593
'0:0:15.8,1.3598
'0:0:15.9,1.3600
'0:0:16.0,1.3599
'0:0:16.1,1.3595
'0:0:16.2,1.3593
'0:0:16.3,1.3589
'0:0:16.4,1.3586
'0:0:16.5,1.3585
'0:0:16.6,1.3582
'0:0:16.7,1.3584
'0:0:16.8,1.3585
'0:0:16.9,1.3588
'0:0:17.0,1.3592
'0:0:17.1,1.3595
'0:0:17.2,1.3599
'0:0:17.3,1.3602
'0:0:17.4,1.3606
'0:0:17.5,1.3612
'0:0:17.6,1.3619
'0:0:17.7,1.3633
'0:0:17.8,1.3655
'0:0:17.9,1.3684
'0:0:18.0,1.3717
'0:0:18.1,1.3752
'0:0:18.2,1.3771
'0:0:18.3,1.3791
'0:0:18.4,1.3811
'0:0:18.5,1.3831
'0:0:18.6,1.3847
'0:0:18.7,1.3859
'0:0:18.8,1.3867
'0:0:18.9,1.3875
'0:0:19.0,1.3884
'0:0:19.1,1.3888
'0:0:19.2,1.3895
'0:0:19.3,1.3889
'0:0:19.4,1.3887
'0:0:19.5,1.3888
'0:0:19.6,1.3887
'0:0:19.7,1.3893
'0:0:19.8,1.3902
'0:0:19.9,1.3907
'0:0:20.0,1.3911
'0:0:20.1,1.3917
'0:0:20.2,1.3925
'0:0:20.3,1.3930
