Time,GSR
'0:0:0.0,2.9054
'0:0:0.1,2.9036
'0:0:0.2,2.9026
'0:0:0.3,2.9005
'0:0:0.4,2.8982
'0:0:0.5,2.8970
'0:0:0.6,2.8960
'0:0:0.7,2.8953
'0:0:0.8,2.8951
'0:0:0.9,2.8946
'0:0:1.0,2.8935
'0:0:1.1,2.8930
'0:0:1.2,2.8925
'0:0:1.3,2.8932
'0:0:1.4,2.8939
'0:0:1.5,2.8958
'0:0:1.6,2.8965
'0:0:1.7,2.8979
'0:0:1.8,2.9007
'0:0:1.9,2.9026
'0:0:2.0,2.9059
'0:0:2.1,2.9092
'0:0:2.2,2.9123
'0:0:2.3,2.9151
'0:0:2.4,2.9182
'0:0:2.5,2.9220
'0:0:2.6,2.9253
'0:0:2.7,2.9283
'0:0:2.8,2.9312
'0:0:2.9,2.9324
'0:0:3.0,2.9317
'0:0:3.1,2.9317
'0:0:3.2,2.9312
'0:0:3.3,2.9295
'0:0:3.4,2.9288
'0:0:3.5,2.9276
'0:0:3.6,2.9262
'0:0:3.7,2.9236
'0:0:3.8,2.9227
'0:0:3.9,2.9215
'0:0:4.0,2.9196
'0:0:4.1,2.9177
'0:0:4.2,2.9160
'0:0:4.3,2.9142
'0:0:4.4,2.9118
'0:0:4.5,2.9106
'0:0:4.6,2.9094
'0:0:4.7,2.9080
'0:0:4.8,2.9080
'0:0:4.9,2.9073
'0:0:5.0,2.9066
'0:0:5.1,2.9073
'0:0:5.2,2.9111
'0:0:5.3,2.9182
'0:0:5.4,2.9279
'0:0:5.5,2.9395
'0:0:5.6,2.9519
'0:0:5.7,2.9623
'0:0:5.8,2.9707
'0:0:5.9,2.9806
'0:0:6.0,2.9881
'0:0:6.1,2.9942
'0:0:6.2,2.9998
'0:0:6.3,3.0039
'0:0:6.4,3.0049
'0:0:6.5,3.0074
'0:0:6.6,3.0098
'0:0:6.7,3.0105
'0:0:6.8,3.0120
'0:0:6.9,3.0120
'0:0:7.0,3.0118
'0:0:7.1,3.0098
'0:0:7.2,3.0078
'0:0:7.3,3.0054
'0:0:7.4,3.0034
'0:0:7.5,3.0032
'0:0:7.6,3.0027
'0:0:7.7,3.0017
'0:0:7.8,3.0022
'0:0:7.9,3.0015
'0:0:8.0,3.0012
'0:0:8.1,3.0012
'0:0:8.2,3.0015
'0:0:8.3,3.0010
'0:0:8.4,3.0003
'0:0:8.5,2.9998
'0:0:8.6,2.9988
'0:0:8.7,2.9981
'0:0:8.8,2.9991
'0:0:8.9,2.9995
'0:0:9.0,2.9998
'0:0:9.1,3.0012
'0:0:9.2,3.0022
'0:0:9.3,3.0030
'0:0:9.4,3.0039
'0:0:9.5,3.0049
'0:0:9.6,3.0047
'0:0:9.7,3.0042
'0:0:9.8,3.0047
'0:0:9.9,3.0049
'0:0:10.0,3.0044
'0:0:10.1,3.0034
'0:0:10.2,3.0025
'0:0:10.3,3.0012
'0:0:10.4,2.9988
'0:0:10.5,2.9978
'0:0:10.6,2.9961
'0:0:10.7,2.9947
'0:0:10.8,2.9932
'0:0:10.9,2.9920
'0:0:11.0,2.9900
'0:0:11.1,2.9883
'0:0:11.2,2.9874
'0:0:11.3,2.9859
'0:0:11.4,2.9845
'0:0:11.5,2.9840
'0:0:11.6,2.9830
'0:0:11.7,2.9823
'0:0:11.8,2.9808
'0:0:11.9,2.9796
'0:0:12.0,2.9791
'0:0:12.1,2.9789
'0:0:12.2,2.9787
'0:0:12.3,2.9784
'0:0:12.4,2.9789
'0:0:12.5,2.9774
'0:0:12.6,2.9758
'0:0:12.7,2.9753
'0:0:12.8,2.9743
'0:0:12.9,2.9736
'0:0:13.0,2.9738
'0:0:13.1,2.9741
'0:0:13.2,2.9741
'0:0:13.3,2.9750
'0:0:13.4,2.9770
'0:0:13.5,2.9799
'0:0:13.6,2.9840
'0:0:13.7,2.9881
'0:0:13.8,2.9915
'0:0:13.9,2.9939
'0:0:14.0,2.9959
'0:0:14.1,2.9986
'0:0:14.2,3.0008
'0:0:14.3,3.0027
'0:0:14.4,3.0039
'0:0:14.5,3.0039
'0:0:14.6,3.0030
'0:0:14.7,3.0027
'0:0:14.8,3.0022
'0:0:14.9,3.0017
'0:0:15.0,3.0010
'0:0:15.1,3.0000
'0:0:15.2,2.9981
'0:0:15.3,2.9964
'0:0:15.4,2.9949
'0:0:15.5,2.9932
'0:0:15.6,2.9915
'0:0:15.7,2.9903
'0:0:15.8,2.9893
'0:0:15.9,2.9886
'0:0:16.0,2.9886
'0:0:16.1,2.9896
'0:0:16.2,2.9910
'0:0:16.3,2.9937
'0:0:16.4,2.9966
'0:0:16.5,2.9995
'0:0:16.6,3.0020
'0:0:16.7,3.0039
'0:0:16.8,3.0054
'0:0:16.9,3.0064
'0:0:17.0,3.0076
'0:0:17.1,3.0086
'0:0:17.2,3.0086
'0:0:17.3,3.0083
'0:0:17.4,3.0076
'0:0:17.5,3.0059
'0:0:17.6,3.0042
'0:0:17.7,3.0025
'0:0:17.8,3.0005
'0:0:17.9,2.9988
'0:0:18.0,2.9961
'0:0:18.1,2.9937
'0:0:18.2,2.9920
'0:0:18.3,2.9908
'0:0:18.4,2.9898
'0:0:18.5,2.9893
'0:0:18.6,2.9886
'0:0:18.7,2.9874
'0:0:18.8,2.9864
'0:0:18.9,2.9859
'0:0:19.0,2.9852
'0:0:19.1,2.9850
'0:0:19.2,2.9845
'0:0:19.3,2.9837
'0:0:19.4,2.9820
'0:0:19.5,2.9801
'0:0:19.6,2.9789
'0:0:19.7,2.9772
'0:0:19.8,2.9758
'0:0:19.9,2.9745
'0:0:20.0,2.9729
'0:0:20.1,2.9707
'0:0:20.2,2.9688
'0:0:20.3,2.9676
'0:0:20.4,2.9661
'0:0:20.5,2.9644
'0:0:20.6,2.9637
'0:0:20.7,2.9627
'0:0:20.8,2.9615
'0:0:20.9,2.9608
'0:0:21.0,2.9606
'0:0:21.1,2.9603
'0:0:21.2,2.9603
'0:0:21.3,2.9613
'0:0:21.4,2.9611
'0:0:21.5,2.9613
'0:0:21.6,2.9611
'0:0:21.7,2.9608
'0:0:21.8,2.9606
'0:0:21.9,2.9608
'0:0:22.0,2.9611
'0:0:22.1,2.9606
'0:0:22.2,2.9603
'0:0:22.3,2.9599
'0:0:22.4,2.9594
'0:0:22.5,2.9591
'0:0:22.6,2.9587
'0:0:22.7,2.9584
'0:0:22.8,2.9572
'0:0:22.9,2.9567
'0:0:23.0,2.9567
'0:0:23.1,2.9572
'0:0:23.2,2.9575
'0:0:23.3,2.9572
'0:0:23.4,2.9570
'0:0:23.5,2.9555
'0:0:23.6,2.9548
'0:0:23.7,2.9536
'0:0:23.8,2.9527
'0:0:23.9,2.9517
'0:0:24.0,2.9515
'0:0:24.1,2.9515
'0:0:24.2,2.9503
'0:0:24.3,2.9491
'0:0:24.4,2.9486
'0:0:24.5,2.9479
'0:0:24.6,2.9476
'0:0:24.7,2.9474
'0:0:24.8,2.9476
'0:0:24.9,2.9469
'0:0:25.0,2.9469
'0:0:25.1,2.9469
'0:0:25.2,2.9467
'0:0:25.3,2.9467
'0:0:25.4,2.9467
'0:0:25.5,2.9467
'0:0:25.6,2.9453
'0:0:25.7,2.9441
'0:0:25.8,2.9436
'0:0:25.9,2.9426
'0:0:26.0,2.9412
'0:0:26.1,2.9407
'0:0:26.2,2.9398
'0:0:26.3,2.9379
'0:0:26.4,2.9364
'0:0:26.5,2.9350
'0:0:26.6,2.9336
'0:0:26.7,2.9321
'0:0:26.8,2.9312
'0:0:26.9,2.9295
'0:0:27.0,2.9281
'0:0:27.1,2.9269
'0:0:27.2,2.9257
'0:0:27.3,2.9246
'0:0:27.4,2.9238
'0:0:27.5,2.9241
'0:0:27.6,2.9236
'0:0:27.7,2.9236
'0:0:27.8,2.9243
'0:0:27.9,2.9253
'0:0:28.0,2.9262
'0:0:28.1,2.9272
'0:0:28.2,2.9281
'0:0:28.3,2.9286
'0:0:28.4,2.9295
'0:0:28.5,2.9300
'0:0:28.6,2.9298
'0:0:28.7,2.9295
'0:0:28.8,2.9291
'0:0:28.9,2.9276
'0:0:29.0,2.9265
'0:0:29.1,2.9250
'0:0:29.2,2.9236
'0:0:29.3,2.9220
'0:0:29.4,2.9205
'0:0:29.5,2.9193
'0:0:29.6,2.9172
'0:0:29.7,2.9153
'0:0:29.8,2.9144
'0:0:29.9,2.9130
'0:0:30.0,2.9123
'0:0:30.1,2.9116
'0:0:30.2,2.9106
'0:0:30.3,2.9092
'0:0:30.4,2.9076
'0:0:30.5,2.9064
'0:0:30.6,2.9054
'0:0:30.7,2.9040
'0:0:30.8,2.9028
'0:0:30.9,2.9019
'0:0:31.0,2.9005
'0:0:31.1,2.8986
'0:0:31.2,2.8967
'0:0:31.3,2.8949
'0:0:31.4,2.8937
'0:0:31.5,2.8932
'0:0:31.6,2.8921
'0:0:31.7,2.8914
'0:0:31.8,2.8893
'0:0:31.9,2.8867
'0:0:32.0,2.8848
'0:0:32.1,2.8836
'0:0:32.2,2.8825
'0:0:32.3,2.8804
'0:0:32.4,2.8792
'0:0:32.5,2.8781
'0:0:32.6,2.8769
'0:0:32.7,2.8757
'0:0:32.8,2.8750
'0:0:32.9,2.8743
'0:0:33.0,2.8734
'0:0:33.1,2.8720
'0:0:33.2,2.8708
'0:0:33.3,2.8697
'0:0:33.4,2.8688
'0:0:33.5,2.8678
'0:0:33.6,2.8662
'0:0:33.7,2.8646
'0:0:33.8,2.8639
'0:0:33.9,2.8618
'0:0:34.0,2.8604
'0:0:34.1,2.8590
'0:0:34.2,2.8577
'0:0:34.3,2.8560
'0:0:34.4,2.8544
'0:0:34.5,2.8533
'0:0:34.6,2.8517
'0:0:34.7,2.8505
'0:0:34.8,2.8489
'0:0:34.9,2.8477
'0:0:35.0,2.8461
'0:0:35.1,2.8450
'0:0:35.2,2.8434
'0:0:35.3,2.8420
'0:0:35.4,2.8408
'0:0:35.5,2.8397
'0:0:35.6,2.8379
'0:0:35.7,2.8360
'0:0:35.8,2.8349
'0:0:35.9,2.8333
'0:0:36.0,2.8319
'0:0:36.1,2.8308
'0:0:36.2,2.8299
'0:0:36.3,2.8283
'0:0:36.4,2.8264
'0:0:36.5,2.8255
'0:0:36.6,2.8246
'0:0:36.7,2.8232
'0:0:36.8,2.8223
'0:0:36.9,2.8212
'0:0:37.0,2.8198
'0:0:37.1,2.8182
'0:0:37.2,2.8171
'0:0:37.3,2.8162
'0:0:37.4,2.8150
'0:0:37.5,2.8141
'0:0:37.6,2.8135
'0:0:37.7,2.8135
'0:0:37.8,2.8130
'0:0:37.9,2.8137
'0:0:38.0,2.8153
'0:0:38.1,2.8182
'0:0:38.2,2.8221
'0:0:38.3,2.8267
'0:0:38.4,2.8321
'0:0:38.5,2.8390
'0:0:38.6,2.8468
'0:0:38.7,2.8547
'0:0:38.8,2.8630
'0:0:38.9,2.8708
'0:0:39.0,2.8776
'0:0:39.1,2.8846
'0:0:39.2,2.8914
'0:0:39.3,2.8956
'0:0:39.4,2.8993
'0:0:39.5,2.9024
'0:0:39.6,2.9043
'0:0:39.7,2.9050
'0:0:39.8,2.9068
'0:0:39.9,2.9073
'0:0:40.0,2.9066
'0:0:40.1,2.9059
'0:0:40.2,2.9050
'0:0:40.3,2.9021
'0:0:40.4,2.8982
'0:0:40.5,2.8953
'0:0:40.6,2.8928
'0:0:40.7,2.8904
'0:0:40.8,2.8881
'0:0:40.9,2.8862
'0:0:41.0,2.8841
'0:0:41.1,2.8818
'0:0:41.2,2.8799
'0:0:41.3,2.8774
'0:0:41.4,2.8755
'0:0:41.5,2.8743
'0:0:41.6,2.8729
'0:0:41.7,2.8713
'0:0:41.8,2.8706
'0:0:41.9,2.8706
'0:0:42.0,2.8704
'0:0:42.1,2.8706
'0:0:42.2,2.8711
'0:0:42.3,2.8718
'0:0:42.4,2.8718
'0:0:42.5,2.8722
'0:0:42.6,2.8722
'0:0:42.7,2.8722
'0:0:42.8,2.8720
'0:0:42.9,2.8713
'0:0:43.0,2.8704
'0:0:43.1,2.8695
'0:0:43.2,2.8695
'0:0:43.3,2.8704
'0:0:43.4,2.8734
'0:0:43.5,2.8790
'0:0:43.6,2.8871
'0:0:43.7,2.8960
'0:0:43.8,2.9054
'0:0:43.9,2.9146
'0:0:44.0,2.9234
'0:0:44.1,2.9317
'0:0:44.2,2.9386
'0:0:44.3,2.9450
'0:0:44.4,2.9522
'0:0:44.5,2.9618
'0:0:44.6,2.9721
'0:0:44.7,2.9823
'0:0:44.8,2.9893
'0:0:44.9,2.9964
'0:0:45.0,3.0047
'0:0:45.1,3.0140
'0:0:45.2,3.0253
'0:0:45.3,3.0383
'0:0:45.4,3.0500
'0:0:45.5,3.0619
'0:0:45.6,3.0747
'0:0:45.7,3.0878
'0:0:45.8,3.1001
'0:0:45.9,3.1105
'0:0:46.0,3.1217
'0:0:46.1,3.1340
'0:0:46.2,3.1450
'0:0:46.3,3.1546
'0:0:46.4,3.1605
'0:0:46.5,3.1634
'0:0:46.6,3.1675
'0:0:46.7,3.1704
'0:0:46.8,3.1724
'0:0:46.9,3.1735
'0:0:47.0,3.1750
'0:0:47.1,3.1769
'0:0:47.2,3.1789
'0:0:47.3,3.1782
'0:0:47.4,3.1761
'0:0:47.5,3.1750
'0:0:47.6,3.1748
'0:0:47.7,3.1722
'0:0:47.8,3.1691
'0:0:47.9,3.1660
'0:0:48.0,3.1652
'0:0:48.1,3.1649
'0:0:48.2,3.1680
'0:0:48.3,3.1722
'0:0:48.4,3.1740
'0:0:48.5,3.1737
'0:0:48.6,3.1740
'0:0:48.7,3.1750
'0:0:48.8,3.1758
'0:0:48.9,3.1763
'0:0:49.0,3.1769
'0:0:49.1,3.1769
'0:0:49.2,3.1763
'0:0:49.3,3.1758
'0:0:49.4,3.1756
'0:0:49.5,3.1761
'0:0:49.6,3.1766
'0:0:49.7,3.1769
'0:0:49.8,3.1776
'0:0:49.9,3.1784
'0:0:50.0,3.1802
'0:0:50.1,3.1834
'0:0:50.2,3.1860
'0:0:50.3,3.1881
'0:0:50.4,3.1902
'0:0:50.5,3.1936
'0:0:50.6,3.1959
'0:0:50.7,3.1986
'0:0:50.8,3.1999
'0:0:50.9,3.2014
'0:0:51.0,3.2033
'0:0:51.1,3.2056
'0:0:51.2,3.2093
'0:0:51.3,3.2133
'0:0:51.4,3.2180
'0:0:51.5,3.2246
'0:0:51.6,3.2350
'0:0:51.7,3.2403
'0:0:51.8,3.2440
'0:0:51.9,3.2467
'0:0:52.0,3.2491
'0:0:52.1,3.2502
'0:0:52.2,3.2504
'0:0:52.3,3.2502
'0:0:52.4,3.2499
'0:0:52.5,3.2488
'0:0:52.6,3.2486
'0:0:52.7,3.2488
'0:0:52.8,3.2486
'0:0:52.9,3.2478
'0:0:53.0,3.2478
'0:0:53.1,3.2480
'0:0:53.2,3.2486
'0:0:53.3,3.2494
'0:0:53.4,3.2496
'0:0:53.5,3.2496
'0:0:53.6,3.2510
'0:0:53.7,3.2515
'0:0:53.8,3.2526
'0:0:53.9,3.2531
'0:0:54.0,3.2545
'0:0:54.1,3.2553
'0:0:54.2,3.2561
'0:0:54.3,3.2579
'0:0:54.4,3.2593
'0:0:54.5,3.2612
